START-OF-LOG: 2.0
CATEGORY: Portable, multi operator, low power, non-assisted
CONTEST: FD SSB
SPECIFIC: R01
CREATED-BY: Win-Test 4.20.0, modified by DXHF upload.
CALLSIGN: DL0DX/P
CLAIMED-SCORE: 115992
OPERATORS: DC4AB DH9EO DL1KID DL2DE DL2GK DL5KUT DL6WA DM1MF DM5MD DO8EW
QSO:  7080 PH 2019-09-07 1317 DL0DX/P       59  0001   OZ7KJ/P       59  019
QSO:  7089 PH 2019-09-07 1318 DL0DX/P       59  0002   ON6TN/P       59  022
QSO:  7094 PH 2019-09-07 1319 DL0DX/P       59  0003   OT2L/P        59  006
QSO:  7103 PH 2019-09-07 1320 DL0DX/P       59  0004   OT5X/P        59  018
QSO:  7108 PH 2019-09-07 1321 DL0DX/P       59  0005   G3PYE/P       59  026
QSO:  7111 PH 2019-09-07 1321 DL0DX/P       59  0006   M0WCO/P       59  015
QSO:  7121 PH 2019-09-07 1323 DL0DX/P       59  0007   LA1ARG/P      59  015
QSO:  7130 PH 2019-09-07 1324 DL0DX/P       59  0008   OU7K/P        59  019
QSO:  7135 PH 2019-09-07 1325 DL0DX/P       59  0009   ON4RAT/P      59  044
QSO:  7148 PH 2019-09-07 1326 DL0DX/P       59  0010   DM4X/P        59  031
QSO:  7151 PH 2019-09-07 1327 DL0DX/P       59  0011   M0TKM/P       59  008
QSO:  7154 PH 2019-09-07 1327 DL0DX/P       59  0012   ON6NB/P       59  009
QSO:  7162 PH 2019-09-07 1329 DL0DX/P       59  0013   DK0HR/P       59  038
QSO:  7164 PH 2019-09-07 1329 DL0DX/P       59  0014   ON4MCL/P      59  050
QSO:  7167 PH 2019-09-07 1330 DL0DX/P       59  0015   OP6A/P        59  064
QSO:  7176 PH 2019-09-07 1331 DL0DX/P       59  0016   5Q1A/P        59  016
QSO:  7182 PH 2019-09-07 1332 DL0DX/P       59  0017   OT5G/P        59  034
QSO:  7185 PH 2019-09-07 1334 DL0DX/P       59  0018   LX/OO7W       59  025
QSO:  7186 PH 2019-09-07 1334 DL0DX/P       59  0019   ON7ERA/P      59  019
QSO:  7189 PH 2019-09-07 1335 DL0DX/P       59  0020   DM3C/P        59  022
QSO:  7191 PH 2019-09-07 1335 DL0DX/P       59  0021   ON7TR/P       59  017
