START-OF-LOG: 2.0
CATEGORY: Portable, multi operator, low power, assisted
CONTEST: FD SSB
SPECIFIC: W37
CREATED-BY: Win-Test 4.28.0, modified by DXHF upload.
CALLSIGN: DL0WMS/P
CLAIMED-SCORE: 168918
OPERATORS: DK4MDA DL1RFW DL3ABL DL6CWM DL6MHW DL9OK DL9MGE DO2HKR DO4FB DO7ATU
CLUB: DARC
QSO:  7079 PH 2019-09-07 1302 DL0WMS/P      59  0001   OZ7KJ/P       59  001
QSO:  7087 PH 2019-09-07 1303 DL0WMS/P      59  0002   OO6P/P        59  002
QSO:  7090 PH 2019-09-07 1303 DL0WMS/P      59  0003   ON6TN/P       59  004
QSO:  7097 PH 2019-09-07 1305 DL0WMS/P      59  0004   ON6CK/P       59  004
QSO:  7135 PH 2019-09-07 1305 DL0WMS/P      59  0005   ON4RAT/P      59  011
QSO:  7142 PH 2019-09-07 1307 DL0WMS/P      59  0006   ON4WRC/P      59  007
QSO:  7140 PH 2019-09-07 1309 DL0WMS/P      59  0007   HB9DND/P      59  005
QSO:  7144 PH 2019-09-07 1310 DL0WMS/P      59  0008   G3ULT/P       59  004
QSO:  7149 PH 2019-09-07 1310 DL0WMS/P      59  0009   DM4X          59  013
QSO:  7151 PH 2019-09-07 1311 DL0WMS/P      59  0010   DL2A/P        59  016
QSO:  7154 PH 2019-09-07 1312 DL0WMS/P      59  0011   DL0GZ/P       59  008
QSO:  7154 PH 2019-09-07 1313 DL0WMS/P      59  0012   DC8XV         59  006
QSO:  7154 PH 2019-09-07 1315 DL0WMS/P      59  0013   DL5E/P        59  017
QSO:  7154 PH 2019-09-07 1316 DL0WMS/P      59  0014   G3VRE/P       59  004
QSO:  7154 PH 2019-09-07 1319 DL0WMS/P      59  0015   DL1ASA/P      59  006
QSO:  7154 PH 2019-09-07 1319 DL0WMS/P      59  0016   ON6MS/P       59  017
QSO:  7154 PH 2019-09-07 1321 DL0WMS/P      59  0017   F6IRS/P       59  003
