START-OF-LOG: 3.0
CALLSIGN: PA1BX
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 111202
NAME: Hans Jasperse
LOCATION: DX
OPERATORS: PA1BX
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5325.0
SOAPBOX: ONLY A FEW HOURS. 40 AND 80 METERS WERE GREAT!
QSO: 28001 CW 2015-11-28 1533 PA1BX         599 14     NP3A          599 08
QSO: 28008 CW 2015-11-28 1537 PA1BX         599 14     DJ5MW         599 14
QSO: 28005 CW 2015-11-28 1537 PA1BX         599 14     P40W          599 09
QSO: 28021 CW 2015-11-28 1628 PA1BX         599 14     EF8R          599 33
QSO: 28033 CW 2015-11-28 1632 PA1BX         599 14     PY3CAL        599 11
QSO: 28036 CW 2015-11-28 1635 PA1BX         599 14     CR3L          599 33
QSO: 28049 CW 2015-11-28 1639 PA1BX         599 14     LU7HN         599 13
QSO: 28059 CW 2015-11-28 1640 PA1BX         599 14     V47T          599 08
QSO: 28061 CW 2015-11-28 1642 PA1BX         599 14     XR2N          599 12
QSO: 28052 CW 2015-11-28 1656 PA1BX         599 14     PY1NX         599 11
QSO: 21001 CW 2015-11-28 1657 PA1BX         599 14     K1LZ          599 05
QSO: 21003 CW 2015-11-28 1658 PA1BX         599 14     W3LPL         599 05
QSO: 21008 CW 2015-11-28 1700 PA1BX         599 14     NY3A          599 05
QSO: 21010 CW 2015-11-28 1701 PA1BX         599 14     VA2EW         599 05
QSO: 21011 CW 2015-11-28 1703 PA1BX         599 14     K1KP          599 05
QSO: 21012 CW 2015-11-28 1705 PA1BX         599 14     9A1A          599 15
QSO: 21030 CW 2015-11-28 1707 PA1BX         599 14     CR3L          599 33
QSO: 21030 CW 2015-11-28 1707 PA1BX         599 14     N4ZZ          599 04
QSO: 21068 CW 2015-11-28 1710 PA1BX         599 14     K8AZ          599 04
QSO: 21080 CW 2015-11-28 1712 PA1BX         599 14     K2NV          599 05
QSO: 14004 CW 2015-11-28 1716 PA1BX         599 14     W3LPL         599 05
QSO: 14022 CW 2015-11-28 1717 PA1BX         599 14     W2CG          599 05
QSO: 14023 CW 2015-11-28 1718 PA1BX         599 14     VC7O          599 03
QSO: 14024 CW 2015-11-28 1719 PA1BX         599 14     P3F           599 20
QSO: 14026 CW 2015-11-28 1721 PA1BX         599 14     N3RS          599 05
QSO: 14031 CW 2015-11-28 1814 PA1BX         599 14     W9IU          599 04
QSO: 14035 CW 2015-11-28 1817 PA1BX         599 14     K1KP          599 05
QSO: 14039 CW 2015-11-28 1818 PA1BX         599 14     NQ4I          599 05
QSO: 14042 CW 2015-11-28 1821 PA1BX         599 14     FY5KE         599 09
QSO: 14046 CW 2015-11-28 1824 PA1BX         599 14     N2SR          599 05
QSO: 14048 CW 2015-11-28 1825 PA1BX         599 14     P33W          599 20
QSO: 14055 CW 2015-11-28 1826 PA1BX         599 14     WE9V          599 04
QSO: 14057 CW 2015-11-28 1827 PA1BX         599 14     VE3RZ         599 04
QSO: 14067 CW 2015-11-28 1830 PA1BX         599 14     N2NT          599 05
QSO: 14081 CW 2015-11-28 1833 PA1BX         599 14     VE2FK         599 05
QSO:  7000 CW 2015-11-28 2111 PA1BX         599 14     ZB2X          599 14
QSO:  7015 CW 2015-11-28 2115 PA1BX         599 14     ED5O          599 14
QSO:  7024 CW 2015-11-28 2116 PA1BX         599 14     YT5A          599 15
QSO:  7034 CW 2015-11-28 2119 PA1BX         599 14     Z60WW         599 15
QSO:  7042 CW 2015-11-28 2121 PA1BX         599 14     RG5G          599 16
QSO:  7043 CW 2015-11-28 2122 PA1BX         599 14     UW2M          599 16
QSO:  7002 CW 2015-11-28 2129 PA1BX         599 14     K1ZR          599 05
QSO:  7004 CW 2015-11-28 2130 PA1BX         599 14     LZ1EV         599 20
QSO:  7006 CW 2015-11-28 2132 PA1BX         599 14     N5DX          599 05
QSO:  7008 CW 2015-11-28 2135 PA1BX         599 14     KV3K          599 05
QSO:  7015 CW 2015-11-28 2137 PA1BX         599 14     UA3R          599 16
QSO:  7017 CW 2015-11-28 2138 PA1BX         599 14     K3LR          599 05
QSO:  7019 CW 2015-11-28 2139 PA1BX         599 14     UP0L          599 17
QSO:  7020 CW 2015-11-28 2140 PA1BX         599 14     YT0A          599 15
QSO:  7022 CW 2015-11-28 2141 PA1BX         599 14     K6ND          599 05
QSO:  7027 CW 2015-11-28 2142 PA1BX         599 14     RT6A          599 16
QSO:  7050 CW 2015-11-28 2144 PA1BX         599 14     II9P          599 15
QSO:  7010 CW 2015-11-28 2148 PA1BX         599 14     LZ5K          599 20
QSO:  7013 CW 2015-11-28 2149 PA1BX         599 14     LZ7A          599 20
QSO:  7021 CW 2015-11-28 2151 PA1BX         599 14     S50C          599 15
QSO:  3502 CW 2015-11-28 2156 PA1BX         599 14     W3LPL         599 05
QSO:  3503 CW 2015-11-28 2157 PA1BX         599 14     UW3U          599 16
QSO:  3505 CW 2015-11-28 2158 PA1BX         599 14     SM3EVR        599 14
QSO:  3506 CW 2015-11-28 2159 PA1BX         599 14     RM9A          599 17
QSO:  3507 CW 2015-11-28 2200 PA1BX         599 14     G2F           599 14
QSO:  3508 CW 2015-11-28 2201 PA1BX         599 14     S56M          599 15
QSO:  3513 CW 2015-11-28 2203 PA1BX         599 14     OM8AQ         599 15
QSO:  3514 CW 2015-11-28 2205 PA1BX         599 14     GS8VL         599 14
QSO:  3515 CW 2015-11-28 2206 PA1BX         599 14     E7DX          599 15
QSO:  3515 CW 2015-11-28 2206 PA1BX         599 14     DJ5EU         599 14
QSO:  3517 CW 2015-11-28 2208 PA1BX         599 14     DD1A          599 14
QSO:  3519 CW 2015-11-28 2209 PA1BX         599 14     IK2CLB        599 15
QSO:  3520 CW 2015-11-28 2211 PA1BX         599 14     GM0WED        599 14
QSO:  3521 CW 2015-11-28 2211 PA1BX         599 14     S57Z          599 15
QSO:  3521 CW 2015-11-28 2212 PA1BX         599 14     G5W           599 14
QSO:  3522 CW 2015-11-28 2214 PA1BX         599 14     LZ7A          599 20
QSO:  3524 CW 2015-11-28 2215 PA1BX         599 14     YT4A          599 15
QSO:  3525 CW 2015-11-28 2216 PA1BX         599 14     DR5N          599 14
QSO:  3527 CW 2015-11-28 2217 PA1BX         599 14     PA4O          599 14
QSO:  3530 CW 2015-11-28 2218 PA1BX         599 14     9A1A          599 15
QSO:  3533 CW 2015-11-28 2220 PA1BX         599 14     OM4DW         599 15
QSO:  3533 CW 2015-11-28 2223 PA1BX         599 14     HB8CXZ        599 14
QSO:  3534 CW 2015-11-28 2224 PA1BX         599 14     S52ZW         599 15
QSO:  3538 CW 2015-11-28 2226 PA1BX         599 14     G4R           599 14
QSO:  3539 CW 2015-11-28 2227 PA1BX         599 14     CR3L          599 33
QSO:  1811 CW 2015-11-28 2253 PA1BX         599 14     OK5T          599 15
QSO:  1812 CW 2015-11-28 2254 PA1BX         599 14     S53O          599 15
QSO:  1814 CW 2015-11-28 2255 PA1BX         599 14     DJ0MDR        599 14
QSO:  1815 CW 2015-11-28 2256 PA1BX         599 14     SM6CPY        599 14
QSO:  1825 CW 2015-11-28 2258 PA1BX         599 14     OL1R          599 15
QSO:  1827 CW 2015-11-28 2303 PA1BX         599 14     LY7A          599 15
QSO:  1830 CW 2015-11-28 2305 PA1BX         599 14     LY4A          599 15
QSO:  1830 CW 2015-11-28 2306 PA1BX         599 14     OR3A          599 14
QSO:  1833 CW 2015-11-28 2307 PA1BX         599 14     EW2M          599 16
QSO:  1835 CW 2015-11-28 2309 PA1BX         599 14     OH3XR         599 15
QSO:  1822 CW 2015-11-28 2311 PA1BX         599 14     LY7M          599 15
QSO:  1837 CW 2015-11-28 2313 PA1BX         599 14     R3FX          599 16
QSO:  1837 CW 2015-11-28 2314 PA1BX         599 14     ES9C          599 15
QSO:  1833 CW 2015-11-28 2315 PA1BX         599 14     DL0GL         599 14
QSO:  1821 CW 2015-11-28 2319 PA1BX         599 14     F8PDR         599 14
QSO:  1816 CW 2015-11-28 2323 PA1BX         599 14     YT5A          599 15
QSO:  1811 CW 2015-11-28 2325 PA1BX         599 14     OH2XX         599 15
QSO:  1818 CW 2015-11-28 2330 PA1BX         599 14     9A1A          599 15
QSO:  1819 CW 2015-11-28 2331 PA1BX         599 14     OH2BAH        599 15
QSO:  1821 CW 2015-11-28 2332 PA1BX         599 14     OL4A          599 15
QSO: 28003 CW 2015-11-29 1039 PA1BX         599 14     IK0XFD        599 15
QSO: 28021 CW 2015-11-29 1041 PA1BX         599 14     RM9A          599 17
QSO: 21000 CW 2015-11-29 1046 PA1BX         599 14     UA5F          599 16
