START-OF-LOG: 2.0
 <ux0zx@mail.ru>
ARRL-SECTION: DX
CONTEST: CQ-WW-CW
CREATED-BY: AALog contest module v.1.0 beta
CALLSIGN: UX0ZX
CATEGORY: SINGLE-OP 20M LOW CW
CLAIMED-SCORE: 242700
OPERATORS: 
CLUB: 
NAME: NIK  PISMENYUK
SOAPBOX: NEXT  IN  2006 !  VERY  GOOD CONTEST !
QSO: 14000 CW 2005-11-26 0008 UX0ZX         599 16     YZ9A          599 15     0
QSO: 14000 CW 2005-11-26 0033 UX0ZX         599 16     UT7I          599 16     0
QSO: 14000 CW 2005-11-26 0104 UX0ZX         599 16     YT1W          599 15     0
QSO: 14000 CW 2005-11-26 0220 UX0ZX         599 16     UP5G          599 17     0
QSO: 14000 CW 2005-11-26 0222 UX0ZX         599 16     UK/JI2MED     599 17     0
QSO: 14000 CW 2005-11-26 0234 UX0ZX         599 16     YT5A          599 15     0
QSO: 14000 CW 2005-11-26 0236 UX0ZX         599 16     PY2NY         599 11     0
QSO: 14000 CW 2005-11-26 0242 UX0ZX         599 16     CX9AU         599 13     0
QSO: 14000 CW 2005-11-26 0249 UX0ZX         599 16     EY7AF         599 17     0
QSO: 14000 CW 2005-11-26 0255 UX0ZX         599 16     ZX5J          599 11     0
QSO: 14000 CW 2005-11-26 0259 UX0ZX         599 16     ZP9R          599 11     0
QSO: 14000 CW 2005-11-26 0302 UX0ZX         599 16     EX2X          599 17     0
QSO: 14000 CW 2005-11-26 0307 UX0ZX         599 16     TZ5A          599 35     0
QSO: 14000 CW 2005-11-26 0309 UX0ZX         599 16     HC8N          599 10     0
QSO: 14000 CW 2005-11-26 0326 UX0ZX         599 16     UN7QF         599 17     0
QSO: 14000 CW 2005-11-26 0331 UX0ZX         599 16     ZL6QH         599 32     0
QSO: 14000 CW 2005-11-26 0357 UX0ZX         599 16     9M2CNC        599 28     0
QSO: 14000 CW 2005-11-26 0359 UX0ZX         599 16     TI3M          599 07     0
QSO: 14000 CW 2005-11-26 0401 UX0ZX         599 16     A45XR         599 21     0
QSO: 14000 CW 2005-11-26 0405 UX0ZX         599 16     8Q7DV         599 22     0
QSO: 14000 CW 2005-11-26 0412 UX0ZX         599 16     UK7F          599 17     0
QSO: 14000 CW 2005-11-26 0418 UX0ZX         599 16     9N7JO         599 22     0
