START-OF-LOG: 2.0
ARRL-SECTION: 
CONTEST: CQ-WW-CW
CALLSIGN: K8AB
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 58692
OPERATORS: K8AB
CLUB: WEST PARK RADIOPS
NAME: Richard Naumann
CREATED-BY: Exported by LOGic Cabrillo Export version 1.1
CREATED-BY: LOGic CONTEST ID CQWW.  Log form CQWW
CREATED-BY: Exported on 2005-11-30. 163 records exported.
CREATED-BY: Contact LOGic authors for technical questions at http://hosenose.com or 770-307-1496
CREATED-BY: Cabrillo format: Other
QSO:  7000 CW 2005-11-26 0019 K8AB          599 04     K9NS          599 CQZ:4|  
QSO:  7000 CW 2005-11-26 0043 K8AB          599 04     WJ9B          599 CQZ:5|  
QSO:  7000 CW 2005-11-26 0118 K8AB          599 04     DJ5MW         599 CQZ:14| 
QSO: 14000 CW 2005-11-26 0124 K8AB          599 04     KP2TM         599 CQZ:8|  
QSO: 14000 CW 2005-11-26 0129 K8AB          599 04     PY5BLG        599 CQZ:11| 
QSO: 14000 CW 2005-11-26 0140 K8AB          599 04     CX9AU         599 CQZ:13| 
QSO: 14000 CW 2005-11-26 0152 K8AB          599 04     HI9L          599 CQZ:8|  
QSO: 14000 CW 2005-11-26 0153 K8AB          599 04     PY2NY         599 CQZ:11| 
QSO: 14000 CW 2005-11-26 0158 K8AB          599 04     YV5KG         599 CQZ:9|  
QSO: 14000 CW 2005-11-26 0159 K8AB          599 04     PS2T          599 CQZ:11| 
QSO: 14000 CW 2005-11-26 0200 K8AB          599 04     FY/F5IRO      599 CQZ:9|  
QSO: 14000 CW 2005-11-26 0204 K8AB          599 04     PZ5C          599 CQZ:9|  
QSO: 14000 CW 2005-11-26 0208 K8AB          599 04     PY2WC         599 CQZ:11| 
QSO: 14000 CW 2005-11-26 0210 K8AB          599 04     OC4O          599 CQZ:10| 
QSO: 14000 CW 2005-11-26 0221 K8AB          599 04     ZP0R          599 CQZ:11| 
QSO: 14000 CW 2005-11-26 0222 K8AB          599 04     WP3C          599 CQZ:8|  
QSO: 14000 CW 2005-11-26 0224 K8AB          599 04     K3LR          599 CQZ:5|  
QSO: 14000 CW 2005-11-26 0230 K8AB          599 04     CW5T          599 CQZ:13| 
QSO: 14000 CW 2005-11-26 0231 K8AB          599 04     XQ4ZW         599 CQZ:7|  
QSO: 14000 CW 2005-11-26 0245 K8AB          599 04     P40A          599 CQZ:9|  
QSO: 14000 CW 2005-11-26 0248 K8AB          599 04     KP4KE         599 CQZ:8|  
QSO: 14000 CW 2005-11-26 0303 K8AB          599 04     K5GO          599 CQZ:4|  
QSO: 14000 CW 2005-11-26 0309 K8AB          599 04     LV0N          599 CQZ:13| 
QSO: 14000 CW 2005-11-26 0311 K8AB          599 04     PJ2T          599 CQZ:9|  
QSO: 14000 CW 2005-11-26 0314 K8AB          599 04     HC8N          599 CQZ:10| 
QSO: 14000 CW 2005-11-26 0316 K8AB          599 04     HP1/OA4WW     599 CQZ:7|  
QSO: 14000 CW 2005-11-26 0321 K8AB          599 04     ZX5J          599 CQZ:11| 
QSO: 14000 CW 2005-11-26 0323 K8AB          599 04     CX7BY         599 CQZ:13| 
QSO:  7000 CW 2005-11-26 0349 K8AB          599 04     AE6PP         599 CQZ:3|  
QSO:  3500 CW 2005-11-26 0610 K8AB          599 04     VE3NE         599 CQZ:4|  
QSO:  3500 CW 2005-11-26 0620 K8AB          599 04     FP/K8DD       599 CQZ:5|  
QSO:  3500 CW 2005-11-26 0621 K8AB          599 04     P40L          599 CQZ:9|  
QSO:  3500 CW 2005-11-26 0655 K8AB          599 04     VE3WO         599 CQZ:4|  
QSO:  3500 CW 2005-11-26 0712 K8AB          599 04     V26K          599 CQZ:8|  
QSO:  3500 CW 2005-11-26 0725 K8AB          599 04     VE3EY         599 CQZ:4|  
QSO:  3500 CW 2005-11-26 0731 K8AB          599 04     WP3C          599 CQZ:8|  
QSO:  3500 CW 2005-11-26 0733 K8AB          599 04     K3LR          599 CQZ:5|  
QSO:  3500 CW 2005-11-26 0739 K8AB          599 04     VE7GL         599 CQZ:3|  
QSO:  3500 CW 2005-11-26 0812 K8AB          599 04     P40W          599 CQZ:9|  
QSO:  1800 CW 2005-11-26 0825 K8AB          599 04     VY2ZM         599 CQZ:5|  
QSO: 21000 CW 2005-11-26 1620 K8AB          599 04     6Y7A          599 CQZ:8|  
QSO: 21000 CW 2005-11-26 1634 K8AB          599 04     PJ2T          599 CQZ:9|  
QSO: 21000 CW 2005-11-26 1638 K8AB          599 04     KP2/K3MD      599 CQZ:8|  
QSO: 21000 CW 2005-11-26 1639 K8AB          599 04     WP3C          599 CQZ:8|  
QSO: 21000 CW 2005-11-26 1641 K8AB          599 04     EA6IB         599 CQZ:14| 
QSO: 21000 CW 2005-11-26 1643 K8AB          599 04     TI5X          599 CQZ:7|  
QSO: 21000 CW 2005-11-26 1645 K8AB          599 04     EA9EU         599 CQZ:33| 
QSO: 21000 CW 2005-11-26 1653 K8AB          599 04     PJ4M          599 CQZ:9|  
QSO: 21000 CW 2005-11-26 1655 K8AB          599 04     CX5AO         599 CQZ:13| 
QSO: 21000 CW 2005-11-26 1656 K8AB          599 04     PT5A          599 CQZ:11| 
QSO: 21000 CW 2005-11-26 1657 K8AB          599 04     PY4CEL        599 CQZ:11| 
QSO: 21000 CW 2005-11-26 1659 K8AB          599 04     ZS1AN         599 CQZ:38| 
QSO: 21000 CW 2005-11-26 1707 K8AB          599 04     WP2Z          599 CQZ:8|  
QSO: 21000 CW 2005-11-26 1709 K8AB          599 04     PY8MGB        599 CQZ:11| 
QSO: 21000 CW 2005-11-26 1709 K8AB          599 04     PY2WC         599 CQZ:11| 
QSO: 21000 CW 2005-11-26 1712 K8AB          599 04     XE1MM         599 CQZ:6|  
QSO: 21000 CW 2005-11-26 1713 K8AB          599 04     LR2F          599 CQZ:13| 
QSO: 21000 CW 2005-11-26 1721 K8AB          599 04     HI3/SP9XCN    599 CQZ:8|  
QSO: 28000 CW 2005-11-26 1726 K8AB          599 04     NP3CW         599 CQZ:8|  
QSO: 28000 CW 2005-11-26 1728 K8AB          599 04     K3LR          599 CQZ:5|  
QSO: 28000 CW 2005-11-26 1730 K8AB          599 04     V26K          599 CQZ:8|  
QSO: 28000 CW 2005-11-26 1736 K8AB          599 04     CX7TT         599 CQZ:13| 
QSO: 28000 CW 2005-11-26 1741 K8AB          599 04     L73E          599 CQZ:13| 
QSO: 28000 CW 2005-11-26 1743 K8AB          599 04     P40W          599 CQZ:9|  
QSO: 28000 CW 2005-11-26 1752 K8AB          599 04     HC8N          599 CQZ:10| 
QSO: 28000 CW 2005-11-26 1805 K8AB          599 04     LU6ETB        599 CQZ:13| 
QSO: 28000 CW 2005-11-26 1807 K8AB          599 04     KP3Z          599 CQZ:8|  
QSO: 28000 CW 2005-11-26 1828 K8AB          599 04     8P5A          599 CQZ:8|  
