START-OF-LOG: 2.0
Callsign:  UK/JI2MED
Contest: CQ-WW-CW
Category: SINGLE-OP ALL LOW
Claimed-score: 
SOAPBOX: Created by zLog
SOAPBOX: Rig IC756PRO
SOAPBOX: 2ele quad es Cushcraft R8
SOAPBOX: This is to certify that in this contest I have operated my transmitter
SOAPBOX: within the limitations of my license and have fully observed the
SOAPBOX: rules and regulations of the contest.
Name: Manabu SHIMOYASHIRO
QSO:  3500 CW 2005-11-26 0008 UK/JI2MED     599 17     YZ0Z          599 15     0
QSO:  3500 CW 2005-11-26 0011 UK/JI2MED     599 17     Z37M          599 15     0
QSO:  3500 CW 2005-11-26 0013 UK/JI2MED     599 17     YT2T          599 15     0
QSO:  3500 CW 2005-11-26 0013 UK/JI2MED     599 17     UP0L          599 17     0
QSO:  3500 CW 2005-11-26 0015 UK/JI2MED     599 17     OH2BH         599 15     0
QSO:  3500 CW 2005-11-26 0021 UK/JI2MED     599 17     UP5G          599 17     0
QSO:  3500 CW 2005-11-26 0023 UK/JI2MED     599 17     RZ9SWR        599 16     0
QSO:  3500 CW 2005-11-26 0025 UK/JI2MED     599 17     US4EX         599 16     0
QSO:  3500 CW 2005-11-26 0031 UK/JI2MED     599 17     RW3GU/3       599 16     0
QSO:  3500 CW 2005-11-26 0034 UK/JI2MED     599 17     RZ4CWW        599 16     0
QSO:  3500 CW 2005-11-26 0037 UK/JI2MED     599 17     HA8MD         599 15     0
QSO:  3500 CW 2005-11-26 0039 UK/JI2MED     599 17     UA9MA         599 17     0
QSO:  3500 CW 2005-11-26 0041 UK/JI2MED     599 17     RK6YZZ        599 16     0
QSO:  7000 CW 2005-11-26 0052 UK/JI2MED     599 17     OE2S          599 15     0
QSO:  7000 CW 2005-11-26 0053 UK/JI2MED     599 17     HG6N          599 15     0
QSO:  7000 CW 2005-11-26 0058 UK/JI2MED     599 17     UA6LV         599 16     0
QSO:  7000 CW 2005-11-26 0100 UK/JI2MED     599 17     OK5MM         599 15     0
QSO:  7000 CW 2005-11-26 0103 UK/JI2MED     599 17     Z37M          599 15     0
QSO:  7000 CW 2005-11-26 0103 UK/JI2MED     599 17     UZ4E          599 16     0
QSO:  7000 CW 2005-11-26 0107 UK/JI2MED     599 17     UA4WKW        599 16     0
QSO:  7000 CW 2005-11-26 0108 UK/JI2MED     599 17     OK2BDF        599 15     0
QSO:  7000 CW 2005-11-26 0113 UK/JI2MED     599 17     UA4FER        599 16     0
QSO:  7000 CW 2005-11-26 0114 UK/JI2MED     599 17     T99Y          599 15     0
QSO:  7000 CW 2005-11-26 0115 UK/JI2MED     599 17     EW7LO         599 16     0
QSO:  7000 CW 2005-11-26 0117 UK/JI2MED     599 17     RK9DV         599 17     0
QSO:  7000 CW 2005-11-26 0118 UK/JI2MED     599 17     UU7JN         599 16     0
QSO:  7000 CW 2005-11-26 0118 UK/JI2MED     599 17     UA9CBM        599 17     0
QSO:  7000 CW 2005-11-26 0119 UK/JI2MED     599 17     R3R           599 16     0
QSO:  7000 CW 2005-11-26 0120 UK/JI2MED     599 17     SP4Z          599 15     0
QSO:  7000 CW 2005-11-26 0121 UK/JI2MED     599 17     YT7TY         599 15     0
QSO:  7000 CW 2005-11-26 0128 UK/JI2MED     599 17     SV1RP         599 20     0
QSO:  7000 CW 2005-11-26 0129 UK/JI2MED     599 17     OL7R          599 15     0
QSO:  7000 CW 2005-11-26 0129 UK/JI2MED     599 17     US2IR         599 16     0
QSO:  7000 CW 2005-11-26 0130 UK/JI2MED     599 17     F6KHM         599 14     0
QSO:  7000 CW 2005-11-26 0131 UK/JI2MED     599 17     TM6X          599 14     0
QSO:  7000 CW 2005-11-26 0132 UK/JI2MED     599 17     UY7LM         599 16     0
QSO:  7000 CW 2005-11-26 0133 UK/JI2MED     599 17     DF0CI         599 14     0
QSO:  7000 CW 2005-11-26 0135 UK/JI2MED     599 17     TM2T          599 14     0
QSO:  7000 CW 2005-11-26 0135 UK/JI2MED     599 17     OM7M          599 15     0
QSO:  7000 CW 2005-11-26 0136 UK/JI2MED     599 17     F6ARC         599 14     0
QSO:  7000 CW 2005-11-26 0141 UK/JI2MED     599 17     UW9I          599 16     0
QSO:  7000 CW 2005-11-26 0142 UK/JI2MED     599 17     IR2C          599 15     0
QSO:  7000 CW 2005-11-26 0145 UK/JI2MED     599 17     9N7JO         599 22     0
QSO:  7000 CW 2005-11-26 0146 UK/JI2MED     599 17     ES5MC         599 15     0
QSO:  7000 CW 2005-11-26 0147 UK/JI2MED     599 17     CT3EN         599 33     0
QSO:  7000 CW 2005-11-26 0150 UK/JI2MED     599 17     7X0RY         599 33     0
QSO:  7000 CW 2005-11-26 0151 UK/JI2MED     599 17     RZ6AZZ        599 16     0
QSO:  7000 CW 2005-11-26 0152 UK/JI2MED     599 17     UK9AA         599 17     0
