START-OF-LOG: 3.0
CONTEST: ARRL-DX-CW
CALLSIGN: K3JSJ
LOCATION: MDC
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-POWER: LOW
CATEGORY-BAND: 15M
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-TIME: 6-HOURS
OPERATORS: K3JSJ
CREATED-BY: N3FJP'S ARRL INTERNATIONAL DX CONTEST LOG 5.1.3
HQ-CATEGORY: Single Operator, Low Power, 15 Meters
HQ-GRID-LOCATOR: FM18PX
QSO: 21030 CW 2023-02-19 1416 K3JSJ 599 MD SN2M 599 1KW
QSO: 21029 CW 2023-02-19 1419 K3JSJ 599 MD PJ2T 599 50
QSO: 21011 CW 2023-02-19 1420 K3JSJ 599 MD W0EWD 599 IA
QSO: 21012 CW 2023-02-19 1433 K3JSJ 599 MD S53MM 599 500
QSO: 21014 CW 2023-02-19 1436 K3JSJ 599 MD K0RF 599 CO
QSO: 21014 CW 2023-02-19 1446 K3JSJ 599 MD SP2PIK 599 KW 0
QSO: 21019 CW 2023-02-19 1449 K3JSJ 599 MD YU5R 599 KW 0
QSO: 21020 CW 2023-02-19 1842 K3JSJ 599 MD S50R 599 KW 0
QSO: 21024 CW 2023-02-19 1846 K3JSJ 599 MD VP5K 599 500 0
QSO: 21026 CW 2023-02-19 1847 K3JSJ 599 MD 9A1A 599 KW 0
QSO: 21025 CW 2023-02-19 1848 K3JSJ 599 MD 9A3TR 599 KW 0
QSO: 21028 CW 2023-02-19 1850 K3JSJ 599 MD OK7W 599 KW 0
QSO: 21031 CW 2023-02-19 1851 K3JSJ 599 MD E7DX 599 KW 0
QSO: 21032 CW 2023-02-19 1854 K3JSJ 599 MD TM6M 599 KW 0
QSO: 21034 CW 2023-02-19 1855 K3JSJ 599 MD SP8R 599 KW 0
QSO: 21035 CW 2023-02-19 1857 K3JSJ 599 MD CR6K 599 KW 0
QSO: 21037 CW 2023-02-19 1900 K3JSJ 599 MD LN8W 599 KW 0
QSO: 21038 CW 2023-02-19 1901 K3JSJ 599 MD ED1R 599 KW 0
QSO: 21039 CW 2023-02-19 1901 K3JSJ 599 MD EB7A 599 KW 0
QSO: 21043 CW 2023-02-19 1903 K3JSJ 599 MD V31DJ 599 400 0
QSO: 21049 CW 2023-02-19 1907 K3JSJ 599 MD EI7M 599 KW 0
QSO: 21050 CW 2023-02-19 1908 K3JSJ 599 MD NP4Z 599 KW 0
QSO: 21050 CW 2023-02-19 1909 K3JSJ 599 MD DD2D 599 KW 0
QSO: 21051 CW 2023-02-19 1910 K3JSJ 599 MD N2IC 599 NM 0
QSO: 21052 CW 2023-02-19 1911 K3JSJ 599 MD CR3DX 599 KW 0
QSO: 21052 CW 2023-02-19 1913 K3JSJ 599 MD KP2M 599 KW 0
QSO: 21067 CW 2023-02-19 1918 K3JSJ 599 MD G4BUO 599 400 0
QSO: 21069 CW 2023-02-19 1920 K3JSJ 599 MD P40N 599 KW 0
END-OF-LOG:
