START-OF-LOG: 3.0
CREATED-BY: ua9qcq-yuri-gagarin-dx-ubn-downloader
CONTEST: YURI-GAGARIN-DX
CALLSIGN: RT4D
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-ASSISTED: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: 
CATEGORY-POWER: 
OPERATORS: R4DI, R4DK, RA4CON, RW4CB, UB4CKT, UD4D, RA4CMP, RA4CTR, RA4DX, RG4D
QSO:  7090 PH 2024-04-13 1201 RT4D          59  MP     R4CU          59  29    
QSO:  7090 PH 2024-04-13 1201 RT4D          59  MP     R4DD          59  29    
QSO:  7090 PH 2024-04-13 1202 RT4D          59  MP     RA4CCK        59  29    
QSO:  7090 PH 2024-04-13 1204 RT4D          59  MP     RV3DEP        59  29    
QSO:  7090 PH 2024-04-13 1205 RT4D          59  MP     UA4FDK        59  29    
QSO: 21025 CW 2024-04-13 1207 RT4D          599 MP     DF5EN         599 28    
QSO:  7090 PH 2024-04-13 1207 RT4D          59  MP     R2SDK         59  29    
QSO: 14145 PH 2024-04-13 1207 RT4D          59  MP     R6CZ          59  29    
QSO: 21025 CW 2024-04-13 1208 RT4D          599 MP     HA5GF         599 28    
QSO: 21025 CW 2024-04-13 1208 RT4D          599 MP     R9OK          599 31    
QSO: 14145 PH 2024-04-13 1208 RT4D          59  MP     RL9M          59  30    
QSO: 14145 PH 2024-04-13 1209 RT4D          59  MP     RV3DEP        59  29    
QSO: 14145 PH 2024-04-13 1210 RT4D          59  MP     UN7EW         59  30    
QSO: 14145 PH 2024-04-13 1211 RT4D          59  MP     R1IO          59  20    
QSO: 14145 PH 2024-04-13 1211 RT4D          59  MP     R2BP          59  29    
QSO:  7090 PH 2024-04-13 1211 RT4D          59  MP     RU4PIC        59  29    
QSO: 14145 PH 2024-04-13 1213 RT4D          59  MP     RK3YWS        59  29    
QSO: 14145 PH 2024-04-13 1213 RT4D          59  MP     RZ9YW         59  31    
QSO:  7090 PH 2024-04-13 1213 RT4D          59  MP     UB4CCU        59  29    
QSO: 14145 PH 2024-04-13 1214 RT4D          59  MP     R8YB          59  31    
QSO: 14145 PH 2024-04-13 1215 RT4D          59  MP     R9UDK         59  31    
QSO: 14145 PH 2024-04-13 1215 RT4D          59  MP     RA3DSV        59  29    
QSO: 14145 PH 2024-04-13 1216 RT4D          59  MP     R6BH          59  29    
QSO: 14145 PH 2024-04-13 1217 RT4D          59  MP     EW8MZ         59  29    
QSO: 14145 PH 2024-04-13 1218 RT4D          59  MP     R1CX          59  29    
QSO: 14145 PH 2024-04-13 1219 RT4D          59  MP     LZ1DQ         59  28    
QSO: 14145 PH 2024-04-13 1221 RT4D          59  MP     RK9DO         59  30    
QSO: 14145 PH 2024-04-13 1221 RT4D          59  MP     UA6ABE        59  29    
QSO: 14155 PH 2024-04-13 1225 RT4D          59  MP     RA9AU         59  30    
QSO: 14163 PH 2024-04-13 1225 RT4D          59  MP     RW0A          59  SA    
