START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.24.0
CONTEST: REF-CW
LOCATION: 54
CALLSIGN: F8EBY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 318150
OFFTIME: 2017-01-28 1112 2017-01-28 1322
OFFTIME: 2017-01-29 0027 2017-01-29 0729
OFFTIME: 2017-01-29 1144 2017-01-29 1256
OPERATORS: 
NAME: Manu FREMION
CERTIFICATE: NO
SOAPBOX: Un bon contest malgré le plantage du système du PC dimanche matin,
SOAPBOX: c'est ma dernière machine sous un OS propriétaire ;-)
RIG: TS440SAT (100W), DX88 antenna et Win-Test v3 puis v4.
QSO:  3500 CW 2017-01-28 0822 F8EBY         599 54     F8AAN         599 33    
QSO:  3500 CW 2017-01-28 0831 F8EBY         599 54     F5POJ         599 02    
QSO:  3500 CW 2017-01-28 0833 F8EBY         599 54     TM1A          599 77    
QSO:  3500 CW 2017-01-28 0838 F8EBY         599 54     F6GCT         599 77    
QSO:  3500 CW 2017-01-28 0839 F8EBY         599 54     F8DRE         599 28    
QSO:  3500 CW 2017-01-28 0846 F8EBY         599 54     F2YT          599 62    
QSO:  3500 CW 2017-01-28 0851 F8EBY         599 54     F6JOE         599 01    
QSO:  3500 CW 2017-01-28 0854 F8EBY         599 54     F6FET         599 53    
QSO:  7000 CW 2017-01-28 0900 F8EBY         599 54     F8GGZ         599 39    
QSO:  7000 CW 2017-01-28 0903 F8EBY         599 54     F5OEV         599 85    
QSO:  7000 CW 2017-01-28 0911 F8EBY         599 54     F6EYB         599 40    
QSO:  7000 CW 2017-01-28 0918 F8EBY         599 54     F6KRD         599 13    
QSO:  7000 CW 2017-01-28 0922 F8EBY         599 54     F6HEO/P       599 58    
QSO:  7000 CW 2017-01-28 0925 F8EBY         599 54     F8KLY         599 69    
QSO:  7000 CW 2017-01-28 0928 F8EBY         599 54     F8KGW         599 35    
QSO:  7000 CW 2017-01-28 0931 F8EBY         599 54     F6DYX         599 49    
QSO:  7000 CW 2017-01-28 0935 F8EBY         599 54     PA2PCH        599 009   
QSO:  7000 CW 2017-01-28 0943 F8EBY         599 54     TM1A          599 77    
QSO:  7000 CW 2017-01-28 0946 F8EBY         599 54     F5OHM         599 36    
QSO:  7000 CW 2017-01-28 1010 F8EBY         599 54     F8KCF         599 74    
QSO:  7000 CW 2017-01-28 1011 F8EBY         599 54     HA2MV         599 002   
QSO:  7000 CW 2017-01-28 1013 F8EBY         599 54     F6KHM         599 29    
QSO:  7000 CW 2017-01-28 1015 F8EBY         599 54     F4WBN         599 64    
QSO:  7000 CW 2017-01-28 1017 F8EBY         599 54     F8BDX         599 06    
QSO:  7000 CW 2017-01-28 1019 F8EBY         599 54     F5UTN         599 27    
