START-OF-LOG: 3.0
CATEGORY: Single operator, CW, low power
CONTEST: WAG
LOCATION: DX
CALLSIGN: R7MM
GRID-LOCATOR: KN97LG
CLAIMED-SCORE: 269448
OPERATORS: R7MM
OFFTIME:
CLUB:
ADDRESS-CITY: Taganrog
ADDRESS-STATE-PROVINCE: Rostovskay obl.
ADDRESS-POSTALCODE: 347942
ADDRESS-COUNTRY: Russia
CREATED-BY: 5MContest ver. 8.0.13, modified by DXHF upload.
QSO: 14036 CW 2025-10-18 1500 R7MM          599 001    DF1DT         599 G38
QSO: 14033 CW 2025-10-18 1500 R7MM          599 002    DL7VEE        599 D26
QSO: 14024 CW 2025-10-18 1501 R7MM          599 003    DM7M          599 S48
QSO: 14026 CW 2025-10-18 1502 R7MM          599 004    DL0RD         599 L16
QSO: 14036 CW 2025-10-18 1502 R7MM          599 005    DL1NEO        599 B36
QSO: 14031 CW 2025-10-18 1503 R7MM          599 006    DA0BCC        599 BCC
QSO: 14019 CW 2025-10-18 1504 R7MM          599 007    DD1LD         599 C12
QSO: 14020 CW 2025-10-18 1504 R7MM          599 008    DM4KM         599 NM
QSO: 14015 CW 2025-10-18 1505 R7MM          599 009    DL3BWG        599 Y14
QSO: 14014 CW 2025-10-18 1506 R7MM          599 010    DL6AG         599 S44
QSO: 21025 CW 2025-10-18 1508 R7MM          599 011    DK5XG         599 E22
QSO: 21027 CW 2025-10-18 1509 R7MM          599 012    DK9PY         599 K04
QSO: 21030 CW 2025-10-18 1510 R7MM          599 013    DJ9MH         599 B10
QSO: 21028 CW 2025-10-18 1510 R7MM          599 014    DM3ZF         599 DVY
QSO: 21029 CW 2025-10-18 1511 R7MM          599 015    DJ8EW         599 C25
QSO: 21018 CW 2025-10-18 1511 R7MM          599 016    DA0LH         599 25ILLW
QSO: 21013 CW 2025-10-18 1513 R7MM          599 017    DJ3CS         599 X04
QSO: 21019 CW 2025-10-18 1514 R7MM          599 018    DA2K          599 C37
QSO: 21019 CW 2025-10-18 1515 R7MM          599 019    DM3M          599 Q07
QSO: 21020 CW 2025-10-18 1516 R7MM          599 020    DL9ABM        599 H07
QSO: 21021 CW 2025-10-18 1516 R7MM          599 021    DJ3HW         599 H04
QSO: 21022 CW 2025-10-18 1516 R7MM          599 022    DL1EAR        599 R25
QSO: 21024 CW 2025-10-18 1517 R7MM          599 023    DQ1V          599 V19
QSO: 21034 CW 2025-10-18 1517 R7MM          599 024    DM3W          599 Y24
QSO: 21036 CW 2025-10-18 1518 R7MM          599 025    DL1HBT        599 G16
QSO: 21038 CW 2025-10-18 1519 R7MM          599 026    DJ2IA         599 F43
QSO: 21031 CW 2025-10-18 1519 R7MM          599 027    DL7YS         599 D06
QSO: 21031 CW 2025-10-18 1520 R7MM          599 028    DF7C          599 R10
QSO: 21028 CW 2025-10-18 1520 R7MM          599 029    DM3F          599 S07
QSO: 21023 CW 2025-10-18 1521 R7MM          599 030    DL1SAN        599 P14
QSO: 21018 CW 2025-10-18 1521 R7MM          599 031    DK9IP         599 A24
QSO: 21016 CW 2025-10-18 1522 R7MM          599 032    DL3BWG        599 Y14
QSO: 21012 CW 2025-10-18 1522 R7MM          599 033    DQ7Y          599 B19
QSO: 21006 CW 2025-10-18 1523 R7MM          599 034    DD5KG         599 C18
QSO: 21005 CW 2025-10-18 1523 R7MM          599 035    DR5K          599 X42
QSO: 21021 CW 2025-10-18 1524 R7MM          599 036    DF4XG         599 E33
QSO: 21023 CW 2025-10-18 1524 R7MM          599 037    DK9OY         599 H32
QSO: 21036 CW 2025-10-18 1525 R7MM          599 038    DA3D          599 H13
QSO: 21032 CW 2025-10-18 1526 R7MM          599 039    DJ9DZ         599 N06
QSO: 21035 CW 2025-10-18 1526 R7MM          599 040    DL2MDU        599 C06
QSO: 21039 CW 2025-10-18 1527 R7MM          599 041    DL0CK         599 R04
QSO: 21041 CW 2025-10-18 1528 R7MM          599 042    DK4FT         599 F33
QSO: 21040 CW 2025-10-18 1529 R7MM          599 043    DF6PK         599 K32
QSO: 21038 CW 2025-10-18 1529 R7MM          599 044    DK0EL         599 O39
QSO: 21021 CW 2025-10-18 1531 R7MM          599 045    DJ2XY         599 E33
QSO: 21018 CW 2025-10-18 1531 R7MM          599 046    DF8V          599 Q05
QSO: 21013 CW 2025-10-18 1532 R7MM          599 047    DL6UHA        599 Y27
QSO: 21010 CW 2025-10-18 1532 R7MM          599 048    DR5E          599 B25
QSO: 21008 CW 2025-10-18 1533 R7MM          599 049    DF0US         599 60H34
QSO: 21003 CW 2025-10-18 1534 R7MM          599 050    DM3ZM         599 Y28
QSO: 21026 CW 2025-10-18 1534 R7MM          599 051    DR5X          599 M11
QSO: 21014 CW 2025-10-18 1535 R7MM          599 052    DL4HG         599 E38
QSO: 21026 CW 2025-10-18 1536 R7MM          599 053    DD2D          599 F39
