START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: SP1AEN
CATEGORY: SINGLE-OP ALL LOW
CLUB: SP CONTEST CLUB
CONTEST: EA-MAJESTAD-CW
CLAIMED-SCORE: 158340
OPERATORS: SP1AEN
SOAPBOX: RIG: FTDX 3000 abt 50Wtts. Ant.: Lw for all bands
NAME: WLADYSLAW MAX WDOWCZYK
GRID-LOCATOR: JO83PM
CREATED-BY: N1MM Logger+ 1.0.9881.0
QSO: 14010 CW 2023-05-20 1200 SP1AEN        599 001    CR5O          599 1        
QSO: 14010 CW 2023-05-20 1204 SP1AEN        599 002    P3X           599 10       
QSO: 14013 CW 2023-05-20 1205 SP1AEN        599 003    PA3AAV        599 11       
QSO: 14013 CW 2023-05-20 1206 SP1AEN        599 004    EV1R          599 5        
QSO: 14014 CW 2023-05-20 1207 SP1AEN        599 005    OY1CT         599 14       
QSO: 14015 CW 2023-05-20 1207 SP1AEN        599 006    OH5TS         599 10       
QSO: 14016 CW 2023-05-20 1208 SP1AEN        599 007    LZ4R          599 18       
QSO: 14017 CW 2023-05-20 1209 SP1AEN        599 008    I6FDJ         599 4        
QSO: 14019 CW 2023-05-20 1214 SP1AEN        599 009    ED1B          599 O        
QSO: 14020 CW 2023-05-20 1216 SP1AEN        599 010    F5VKT         599 18       
QSO: 14022 CW 2023-05-20 1217 SP1AEN        599 011    EA8ZS         599 GC       
QSO: 14024 CW 2023-05-20 1220 SP1AEN        599 012    EA7A          599 SE       
QSO: 14024 CW 2023-05-20 1221 SP1AEN        599 013    SV8DJW        599 9        
QSO: 14024 CW 2023-05-20 1223 SP1AEN        599 014    DF5EG         599 23       
QSO: 14021 CW 2023-05-20 1226 SP1AEN        599 015    IT9WDC        599 23       
QSO: 14023 CW 2023-05-20 1227 SP1AEN        599 016    EA2ESB        599 TE       
QSO: 14015 CW 2023-05-20 1231 SP1AEN        599 017    SM5CSS        599 18       
QSO: 14040 CW 2023-05-20 1232 SP1AEN        599 018    9A1AA         599 61       
QSO: 28019 CW 2023-05-20 1235 SP1AEN        599 019    F5NBX         599 3        
QSO: 28015 CW 2023-05-20 1236 SP1AEN        599 020    EF0F          599 SMR         
QSO: 14019 CW 2023-05-20 1241 SP1AEN        599 021    SX1T          599 45       
QSO: 14021 CW 2023-05-20 1245 SP1AEN        599 022    UR5R          599 51       
QSO: 14021 CW 2023-05-20 1247 SP1AEN        599 023    LZ3QE         599 55       
QSO: 14031 CW 2023-05-20 1248 SP1AEN        599 024    SV1JG         599 74       
QSO: 14034 CW 2023-05-20 1300 SP1AEN        599 025    2E0OBO        599 30       
QSO: 14031 CW 2023-05-20 1304 SP1AEN        599 026    EA5FID        599 A        
QSO: 14047 CW 2023-05-20 1305 SP1AEN        599 027    R6DMT         599 40       
QSO: 14047 CW 2023-05-20 1306 SP1AEN        599 028    IK4RVY        599 22       
QSO: 14047 CW 2023-05-20 1309 SP1AEN        599 029    EV6Z          599 39       
QSO: 14047 CW 2023-05-20 1311 SP1AEN        599 030    G3P           599 59       
QSO: 14011 CW 2023-05-20 1315 SP1AEN        599 031    EA5M          599 MU       
