START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: SZ1A
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 1585122
CLUB: RADIO AMATEUR ASSOCIATION OF WESTERN GREECE
CONTEST: CQ-WW-RTTY
CREATED-BY: WriteLog V10.86C
NAME: RADIO AMATEUR ASSOCIATION OF WESTERN GREECE
OPERATORS: SV1DPI  SV1CIB  SV1EBV  SV1HKZ  SV1HLB  SV2HQL  SV1ENG
SOAPBOX:
QSO:  7059 RY 2011-09-24 0014 SZ1A          599     20 SV     RA6MK         599 16     DX
QSO:  7059 RY 2011-09-24 0016 SZ1A          599     20 SV     UT0NN         599 16     DX
QSO:  7059 RY 2011-09-24 0017 SZ1A          599     20 SV     UU7J          599 16     DX
QSO:  7059 RY 2011-09-24 0017 SZ1A          599     20 SV     OZ6TL         599 14     DX
QSO:  7059 RY 2011-09-24 0019 SZ1A          599     20 SV     UC0A          599 18     DX
QSO:  7059 RY 2011-09-24 0019 SZ1A          599     20 SV     RZ4HZW        599 16     DX
QSO:  7059 RY 2011-09-24 0020 SZ1A          599     20 SV     DF7JC         599 14     DX
QSO:  7059 RY 2011-09-24 0021 SZ1A          599     20 SV     UT1IM         599 16     DX
QSO:  7059 RY 2011-09-24 0022 SZ1A          599     20 SV     II1TXD        599 15     DX
QSO:  7059 RY 2011-09-24 0027 SZ1A          599     20 SV     IW2MXY        599 15     DX
QSO:  7059 RY 2011-09-24 0028 SZ1A          599     20 SV     RM5P          599 16     DX
QSO:  7059 RY 2011-09-24 0034 SZ1A          599     20 SV     SP8CGU        599 15     DX
QSO:  7059 RY 2011-09-24 0036 SZ1A          599     20 SV     RW3TT         599 16     DX
QSO:  7059 RY 2011-09-24 0037 SZ1A          599     20 SV     US4LPY        599 16     DX
QSO:  7068 RY 2011-09-24 0043 SZ1A          599     20 SV     OH1F          599 15     DX
QSO:  7070 RY 2011-09-24 0046 SZ1A          599     20 SV     G3VMY         599 14     DX
QSO:  7070 RY 2011-09-24 0047 SZ1A          599     20 SV     RA3FH         599 16     DX
QSO:  7070 RY 2011-09-24 0053 SZ1A          599     20 SV     LZ8E          599 20     DX
QSO:  7070 RY 2011-09-24 0053 SZ1A          599     20 SV     R4WAA         599 16     DX
QSO:  7070 RY 2011-09-24 0054 SZ1A          599     20 SV     UZ5HZZ        599 16     DX
QSO:  7070 RY 2011-09-24 0055 SZ1A          599     20 SV     YL3CU         599 15     DX
QSO:  7070 RY 2011-09-24 0058 SZ1A          599     20 SV     RA3QSY        599 16     DX
QSO:  7070 RY 2011-09-24 0059 SZ1A          599     20 SV     DK7ZT         599 14     DX
QSO:  7070 RY 2011-09-24 0059 SZ1A          599     20 SV     UU1K          599 16     DX
QSO:  7070 RY 2011-09-24 0100 SZ1A          599     20 SV     DF5MA         599 14     DX
QSO:  7070 RY 2011-09-24 0104 SZ1A          599     20 SV     RK4YJ         599 16     DX
QSO:  7070 RY 2011-09-24 0106 SZ1A          599     20 SV     OH7MN         599 15     DX
QSO:  7070 RY 2011-09-24 0106 SZ1A          599     20 SV     MI0SAI        599 14     DX
QSO:  7070 RY 2011-09-24 0107 SZ1A          599     20 SV     DJ8OG         599 14     DX
QSO:  7070 RY 2011-09-24 0110 SZ1A          599     20 SV     DJ3NG         599 14     DX
QSO:  7070 RY 2011-09-24 0111 SZ1A          599     20 SV     RW4PL         599 16     DX
QSO:  7070 RY 2011-09-24 0111 SZ1A          599     20 SV     DL5ASK        599 14     DX
QSO:  7070 RY 2011-09-24 0112 SZ1A          599     20 SV     UZ2M          599 16     DX
QSO:  7070 RY 2011-09-24 0112 SZ1A          599     20 SV     UT5EPP        599 16     DX
QSO:  7070 RY 2011-09-24 0112 SZ1A          599     20 SV     SP6IHE        599 15     DX
QSO:  7070 RY 2011-09-24 0113 SZ1A          599     20 SV     UR4U          599 16     DX
QSO:  7070 RY 2011-09-24 0114 SZ1A          599     20 SV     EA1GT/QRP     599 14     DX
QSO:  7070 RY 2011-09-24 0115 SZ1A          599     20 SV     UA4HJ         599 16     DX
QSO:  7070 RY 2011-09-24 0116 SZ1A          599     20 SV     UU9JQ         599 16     DX
QSO:  7070 RY 2011-09-24 0117 SZ1A          599     20 SV     SP5TAZ        599 15     DX
