START-OF-LOG: 3.0
CALLSIGN: NC4CS
CLUB: Carolina Shine
CONTEST: CQ-WW-RTTY
CLAIMED-SCORE: 1725210
OPERATORS: WB4ROA N4LV KJ4DHB K2ONN N6XWF AI4WL
SOAPBOX: Many new folks obviously trying RTTY for perhaps the first time.  I
SOAPBOX: saw many of the same inconsiderate actions noted in DX pileups and
SOAPBOX: that is a shame.  A run frequency is always in contetion, and that is
SOAPBOX: understood.  However, vast majority of operators were always curtious,
SOAPBOX: called a station twice and waited their turn to work the station.
SOAPBOX: During this contest many sent their calls 5-6 times on multiple
SOAPBOX: occasions overriding the CQing station creating chaos.  I like to
SOAPBOX: believe this is not malicious, just new folks that do not know any
SOAPBOX: better, or worse yet, folks mimicking the style of other operators.
SOAPBOX: As CQ and ARRL are supposedly leaders of our fine hobby, please get
SOAPBOX: the word out on how to operate a RTTY contest in an honorable manner.
SOAPBOX: There are no cash awards...
NAME: Hsarold Aaron
CREATED-BY: N1MM Logger V10.9.6
LOCATION: NC
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-ASSISTED: ASSISTED
CATEGORY-STATION: FIXED
QSO:  7049 RY 2010-09-25 0005 NC4CS         599 05 NC  GW4SKA        599 14 DX  1
QSO:  7048 RY 2010-09-25 0006 NC4CS         599 05 NC  SO4M          599 15 DX  1
QSO:  7044 RY 2010-09-25 0011 NC4CS         599 05 NC  UW8I          599 16 DX  1
QSO:  7041 RY 2010-09-25 0015 NC4CS         599 05 NC  IT9GSF        599 15 DX  1
QSO:  7039 RY 2010-09-25 0019 NC4CS         599 05 NC  IK4MGP        599 15 DX  1
QSO:  7033 RY 2010-09-25 0021 NC4CS         599 05 NC  AC4M          599 04 TN  1
QSO:  7033 RY 2010-09-25 0022 NC4CS         599 05 NC  VE1OP         599 05 NS  1
QSO: 14088 RY 2010-09-25 0023 NC4CS         599 05 NC  K7VIT         599 03 OR  0
QSO:  7041 RY 2010-09-25 0029 NC4CS         599 05 NC  EF8M          599 33 DX  1
QSO: 14088 RY 2010-09-25 0030 NC4CS         599 05 NC  W4VIC         599 05 VA  0
QSO:  7042 RY 2010-09-25 0032 NC4CS         599 05 NC  T70A          599 15 DX  1
QSO:  7050 RY 2010-09-25 0034 NC4CS         599 05 NC  VY2LI         599 05 PE  1
QSO: 14088 RY 2010-09-25 0034 NC4CS         599 05 NC  K5UO          599 04 TX  0
QSO:  7057 RY 2010-09-25 0035 NC4CS         599 05 NC  S52X          599 15 DX  1
QSO: 14088 RY 2010-09-25 0036 NC4CS         599 05 NC  JW5X          599 40 DX  0
QSO: 14088 RY 2010-09-25 0040 NC4CS         599 05 NC  W5WLA         599 04 TX  0
QSO:  7053 RY 2010-09-25 0042 NC4CS         599 05 NC  HA9PP         599 15 DX  1
QSO:  7055 RY 2010-09-25 0044 NC4CS         599 05 NC  VA2WDQ        599 05 QC  1
QSO: 14083 RY 2010-09-25 0044 NC4CS         599 05 NC  WA9AFM/5      599 04 OK  0
QSO:  7043 RY 2010-09-25 0051 NC4CS         599 05 NC  E74KC         599 15 DX  1
QSO:  7042 RY 2010-09-25 0052 NC4CS         599 05 NC  W7RY          599 03 WA  1
QSO:  7036 RY 2010-09-25 0054 NC4CS         599 05 NC  HI3TEJ        599 08 DX  1
QSO: 14083 RY 2010-09-25 0055 NC4CS         599 05 NC  KR4LO         599 05 NC  0
QSO:  7046 RY 2010-09-25 0056 NC4CS         599 05 NC  EB1LA         599 14 DX  1
QSO:  7046 RY 2010-09-25 0113 NC4CS         599 05 NC  ER0FT         599 16 DX  0
QSO:  7046 RY 2010-09-25 0114 NC4CS         599 05 NC  AB1J          599 05 MA  0
QSO:  7046 RY 2010-09-25 0115 NC4CS         599 05 NC  KO4PU         599 04 KY  0
