START-OF-LOG: 3.0
LOCATION: VA
CALLSIGN: AI4WU
CLUB: Potomac Valley Radio Club
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: RTTY
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 463775
OPERATORS: AI4WU
SOAPBOX: Total time BIC 19:39. Not a record, but better than I've managed
SOAPBOX: lately. Had some good runs Max 60 minute rate = 68/hr. Had some
SOAPBOX: software problems in previous RTTY contest, so started this one slow
SOAPBOX: in S&P until I was sure things were working OK.
NAME: Chuck White
CREATED-BY: N1MM Logger+ 1.0.5472.0
QSO: 14078 RY 2016-02-13 0019 AI4WU         599 0001   N7NM          599 0025
QSO: 14079 RY 2016-02-13 0027 AI4WU         599 0002   AA5AU         599 0004
QSO: 14080 RY 2016-02-13 0029 AI4WU         599 0003   K7RI          599 0035
QSO: 14080 RY 2016-02-13 0031 AI4WU         599 0004   KZ7X          599 0062
QSO: 14081 RY 2016-02-13 0033 AI4WU         599 0005   N5VYS         599 0014
QSO: 14082 RY 2016-02-13 0035 AI4WU         599 0006   WC1X          599 0042
QSO: 14083 RY 2016-02-13 0038 AI4WU         599 0007   VE7SQ         599 0019
QSO: 14086 RY 2016-02-13 0042 AI4WU         599 0008   W4GKM         599 0039
QSO: 14086 RY 2016-02-13 0043 AI4WU         599 0009   KS7AA         599 0107
QSO: 14086 RY 2016-02-13 0048 AI4WU         599 0010   NO6F          599 0085
QSO: 14088 RY 2016-02-13 0049 AI4WU         599 0011   XE2K          599 0071
QSO: 14088 RY 2016-02-13 0050 AI4WU         599 0012   KN5TX         599 0064
QSO: 14089 RY 2016-02-13 0051 AI4WU         599 0013   P49X          599 0130
QSO: 14091 RY 2016-02-13 0057 AI4WU         599 0014   VA2ES         599 0046
QSO: 14092 RY 2016-02-13 0059 AI4WU         599 0015   W6AEA         599 0062
QSO: 14092 RY 2016-02-13 0101 AI4WU         599 0016   N7ESU         599 0015
QSO: 14093 RY 2016-02-13 0102 AI4WU         599 0017   VE3TW         599 0032
QSO: 14094 RY 2016-02-13 0104 AI4WU         599 0018   NV9L          599 0053
QSO: 14094 RY 2016-02-13 0105 AI4WU         599 0019   WW7RY         599 0118
QSO: 14096 RY 2016-02-13 0112 AI4WU         599 0020   KF7PBM        599 0007
QSO: 14097 RY 2016-02-13 0113 AI4WU         599 0021   AA5B          599 0084
QSO: 14098 RY 2016-02-13 0115 AI4WU         599 0022   VE2GSO        599 0050
QSO: 14099 RY 2016-02-13 0122 AI4WU         599 0023   VE7CC         599 0176
QSO: 14102 RY 2016-02-13 0123 AI4WU         599 0024   WM5DX         599 0085
QSO: 14106 RY 2016-02-13 0126 AI4WU         599 0025   K8AJS         599 0046
QSO: 14106 RY 2016-02-13 0128 AI4WU         599 0026   PY2NY         599 0088
QSO: 14108 RY 2016-02-13 0131 AI4WU         599 0027   YV5AAX        599 0054
QSO: 14110 RY 2016-02-13 0135 AI4WU         599 0028   VA7KO         599 0080
QSO: 14111 RY 2016-02-13 0136 AI4WU         599 0029   NN6NN         599 0017
QSO: 14114 RY 2016-02-13 0138 AI4WU         599 0030   AB0RX         599 0099
QSO: 14115 RY 2016-02-13 0140 AI4WU         599 0031   N2NS          599 0050
QSO:  7034 RY 2016-02-13 0153 AI4WU         599 0032   S56A          599 0094
QSO:  7035 RY 2016-02-13 0155 AI4WU         599 0033   WW4LL         599 0192
QSO:  7035 RY 2016-02-13 0156 AI4WU         599 0031   EB1TR         599 0063
QSO:  7036 RY 2016-02-13 0201 AI4WU         599 0034   WA1FCN        599 0095
QSO:  7037 RY 2016-02-13 0203 AI4WU         599 0035   W9IU          599 0128
QSO:  7037 RY 2016-02-13 0204 AI4WU         599 0036   W4GKM         599 0149
QSO:  7038 RY 2016-02-13 0206 AI4WU         599 0037   HG1S          599 0166
QSO:  7040 RY 2016-02-13 0208 AI4WU         599 0038   N0NI          599 0137
QSO:  7041 RY 2016-02-13 0212 AI4WU         599 0039   UW2M          599 0237
QSO:  7042 RY 2016-02-13 0214 AI4WU         599 0040   ED1R          599 0181
