START-OF-LOG: 3.0
CALLSIGN: UA4FX
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: RTTY
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 432432
CLUB:
LOCATION: DX
CREATED-BY: MixW 3.1.1
NAME: Pavel Vlasov
OPERATORS: UA4FX
SOAPBOX: FT DX-3000
SOAPBOX: Ant: 80M - LW, 40M - IV, 20-10M - Tribander
QSO:  7046 RY 2016-02-13 0735 UA4FX         599 001    UR4EI         599 113
QSO:  7047 RY 2016-02-13 0737 UA4FX         599 002    UA3PI         599 209
QSO:  7048 RY 2016-02-13 0739 UA4FX         599 003    SN2M          599 343
QSO:  7046 RY 2016-02-13 0814 UA4FX         599 004    SQ5LTL        599 053
QSO:  7044 RY 2016-02-13 0816 UA4FX         599 005    LG5LG         599 266
QSO:  7044 RY 2016-02-13 0820 UA4FX         599 006    LB8IB         599 345
QSO:  7042 RY 2016-02-13 0822 UA4FX         599 007    YL4U          599 233
QSO: 21079 RY 2016-02-13 1425 UA4FX         599 008    IZ3SQW        599 421
QSO: 21080 RY 2016-02-13 1427 UA4FX         599 009    K5WE          599 121
QSO: 21081 RY 2016-02-13 1428 UA4FX         599 010    LX7I          599 312
QSO: 21081 RY 2016-02-13 1429 UA4FX         599 011    II2V          599 464
QSO: 21082 RY 2016-02-13 1430 UA4FX         599 012    9A1A          599 552
QSO: 21083 RY 2016-02-13 1431 UA4FX         599 013    WX3SKY        599 012
QSO: 21085 RY 2016-02-13 1435 UA4FX         599 014    NR4M          599 275
QSO: 21086 RY 2016-02-13 1437 UA4FX         599 015    DF2KD         599 144
QSO: 21087 RY 2016-02-13 1437 UA4FX         599 016    W4GKM         599 323
QSO: 21088 RY 2016-02-13 1443 UA4FX         599 017    DP7D          599 724
QSO: 21089 RY 2016-02-13 1444 UA4FX         599 018    IZ8ECL        599 351
QSO: 21091 RY 2016-02-13 1446 UA4FX         599 019    IQ1RY         599 961
QSO: 21092 RY 2016-02-13 1451 UA4FX         599 020    IQ9II         599 918
QSO: 21093 RY 2016-02-13 1452 UA4FX         599 021    CT1BXT        599 106
QSO: 21095 RY 2016-02-13 1454 UA4FX         599 022    AC0C          599 674
QSO: 21096 RY 2016-02-13 1457 UA4FX         599 023    ON5GQ         599 349
QSO: 21095 RY 2016-02-13 1459 UA4FX         599 024    DO4NT         599 001
QSO: 21097 RY 2016-02-13 1502 UA4FX         599 025    K5RT          599 229
QSO: 21097 RY 2016-02-13 1503 UA4FX         599 026    DL4LT         599 084
QSO: 21099 RY 2016-02-13 1504 UA4FX         599 027    DL5AXX        599 043
QSO: 21100 RY 2016-02-13 1505 UA4FX         599 028    IW9FDD        599 301
QSO: 21102 RY 2016-02-13 1509 UA4FX         599 029    VE3UTT        599 333
QSO: 21103 RY 2016-02-13 1511 UA4FX         599 030    KB1W          599 149
QSO: 21103 RY 2016-02-13 1515 UA4FX         599 031    WM5DX         599 363
QSO: 21103 RY 2016-02-13 1516 UA4FX         599 032    NW1E          599 215
QSO: 21109 RY 2016-02-13 1521 UA4FX         599 033    DO9EE         599 063
QSO: 21111 RY 2016-02-13 1523 UA4FX         599 034    VE2GSO        599 284
QSO: 21110 RY 2016-02-13 1525 UA4FX         599 035    AA3B          599 1029
QSO: 21112 RY 2016-02-13 1526 UA4FX         599 036    F1RCH         599 345
QSO: 21115 RY 2016-02-13 1528 UA4FX         599 037    DR5N          599 332
QSO: 21116 RY 2016-02-13 1534 UA4FX         599 038    P40FA         599 435
QSO: 21113 RY 2016-02-13 1537 UA4FX         599 039    DL1T          599 350
QSO: 21113 RY 2016-02-13 1537 UA4FX         599 040    P49X          599 1514
QSO: 21112 RY 2016-02-13 1541 UA4FX         599 041    ON6AT         599 046
QSO: 21084 RY 2016-02-13 1544 UA4FX         599 042    EI1E          599 118
QSO: 21090 RY 2016-02-13 1550 UA4FX         599 043    EB8AH         599 589
QSO: 14079 RY 2016-02-13 1745 UA4FX         599 044    EA7AZA        599 086
QSO: 14081 RY 2016-02-13 1746 UA4FX         599 045    UT8EL         599 740
QSO: 14081 RY 2016-02-13 1749 UA4FX         599 046    YL2KF         599 448
QSO: 14082 RY 2016-02-13 1750 UA4FX         599 047    DM1A          599 579
QSO: 14082 RY 2016-02-13 1751 UA4FX         599 048    9A5K          599 389
QSO: 14083 RY 2016-02-13 1753 UA4FX         599 049    GM3W          599 547
QSO: 14084 RY 2016-02-13 1754 UA4FX         599 050    SV8DTD        599 406
QSO: 14084 RY 2016-02-13 1755 UA4FX         599 051    ES1O          599 396
QSO: 14085 RY 2016-02-13 1757 UA4FX         599 052    EC5JC         599 085
QSO: 14086 RY 2016-02-13 1758 UA4FX         599 053    SZ1A          599 1596
QSO: 14085 RY 2016-02-13 1759 UA4FX         599 054    R7RIB         599 340
QSO: 14086 RY 2016-02-13 1801 UA4FX         599 055    TM6M          599 812
QSO: 14087 RY 2016-02-13 1803 UA4FX         599 056    DK0WRTC       599 264
QSO: 14089 RY 2016-02-13 1805 UA4FX         599 057    IW3QRM        599 490
QSO: 14090 RY 2016-02-13 1807 UA4FX         599 058    SN7Q          599 502
QSO: 14090 RY 2016-02-13 1811 UA4FX         599 059    UZ0A          599 694
QSO: 14091 RY 2016-02-13 1813 UA4FX         599 060    IU2ABV        599 017
QSO: 14093 RY 2016-02-13 1817 UA4FX         599 061    IQ9UI         599 1189
QSO: 14095 RY 2016-02-13 1819 UA4FX         599 062    IK8LXI        599 038
