START-OF-LOG: 3.0
CONTEST: ARRL-DIGI
CALLSIGN: NN7SS
LOCATION: WWA
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-POWER: QRP
CATEGORY-BAND: ALL
CATEGORY-MODE: DIGI
CATEGORY-TRANSMITTER: TWO
CATEGORY-STATION: FIXED
CATEGORY-TIME: 8-HOURS
OPERATORS: K6UFO
CLUB: Western Washington DX Club
CREATED-BY: WRITELOG V12.66A
HQ-CATEGORY: Single Operator, Two Radios (SO2R), QRP, 8 Hours
HQ-GRID-LOCATOR: CN87SJ
QSO: 14090 DG 2023-06-03 1808 NN7SS CN87 N0GTO DM59
QSO: 21074 DG 2023-06-03 1809 NN7SS CN87 WA2MCR FN31
QSO: 21090 DG 2023-06-03 1810 NN7SS CN87 WA0I EM39
QSO: 14090 DG 2023-06-03 1811 NN7SS CN87 K9WX EN60
QSO: 21090 DG 2023-06-03 1812 NN7SS CN87 WA9YEE DN70
QSO: 14090 DG 2023-06-03 1813 NN7SS CN87 KC3JNW FN11
QSO: 14090 DG 2023-06-03 1815 NN7SS CN87 N3KN EM97
QSO: 21090 DG 2023-06-03 1815 NN7SS CN87 CO7SV FL11
QSO: 14090 DG 2023-06-03 1818 NN7SS CN87 N9JVA EN51
QSO: 14090 DG 2023-06-03 1819 NN7SS CN87 K3REW FM29
QSO: 14090 DG 2023-06-03 1821 NN7SS CN87 KE7GKI DM33
QSO: 21090 DG 2023-06-03 1822 NN7SS CN87 N1RDN FN41
QSO: 21090 DG 2023-06-03 1823 NN7SS CN87 N0GTO DM59
QSO: 21090 DG 2023-06-03 1824 NN7SS CN87 N0TA DN70
QSO: 14090 DG 2023-06-03 1825 NN7SS CN87 K7BTW CN86
QSO: 21090 DG 2023-06-03 1825 NN7SS CN87 WC4J FM18
QSO: 14090 DG 2023-06-03 1827 NN7SS CN87 KI5RCS EM10
QSO: 21090 DG 2023-06-03 1827 NN7SS CN87 WV4P EM55
QSO: 14090 DG 2023-06-03 1828 NN7SS CN87 KO8V FM08
QSO: 21090 DG 2023-06-03 1829 NN7SS CN87 AB1J FN42
QSO: 21090 DG 2023-06-03 1832 NN7SS CN87 K1RH FM19
QSO: 21090 DG 2023-06-03 1835 NN7SS CN87 KC3JNW FN11
QSO: 14090 DG 2023-06-03 1836 NN7SS CN87 N5YT EM51
QSO: 21090 DG 2023-06-03 1836 NN7SS CN87 N5YT EM51
QSO: 21090 DG 2023-06-03 1838 NN7SS CN87 WB3DPS FN00
QSO: 21090 DG 2023-06-03 1840 NN7SS CN87 W9TO EM89
QSO: 14090 DG 2023-06-03 1842 NN7SS CN87 WV4P EM55
QSO: 21090 DG 2023-06-03 1843 NN7SS CN87 WB0DHB EN36
QSO: 14090 DG 2023-06-03 1844 NN7SS CN87 NN6U CM87
QSO: 21090 DG 2023-06-03 1844 NN7SS CN87 KB4S FM17
QSO: 21090 DG 2023-06-03 1846 NN7SS CN87 WA8YZB EN82
QSO: 21090 DG 2023-06-03 1847 NN7SS CN87 N5DU EM42
QSO: 21090 DG 2023-06-03 1852 NN7SS CN87 K1PNQ FN42
QSO: 14090 DG 2023-06-03 1904 NN7SS CN87 K8EC EM89
QSO: 21090 DG 2023-06-03 1904 NN7SS CN87 AK4NF EM62
QSO: 14090 DG 2023-06-03 1905 NN7SS CN87 KM6GCA DM04
QSO: 21090 DG 2023-06-03 1906 NN7SS CN87 W5ZJ EM45
QSO: 14090 DG 2023-06-03 1907 NN7SS CN87 KF6JXM DM13
QSO: 21090 DG 2023-06-03 1909 NN7SS CN87 N3XL FM18
QSO: 21090 DG 2023-06-03 1910 NN7SS CN87 KC2GOW FN20
QSO: 21090 DG 2023-06-03 1912 NN7SS CN87 NA4DA EL89
QSO: 14090 DG 2023-06-03 1912 NN7SS CN87 K6LUM DM12
QSO: 14090 DG 2023-06-03 1911 NN7SS CN87 K9DSS EM44
QSO: 21090 DG 2023-06-03 1913 NN7SS CN87 AA3R FM29
QSO: 14090 DG 2023-06-03 1914 NN7SS CN87 KJ7SEN DN18
QSO: 21090 DG 2023-06-03 1916 NN7SS CN87 KC3UII EM96
QSO: 14090 DG 2023-06-03 1917 NN7SS CN87 KE7UNG DM06
QSO: 21090 DG 2023-06-03 1919 NN7SS CN87 NN5T EM12
QSO: 14090 DG 2023-06-03 1920 NN7SS CN87 N5DU EM42
QSO: 14090 DG 2023-06-03 1922 NN7SS CN87 W3MLJ EN90
QSO: 21090 DG 2023-06-03 1922 NN7SS CN87 N1MGO FN42
QSO: 14090 DG 2023-06-03 1925 NN7SS CN87 W8GJK CM95
QSO: 21090 DG 2023-06-03 1925 NN7SS CN87 W4GKM EM75
QSO: 21090 DG 2023-06-03 1926 NN7SS CN87 N3QE FM19
QSO: 21090 DG 2023-06-03 1927 NN7SS CN87 NF4M EL97
QSO: 14090 DG 2023-06-03 1931 NN7SS CN87 KB4S FM17
QSO: 21090 DG 2023-06-03 1931 NN7SS CN87 N4LKB FM18
QSO: 14090 DG 2023-06-03 1932 NN7SS CN87 W4IL EM75
QSO: 28090 DG 2023-06-03 1936 NN7SS CN87 NB3P EL86
QSO: 21090 DG 2023-06-03 1938 NN7SS CN87 WT2J FN30
QSO: 28090 DG 2023-06-03 1938 NN7SS CN87 PU1AJN GG99
QSO: 21090 DG 2023-06-03 1939 NN7SS CN87 K3WA FM05
QSO: 21090 DG 2023-06-03 1940 NN7SS CN87 PY2QT GG76
QSO: 21090 DG 2023-06-03 1943 NN7SS CN87 NA3M FM19
QSO: 28090 DG 2023-06-03 1943 NN7SS CN87 K2MK EL98
QSO: 28090 DG 2023-06-03 1946 NN7SS CN87 PU2USK GG76
QSO: 21090 DG 2023-06-03 1946 NN7SS CN87 KU4V FM05
QSO: 21090 DG 2023-06-03 1948 NN7SS CN87 W4PJW FM08
QSO: 28090 DG 2023-06-03 1950 NN7SS CN87 CX7BBR GF15
QSO: 21090 DG 2023-06-03 1951 NN7SS CN87 N1ET FN41
QSO: 21090 DG 2023-06-03 1956 NN7SS CN87 N9GQA EM50
QSO: 21090 DG 2023-06-03 2003 NN7SS CN87 N3YQG FN10
QSO: 28090 DG 2023-06-03 2005 NN7SS CN87 PU4MMZ GH80
QSO: 21090 DG 2023-06-03 2006 NN7SS CN87 WI2A FN02
QSO: 21090 DG 2023-06-03 2008 NN7SS CN87 PA6AA JO32
QSO: 14090 DG 2023-06-03 2009 NN7SS CN87 WY6R DM14
QSO: 14090 DG 2023-06-03 2011 NN7SS CN87 KK7GC DM26
QSO: 21090 DG 2023-06-03 2011 NN7SS CN87 OH5LLR KP20
QSO: 21090 DG 2023-06-03 2012 NN7SS CN87 AB9BZ EN61
QSO: 21090 DG 2023-06-03 2015 NN7SS CN87 K7WA CN87
QSO: 14090 DG 2023-06-03 2016 NN7SS CN87 KA0KVW DM78
QSO: 21090 DG 2023-06-03 2019 NN7SS CN87 VE2EBK FN46
QSO: 21090 DG 2023-06-03 2020 NN7SS CN87 K2IW FN33
QSO: 21090 DG 2023-06-03 2021 NN7SS CN87 WA3SWA FM19
QSO: 21090 DG 2023-06-03 2022 NN7SS CN87 K8CC EN82
QSO: 21090 DG 2023-06-03 2024 NN7SS CN87 N3MWQ FM29
QSO: 14090 DG 2023-06-03 2024 NN7SS CN87 W6MRR CM87
QSO: 21090 DG 2023-06-03 2027 NN7SS CN87 KI0J DM79
QSO: 14090 DG 2023-06-03 2027 NN7SS CN87 VE5MX DN89
QSO: 21090 DG 2023-06-03 2032 NN7SS CN87 KA8IIM EM79
QSO: 21090 DG 2023-06-03 2033 NN7SS CN87 WS6K EM79
QSO: 21090 DG 2023-06-03 2034 NN7SS CN87 VE5MX DN89
QSO: 14090 DG 2023-06-03 2037 NN7SS CN87 W5UHQ EN80
QSO: 14090 DG 2023-06-03 2040 NN7SS CN87 KF0GVX DN79
QSO: 21090 DG 2023-06-03 2042 NN7SS CN87 W3ICM FM18
QSO: 21090 DG 2023-06-03 2043 NN7SS CN87 K6LUM DM12
QSO: 21090 DG 2023-06-03 2046 NN7SS CN87 K9PW EN52
QSO: 21090 DG 2023-06-03 2047 NN7SS CN87 K9CT EN50
QSO: 21090 DG 2023-06-03 2049 NN7SS CN87 KE8M EN81
QSO: 14090 DG 2023-06-03 2055 NN7SS CN87 NN5T EM12
QSO: 21090 DG 2023-06-03 2056 NN7SS CN87 N7ZZ EN64
QSO: 14090 DG 2023-06-03 2057 NN7SS CN87 WS6K EM79
QSO: 21090 DG 2023-06-03 2059 NN7SS CN87 WB8BZK EN52
QSO: 21090 DG 2023-06-03 2104 NN7SS CN87 KW1X FN42
QSO: 21090 DG 2023-06-03 2105 NN7SS CN87 NF3R FN20
QSO: 21090 DG 2023-06-03 2106 NN7SS CN87 K1BZ FN54
QSO: 21090 DG 2023-06-03 2108 NN7SS CN87 NN5O EM54
QSO: 14090 DG 2023-06-03 2106 NN7SS CN87 K7STO DN07
QSO: 21090 DG 2023-06-03 2109 NN7SS CN87 N1EK FM19
QSO: 21090 DG 2023-06-03 2113 NN7SS CN87 N0TEK EM29
QSO: 14090 DG 2023-06-03 2115 NN7SS CN87 AC8ZU EM79
QSO: 21090 DG 2023-06-03 2116 NN7SS CN87 KC4TNQ EM66
QSO: 21090 DG 2023-06-03 2116 NN7SS CN87 WA3AAN FN20
QSO: 21090 DG 2023-06-03 2119 NN7SS CN87 KK5LO EL09
QSO: 28090 DG 2023-06-03 2120 NN7SS CN87 W3DQS EM95
QSO: 21090 DG 2023-06-03 2120 NN7SS CN87 YO9HP KN35
QSO: 28090 DG 2023-06-03 2121 NN7SS CN87 PU1JSV GG87
QSO: 28090 DG 2023-06-03 2123 NN7SS CN87 PU1JSV GG87
QSO: 21090 DG 2023-06-03 2124 NN7SS CN87 K2MK EL98
QSO: 28090 DG 2023-06-03 2125 NN7SS CN87 PU1RED GG87
QSO: 21090 DG 2023-06-03 2129 NN7SS CN87 KH6WI BL11
QSO: 21090 DG 2023-06-03 2130 NN7SS CN87 KH6AQ BK29
QSO: 21090 DG 2023-06-03 2136 NN7SS CN87 N6AR EL98
QSO: 28090 DG 2023-06-03 2137 NN7SS CN87 N2SRK DM79
QSO: 21090 DG 2023-06-03 2138 NN7SS CN87 W4IL EM75
QSO: 28090 DG 2023-06-03 2142 NN7SS CN87 NF4M EL97
QSO: 21090 DG 2023-06-03 2143 NN7SS CN87 PU2UAF GG66
QSO: 14090 DG 2023-06-03 2146 NN7SS CN87 K9CT EN50
QSO: 21090 DG 2023-06-03 2146 NN7SS CN87 NO5F EM26
