START-OF-LOG: 3.0
LOCATION: STX
CALLSIGN: NK5G/5
CLUB: None
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: RTTY
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 125686
OPERATORS: NK5G
SOAPBOX: Wokred the contest via remote control using PC and iPhone
NAME: David
CREATED-BY: N1MM Logger V14.1.2
QSO:  3587 RY 2014-02-08 0215 NK5G/5        599 0001   K4GMH         599 0241
QSO:  7036 RY 2014-02-08 0233 NK5G/5        599 0002   KU1T          599 0103
QSO:  7034 RY 2014-02-08 0234 NK5G/5        599 0003   P49X          599 0299
QSO:  7035 RY 2014-02-08 0236 NK5G/5        599 0004   K4RO          599 0208
QSO:  7035 RY 2014-02-08 0237 NK5G/5        599 0005   K0PK          599 0047
QSO:  7033 RY 2014-02-08 0240 NK5G/5        599 0006   AA4YL         599 0098
QSO:  7031 RY 2014-02-08 0242 NK5G/5        599 0007   K0GEO         599 0049
QSO:  7031 RY 2014-02-08 0244 NK5G/5        599 0008   K3MJW         599 0141
QSO:  7031 RY 2014-02-08 0251 NK5G/5        599 0009   N0SQ          599 0034
QSO:  7031 RY 2014-02-08 0258 NK5G/5        599 0010   AB9TA         599 0025
QSO:  7032 RY 2014-02-08 0453 NK5G/5        599 0011   WJ2D          599 0124
QSO:  7032 RY 2014-02-08 0457 NK5G/5        599 0012   WQ2N          599 0182
QSO:  7032 RY 2014-02-08 0459 NK5G/5        599 0013   K5VIP         599 0027
QSO:  7032 RY 2014-02-08 0506 NK5G/5        599 0014   W4ML          599 0056
QSO:  7031 RY 2014-02-08 0513 NK5G/5        599 0015   K0BJ          599 0122
QSO:  3597 RY 2014-02-08 0527 NK5G/5        599 0016   AI9T          599 0321
QSO:  7043 RY 2014-02-08 0551 NK5G/5        599 0017   W4SDJ         599 0042
QSO:  7043 RY 2014-02-08 0552 NK5G/5        599 0018   N0NI          599 0259
QSO:  7043 RY 2014-02-08 0552 NK5G/5        599 0019   KD4LV         599 0001
QSO:  7043 RY 2014-02-08 0554 NK5G/5        599 0020   VA7KO         599 0265
QSO:  7043 RY 2014-02-08 0556 NK5G/5        599 0021   K4HAL         599 0010
QSO: 21076 RY 2014-02-08 1359 NK5G/5        599 0022   DL5XJ         599 0030
QSO: 21076 RY 2014-02-08 1403 NK5G/5        599 0023   CO2RVA        599 0169
QSO: 21076 RY 2014-02-08 1407 NK5G/5        599 0024   K4FTO         599 0054
QSO: 21076 RY 2014-02-08 1407 NK5G/5        599 0025   AA8R          599 0227
QSO: 21079 RY 2014-02-08 1420 NK5G/5        599 0026   P49X          599 1288
QSO: 21079 RY 2014-02-08 1421 NK5G/5        599 0027   YL7A          599 0496
QSO: 21123 RY 2014-02-08 1729 NK5G/5        599 0028   K3CWF         599 0140
QSO: 21123 RY 2014-02-08 1731 NK5G/5        599 0029   N0EKM         599 0097
QSO: 21123 RY 2014-02-08 1732 NK5G/5        599 0030   WQ6K          599 0487
QSO: 21123 RY 2014-02-08 1733 NK5G/5        599 0031   K7QQ          599 0422
QSO: 21123 RY 2014-02-08 1734 NK5G/5        599 0032   W1ZD          599 0231
QSO: 21123 RY 2014-02-08 1735 NK5G/5        599 0033   WA0LJM        599 0184
QSO: 21123 RY 2014-02-08 1741 NK5G/5        599 0034   K0JJR         599 0202
QSO: 21123 RY 2014-02-08 1748 NK5G/5        599 0035   WB8BIL        599 0028
QSO: 21123 RY 2014-02-08 1750 NK5G/5        599 0036   W0DET         599 0050
QSO: 21123 RY 2014-02-08 1752 NK5G/5        599 0037   F5CQ          599 0159
QSO: 21123 RY 2014-02-08 1755 NK5G/5        599 0038   W5GDX         599 0192
QSO: 21123 RY 2014-02-08 1756 NK5G/5        599 0039   KB9DVC        599 0202
QSO: 21115 RY 2014-02-08 2028 NK5G/5        599 0040   AA1SU         599 0187
QSO: 21088 RY 2014-02-08 2032 NK5G/5        599 0041   W6AEA         599 0529
QSO: 21103 RY 2014-02-08 2032 NK5G/5        599 0042   N7BT          599 0324
QSO: 21104 RY 2014-02-08 2034 NK5G/5        599 0043   W8MRL         599 0059
QSO: 21094 RY 2014-02-08 2039 NK5G/5        599 0044   KH6GMP        599 0133
QSO: 21098 RY 2014-02-08 2040 NK5G/5        599 0045   ZV2K          599 1172
QSO: 21115 RY 2014-02-08 2132 NK5G/5        599 0046   V31RU         599 0619
QSO: 21129 RY 2014-02-08 2135 NK5G/5        599 0047   NW6UP         599 0085
QSO: 21129 RY 2014-02-08 2137 NK5G/5        599 0048   NT0F          599 0699
QSO: 21129 RY 2014-02-08 2137 NK5G/5        599 0049   KC1UX         599 0093
QSO: 21129 RY 2014-02-08 2140 NK5G/5        599 0050   W8KX          599 0267
QSO: 21129 RY 2014-02-08 2140 NK5G/5        599 0051   KF6A          599 0063
QSO: 21129 RY 2014-02-08 2143 NK5G/5        599 0052   W6KGP         599 0179
QSO: 21129 RY 2014-02-08 2144 NK5G/5        599 0053   KS4S          599 0310
QSO: 21129 RY 2014-02-08 2144 NK5G/5        599 0054   WB3JFS        599 0065
QSO: 21129 RY 2014-02-08 2145 NK5G/5        599 0055   W9ILY         599 0476
QSO: 21129 RY 2014-02-08 2146 NK5G/5        599 0056   AD7ND         599 0230
QSO: 21129 RY 2014-02-08 2147 NK5G/5        599 0057   CO2AJ         599 0140
QSO: 21129 RY 2014-02-08 2148 NK5G/5        599 0058   W7BRO         599 0248
QSO: 21129 RY 2014-02-08 2150 NK5G/5        599 0059   KA2BSK        599 0106
QSO: 21129 RY 2014-02-08 2154 NK5G/5        599 0060   NR4M          599 0618
QSO: 21129 RY 2014-02-08 2156 NK5G/5        599 0061   W4PK          599 1003
QSO: 21129 RY 2014-02-08 2158 NK5G/5        599 0062   WB2RHM        599 0194
QSO: 21129 RY 2014-02-08 2159 NK5G/5        599 0063   K7JJ          599 0125
QSO: 21129 RY 2014-02-08 2200 NK5G/5        599 0064   NW6UP         599 0094
QSO: 21129 RY 2014-02-08 2202 NK5G/5        599 0065   VE7QC         599 0048
QSO: 21129 RY 2014-02-08 2209 NK5G/5        599 0066   KA9MOM        599 0272
QSO: 21129 RY 2014-02-08 2211 NK5G/5        599 0067   JH8JYV        599 0017
QSO: 21129 RY 2014-02-08 2212 NK5G/5        599 0068   NR2C          599 0452
QSO: 21129 RY 2014-02-08 2213 NK5G/5        599 0069   W0GLB         599 0040
QSO: 21129 RY 2014-02-08 2218 NK5G/5        599 0070   K0VG          599 0180
QSO: 21129 RY 2014-02-08 2218 NK5G/5        599 0071   VE6AX         599 0196
QSO: 21129 RY 2014-02-08 2219 NK5G/5        599 0072   N9TF          599 0162
QSO: 21109 RY 2014-02-08 2229 NK5G/5        599 0073   WW7RY         599 0544
QSO: 21107 RY 2014-02-08 2251 NK5G/5        599 0074   AF6SA         599 0349
QSO: 21092 RY 2014-02-08 2253 NK5G/5        599 0075   JF2MBF        599 0059
QSO: 21113 RY 2014-02-08 2254 NK5G/5        599 0076   WA5ZUP        599 0696
QSO: 21112 RY 2014-02-08 2257 NK5G/5        599 0077   W1AW/KH6      599 0463
QSO: 21118 RY 2014-02-08 2300 NK5G/5        599 0078   N2NF          599 0617
QSO: 21119 RY 2014-02-08 2301 NK5G/5        599 0079   VE7CC         599 1346
QSO: 21121 RY 2014-02-08 2304 NK5G/5        599 0080   JR4OZR        599 0721
QSO: 21117 RY 2014-02-08 2348 NK5G/5        599 0081   JI3MJK        599 0218
QSO: 21115 RY 2014-02-08 2349 NK5G/5        599 0082   KA6BIM        599 0466
QSO: 21089 RY 2014-02-08 2351 NK5G/5        599 0083   AI6YL/7       599 0656
QSO: 21089 RY 2014-02-08 2353 NK5G/5        599 0084   WK7S          599 0866
QSO: 21133 RY 2014-02-09 0004 NK5G/5        599 0085   KF7DX         599 0219
QSO: 21133 RY 2014-02-09 0016 NK5G/5        599 0086   VE6SQ         599 0245
QSO: 21133 RY 2014-02-09 0020 NK5G/5        599 0087   KK6TV         599 0200
QSO: 21111 RY 2014-02-09 0033 NK5G/5        599 0088   JK2XXK        599 0437
QSO: 21090 RY 2014-02-09 0035 NK5G/5        599 0089   JA7IC         599 0536
QSO: 21094 RY 2014-02-09 0036 NK5G/5        599 0090   WB5TUF        599 0852
QSO: 21107 RY 2014-02-09 0046 NK5G/5        599 0091   KT7E          599 0169
QSO:  3595 RY 2014-02-09 0047 NK5G/5        599 0092   W4ML          599 0021
QSO:  3581 RY 2014-02-09 0049 NK5G/5        599 0093   W2YC          599 0530
QSO:  3596 RY 2014-02-09 0053 NK5G/5        599 0094   VE3FJB        599 0737
QSO:  7063 RY 2014-02-09 0058 NK5G/5        599 0095   AA3B          599 1638
QSO:  7065 RY 2014-02-09 0059 NK5G/5        599 0096   K8SIA         599 0285
QSO:  7067 RY 2014-02-09 0100 NK5G/5        599 0097   AB4GG         599 1009
QSO:  7069 RY 2014-02-09 0103 NK5G/5        247 0098   WR7Q          599 0247
QSO:  7071 RY 2014-02-09 0109 NK5G/5        599 0099   VE3CX         599 0877
QSO:  7096 RY 2014-02-09 0145 NK5G/5        599 0100   K9WX          599 0682
QSO:  7085 RY 2014-02-09 0212 NK5G/5        599 0101   WB0QLU        599 0190
QSO:  7085 RY 2014-02-09 0216 NK5G/5        599 0102   KI1V          599 1831
QSO:  7085 RY 2014-02-09 0217 NK5G/5        599 0103   W3FV          599 0867
QSO:  7085 RY 2014-02-09 0218 NK5G/5        599 0104   N0EKM         599 0251
QSO:  7085 RY 2014-02-09 0220 NK5G/5        599 0105   9A1A          599 0906
QSO:  7085 RY 2014-02-09 0220 NK5G/5        599 0106   KA0EIC        599 0172
QSO:  7085 RY 2014-02-09 0221 NK5G/5        599 0107   VE3NRT        599 0399
QSO:  7085 RY 2014-02-09 0221 NK5G/5        599 0108   NB4M          599 0503
QSO:  7085 RY 2014-02-09 0222 NK5G/5        599 0109   K5ZCJ         599 0205
QSO:  7085 RY 2014-02-09 0223 NK5G/5        599 0110   W4TZX         599 0027
QSO:  7085 RY 2014-02-09 0223 NK5G/5        599 0111   N4LV          599 0302
QSO:  7085 RY 2014-02-09 0224 NK5G/5        599 0112   W6CWM         599 0450
QSO:  7085 RY 2014-02-09 0224 NK5G/5        599 0113   K7ON          599 0345
QSO:  7085 RY 2014-02-09 0226 NK5G/5        599 0114   NS4T          599 0115
QSO:  7085 RY 2014-02-09 0227 NK5G/5        599 0115   WT9U          599 0237
QSO:  7085 RY 2014-02-09 0228 NK5G/5        599 0116   VE2NMB        599 0359
QSO:  7085 RY 2014-02-09 0229 NK5G/5        599 0117   KZ2R          599 0317
QSO:  7085 RY 2014-02-09 0230 NK5G/5        599 0118   NS0D          599 0318
QSO:  7085 RY 2014-02-09 0230 NK5G/5        599 0119   W8KX          599 0308
QSO:  7085 RY 2014-02-09 0231 NK5G/5        599 0120   WA8RPK        599 0214
QSO:  7085 RY 2014-02-09 0231 NK5G/5        599 0121   AA9L          599 0255
QSO:  7085 RY 2014-02-09 0232 NK5G/5        599 0122   W4GDG         599 0535
QSO:  7085 RY 2014-02-09 0232 NK5G/5        599 0123   VC7J          599 0410
QSO:  7085 RY 2014-02-09 0233 NK5G/5        599 0124   KE2D          599 0171
QSO:  7085 RY 2014-02-09 0235 NK5G/5        599 0125   KE3LA         599 0068
QSO:  7085 RY 2014-02-09 0235 NK5G/5        599 0126   KA8G          599 0120
QSO:  7085 RY 2014-02-09 0236 NK5G/5        599 0127   AA1SU         599 0312
QSO:  7085 RY 2014-02-09 0236 NK5G/5        599 0128   AD1C          599 0413
QSO:  7085 RY 2014-02-09 0237 NK5G/5        599 0129   VE3KI         599 0816
QSO:  7085 RY 2014-02-09 0237 NK5G/5        599 0130   K9OR          599 0112
QSO:  7085 RY 2014-02-09 0238 NK5G/5        599 0131   W3NR          599 0061
QSO:  7085 RY 2014-02-09 0239 NK5G/5        599 0132   AA4DD         599 0487
QSO:  7085 RY 2014-02-09 0240 NK5G/5        599 0133   N6MA          599 1209
QSO:  7069 RY 2014-02-09 0246 NK5G/5        599 0134   LZ8E          599 1833
QSO:  7061 RY 2014-02-09 0247 NK5G/5        599 0135   WW3S          599 0832
QSO:  7051 RY 2014-02-09 0249 NK5G/5        599 0136   NO4S          599 0669
QSO:  7050 RY 2014-02-09 0250 NK5G/5        599 0137   KK9A          599 1585
QSO:  7047 RY 2014-02-09 0251 NK5G/5        599 0138   AC0C          599 1594
QSO:  7044 RY 2014-02-09 0252 NK5G/5        599 0139   AB9H          599 0256
QSO:  7046 RY 2014-02-09 0255 NK5G/5        599 0140   WO7R          599 0354
QSO:  7072 RY 2014-02-09 0257 NK5G/5        599 0141   AB0RX         599 1636
QSO:  7084 RY 2014-02-09 0258 NK5G/5        599 0142   AG1RL         599 1472
QSO:  7080 RY 2014-02-09 0300 NK5G/5        599 0143   K1GU          599 0074
QSO:  7056 RY 2014-02-09 0301 NK5G/5        599 0144   V31RU         599 0879
QSO:  7062 RY 2014-02-09 0306 NK5G/5        599 0145   VA7ST         599 0804
QSO:  7049 RY 2014-02-09 0429 NK5G/5        599 0146   S51A          599 0785
QSO:  7085 RY 2014-02-09 0432 NK5G/5        599 0147   WB8SKP        599 0217
QSO:  7088 RY 2014-02-09 0445 NK5G/5        599 0148   WM9Q          599 0027
QSO:  7094 RY 2014-02-09 0452 NK5G/5        599 0149   WO4O          599 0393
QSO:  3580 RY 2014-02-09 0454 NK5G/5        599 0150   P49X          599 2674
QSO:  3577 RY 2014-02-09 0501 NK5G/5        599 0151   AA4DD         599 0548
QSO:  3593 RY 2014-02-09 0515 NK5G/5        599 0152   W5AMI         599 0034
QSO:  7088 RY 2014-02-09 0526 NK5G/5        599 0153   AI9K          599 0062
QSO:  7088 RY 2014-02-09 0527 NK5G/5        599 0154   KM6Z          599 0575
QSO:  7088 RY 2014-02-09 0529 NK5G/5        599 0155   W9RF          599 0053
QSO:  7088 RY 2014-02-09 0531 NK5G/5        599 0156   KI8HA         599 0044
QSO:  7088 RY 2014-02-09 0532 NK5G/5        599 0157   N7ZUF         599 0079
QSO:  7088 RY 2014-02-09 0533 NK5G/5        599 0158   K4NC          599 0142
QSO:  7088 RY 2014-02-09 0535 NK5G/5        599 0159   AF6WF         599 0054
QSO:  7088 RY 2014-02-09 0535 NK5G/5        599 0160   W7BRO         599 0371
QSO:  7088 RY 2014-02-09 0537 NK5G/5        599 0161   K6LRN         599 0461
QSO:  7088 RY 2014-02-09 0550 NK5G/5        599 0162   KA9MOM        599 0369
QSO:  7088 RY 2014-02-09 0552 NK5G/5        599 0163   XE1SVT        599 0233
QSO:  7088 RY 2014-02-09 0555 NK5G/5        599 0164   N9EM          599 0007
QSO:  7088 RY 2014-02-09 0555 NK5G/5        599 0165   W6KY          599 0258
QSO:  7088 RY 2014-02-09 0559 NK5G/5        599 0166   K8BHK         599 0099
QSO:  7088 RY 2014-02-09 0600 NK5G/5        599 0167   IW9GTD        599 1571
QSO:  7088 RY 2014-02-09 0600 NK5G/5        599 0168   N4VZ          599 0143
QSO:  7088 RY 2014-02-09 0602 NK5G/5        599 0169   NA7RH         599 0080
QSO:  7088 RY 2014-02-09 0602 NK5G/5        599 0170   AD7JP         599 1213
QSO:  7088 RY 2014-02-09 0604 NK5G/5        599 0171   W6IT          599 0089
QSO: 21102 RY 2014-02-09 1423 NK5G/5        599 0172   5C5W          599 1023
QSO: 21104 RY 2014-02-09 1424 NK5G/5        599 0173   ON5GQ         599 0935
QSO: 21093 RY 2014-02-09 1431 NK5G/5        599 0174   LY9Y          599 1225
QSO: 21098 RY 2014-02-09 1436 NK5G/5        599 0175   LY8O          599 1110
QSO: 28080 RY 2014-02-09 1441 NK5G/5        599 0176   ED1R          599 2405
QSO: 28087 RY 2014-02-09 1442 NK5G/5        599 0177   P49X          599 3176
QSO: 28088 RY 2014-02-09 1443 NK5G/5        599 0178   TM6M          599 1013
QSO: 28118 RY 2014-02-09 1447 NK5G/5        599 0179   EF8S          599 1515
QSO: 14110 RY 2014-02-09 1453 NK5G/5        599 0180   N4QS          599 0423
QSO: 14110 RY 2014-02-09 1453 NK5G/5        599 0181   NI7R          599 0366
QSO: 14110 RY 2014-02-09 1455 NK5G/5        599 0182   K7AR          599 0395
QSO: 14110 RY 2014-02-09 1455 NK5G/5        599 0183   VE6SQ         599 0312
QSO: 14110 RY 2014-02-09 1457 NK5G/5        599 0184   KI8HA         599 0073
QSO: 14110 RY 2014-02-09 1458 NK5G/5        599 0185   WB4MSG        599 0207
QSO: 14110 RY 2014-02-09 1458 NK5G/5        599 0186   W4SVP         599 0114
QSO: 14110 RY 2014-02-09 1500 NK5G/5        599 0187   KX7L          599 0223
QSO: 14110 RY 2014-02-09 1501 NK5G/5        599 0188   N7TEW         599 0378
QSO: 14110 RY 2014-02-09 1502 NK5G/5        599 0189   VE7CC         599 1761
QSO: 14110 RY 2014-02-09 1502 NK5G/5        599 0190   K3WYC         599 0301
QSO: 14110 RY 2014-02-09 1503 NK5G/5        599 0191   WQ6K          599 1165
QSO: 14110 RY 2014-02-09 1504 NK5G/5        599 0192   WA1LWS        599 0281
QSO: 14110 RY 2014-02-09 1511 NK5G/5        599 0193   K0JJR         599 0473
QSO: 14110 RY 2014-02-09 1512 NK5G/5        599 0194   N3ALN         599 0170
QSO: 14110 RY 2014-02-09 1517 NK5G/5        599 0195   N6VH          599 0183
QSO: 14110 RY 2014-02-09 1519 NK5G/5        599 0196   KA9MOM        599 0422
QSO: 14110 RY 2014-02-09 1519 NK5G/5        599 0197   W4ML          599 0100
QSO: 14087 RY 2014-02-09 1526 NK5G/5        599 0198   K4GMH         599 2425
QSO: 14090 RY 2014-02-09 1549 NK5G/5        599 0199   KE0PX         599 0316
QSO: 14097 RY 2014-02-09 1552 NK5G/5        599 0200   TG9ADQ        599 0355
QSO: 14102 RY 2014-02-09 1553 NK5G/5        599 0201   WA3AAN        599 0020
QSO: 14116 RY 2014-02-09 1554 NK5G/5        599 0202   NR4M          599 0892
QSO: 14117 RY 2014-02-09 1555 NK5G/5        599 0203   VE6QO         599 0527
QSO: 14124 RY 2014-02-09 1557 NK5G/5        599 0204   WW1MM         599 0752
QSO: 14126 RY 2014-02-09 1557 NK5G/5        599 0205   WW3S          599 1020
QSO: 14080 RY 2014-02-09 1558 NK5G/5        599 0206   VA7ST         599 0989
QSO: 14098 RY 2014-02-09 1600 NK5G/5        599 0207   KJ5T          599 0705
QSO: 14099 RY 2014-02-09 1602 NK5G/5        599 0208   VE3CX         599 1076
QSO: 28082 RY 2014-02-09 1606 NK5G/5        599 0209   IZ4GWE        599 0114
QSO: 28111 RY 2014-02-09 1759 NK5G/5        599 0210   KB3LIX        599 0580
QSO: 28111 RY 2014-02-09 1801 NK5G/5        599 0211   K6JJ          599 0145
QSO: 28111 RY 2014-02-09 1801 NK5G/5        599 0212   W4UEF         599 0564
QSO: 28111 RY 2014-02-09 1802 NK5G/5        599 0213   K1DQV         599 0385
QSO: 28111 RY 2014-02-09 1802 NK5G/5        599 0214   KM9R          599 0119
QSO: 28111 RY 2014-02-09 1804 NK5G/5        599 0215   W6BVB         599 0295
QSO: 28111 RY 2014-02-09 1805 NK5G/5        599 0216   KU4V          599 1012
QSO: 28111 RY 2014-02-09 1808 NK5G/5        599 0217   WA1LWS        599 0363
QSO: 28111 RY 2014-02-09 1809 NK5G/5        599 0218   VE3AJ         599 0179
QSO: 28111 RY 2014-02-09 1810 NK5G/5        599 0219   WS7L          599 0198
QSO: 28111 RY 2014-02-09 1810 NK5G/5        599 0220   WD9FTZ        599 0263
QSO: 28111 RY 2014-02-09 1811 NK5G/5        599 0221   W8HGH         599 0212
QSO: 28111 RY 2014-02-09 1811 NK5G/5        599 0222   VE3XAT        599 0329
QSO: 28111 RY 2014-02-09 1812 NK5G/5        599 0223   WA3IIA        599 0241
QSO: 28111 RY 2014-02-09 1814 NK5G/5        599 0224   N9ADG/KQ7     599 0018
QSO: 28111 RY 2014-02-09 1815 NK5G/5        599 0225   N2FF          599 0395
QSO: 28111 RY 2014-02-09 1816 NK5G/5        599 0226   WA8LE         599 0201
QSO: 28111 RY 2014-02-09 1817 NK5G/5        599 0227   WB8YYY        599 0290
QSO: 28111 RY 2014-02-09 1817 NK5G/5        599 0228   WI7N          599 0585
QSO: 28111 RY 2014-02-09 1819 NK5G/5        599 0229   K0GEO         599 0204
QSO: 28111 RY 2014-02-09 1821 NK5G/5        599 0230   NI7R          599 0433
QSO: 28111 RY 2014-02-09 1822 NK5G/5        599 0231   NA6MG         599 0329
QSO: 28111 RY 2014-02-09 1823 NK5G/5        599 0232   KC2LST        599 0293
QSO: 28111 RY 2014-02-09 1823 NK5G/5        599 0233   CA5GRF        599 0153
QSO: 28111 RY 2014-02-09 1824 NK5G/5        599 0234   VE6QO         599 0550
