START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: OE6U
LOCATION: DX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 285120
NAME: OE6XUG
OPERATORS: OE1UVA
OPERATORS: OE1VZ
OPERATORS: OE1MSW
OPERATORS: OE6SMF
OPERATORS: OE6SMD
OPERATORS: OE6FEG
OPERATORS: OE6IEG
OPERATORS: OE6TZE
OPERATORS: OE6PPE
OPERATORS: OE6VWG
OPERATORS: OE6GUG
OPERATORS: OE6WIG
OPERATORS: OE6JTD
OPERATORS: OE6BIR
CLUB: OEVSV LV6
CREATED-BY: N1MM Logger+ 1.0.7532.0
SOAPBOX: Sorry about the multiple entries. This one should be correct.
QSO: 14008 CW 2019-11-23 0854 OE6U          599 15     UW2M          599 16
QSO: 14009 CW 2019-11-23 0856 OE6U          599 15     RW9JZ         599 17
QSO: 14012 CW 2019-11-23 0900 OE6U          599 15     RW0A          599 18
QSO: 14012 CW 2019-11-23 0901 OE6U          599 15     UR3GU         599 16
QSO: 14014 CW 2019-11-23 0903 OE6U          599 15     OG7A          599 15
QSO: 14014 CW 2019-11-23 0904 OE6U          599 15     S52CE         599 15
QSO: 14015 CW 2019-11-23 0905 OE6U          599 15     RT6A          599 16
QSO: 14012 CW 2019-11-23 0906 OE6U          599 15     R2VA          599 16
QSO: 14013 CW 2019-11-23 0909 OE6U          599 15     EF8R          599 33
QSO: 14014 CW 2019-11-23 0910 OE6U          599 15     ED5O          599 14
QSO: 14015 CW 2019-11-23 0913 OE6U          599 15     RK3T          599 16
QSO: 14019 CW 2019-11-23 0922 OE6U          599 15     RW9DX         599 17
QSO: 14019 CW 2019-11-23 0923 OE6U          599 15     UZ3A          599 16
QSO: 14020 CW 2019-11-23 0923 OE6U          599 15     R4RE          599 16
QSO: 14021 CW 2019-11-23 0928 OE6U          599 15     MD4K          599 14
QSO: 14022 CW 2019-11-23 0929 OE6U          599 15     R3ZV          599 16
QSO: 14024 CW 2019-11-23 0932 OE6U          599 15     EM2Q          599 16
QSO: 14025 CW 2019-11-23 0933 OE6U          599 15     UT5C          599 16
QSO: 14027 CW 2019-11-23 0941 OE6U          599 15     MI5I          599 14
QSO: 14029 CW 2019-11-23 0945 OE6U          599 15     ED5R          599 14
QSO: 14029 CW 2019-11-23 0949 OE6U          599 15     ED5R          599 14
QSO: 14031 CW 2019-11-23 0951 OE6U          599 15     EI5KF         599 14
QSO: 14033 CW 2019-11-23 0959 OE6U          599 15     MM3T          599 14
QSO: 14033 CW 2019-11-23 1004 OE6U          599 15     MM3TE         599 14
QSO: 14034 CW 2019-11-23 1013 OE6U          599 15     UA3EDQ        599 16
QSO: 14034 CW 2019-11-23 1017 OE6U          599 15     A3EDQ         599 32
QSO: 14035 CW 2019-11-23 1018 OE6U          599 15     ED1R          599 14
QSO: 14037 CW 2019-11-23 1020 OE6U          599 15     EF1C          599 14
QSO: 14037 CW 2019-11-23 1021 OE6U          599 15     UT1UW         599 16
QSO: 14036 CW 2019-11-23 1029 OE6U          599 15     R9TV          599 16
QSO: 14039 CW 2019-11-23 1032 OE6U          599 15     OH8LT         599 15
QSO: 14039 CW 2019-11-23 1033 OE6U          599 15     OH8L          599 15
QSO: 14039 CW 2019-11-23 1034 OE6U          599 15     G4RGK         599 14
QSO: 14039 CW 2019-11-23 1039 OE6U          599 15     G4RGN         599 14
QSO: 14045 CW 2019-11-23 1044 OE6U          599 15     CR3W          599 33
QSO: 14048 CW 2019-11-23 1047 OE6U          599 15     OH8X          599 15
QSO: 14047 CW 2019-11-23 1049 OE6U          599 15     RC3W          599 16
QSO: 14048 CW 2019-11-23 1053 OE6U          599 15     CS2C          599 14
