START-OF-LOG: 3.0
LOCATION: ORG
CALLSIGN: NC6V
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-OVERLAY: TB-WIRES
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-TIME: 24-HOURS
CLAIMED-SCORE: 112455
CLUB: none
CONTEST: CQ-WPX-CW
CREATED-BY: WriteLog V11.04A
NAME: Kevin Seeger
OPERATORS: NC6V
SOAPBOX: TU SN5X for being so patient with my weak signal.
QSO: 21018 CW 2014-05-24 0001 NC6V          599    1 K3LR          599 04
QSO: 21002 CW 2014-05-24 0003 NC6V          599    2 NQ4I          599 7
QSO: 21013 CW 2014-05-24 0052 NC6V          599    3 KM9P          599 88
QSO: 21014 CW 2014-05-24 0053 NC6V          599    4 LT1F          599 69
QSO: 21014 CW 2014-05-24 0053 NC6V          599    5 W9IU          599 74
QSO: 21016 CW 2014-05-24 0054 NC6V          599    6 W8MJ          599 84
QSO: 21020 CW 2014-05-24 0055 NC6V          599    7 WW4R          599 83
QSO: 21024 CW 2014-05-24 0056 NC6V          599    8 W4BQF         599 84
QSO: 21052 CW 2014-05-24 0101 NC6V          599    9 KS9K          599 92
QSO: 21060 CW 2014-05-24 0102 NC6V          599   10 PJ2T          599 138
QSO: 21004 CW 2014-05-24 0104 NC6V          599   11 PS2T          599 190
QSO: 21025 CW 2014-05-24 0106 NC6V          599   12 XE1/DM3DL     599 82
QSO: 21031 CW 2014-05-24 0107 NC6V          599   13 WP3C          599 134
QSO: 21038 CW 2014-05-24 0108 NC6V          599   14 KH7Y          599 170
QSO: 21047 CW 2014-05-24 0110 NC6V          599   15 PY1NX         599 139
QSO: 21050 CW 2014-05-24 0111 NC6V          599   16 PY4YY         599 95
QSO: 21064 CW 2014-05-24 0115 NC6V          599   17 WB4AAA        599 98
QSO: 21026 CW 2014-05-24 0154 NC6V          599   18 KP2AA         599 251
QSO: 21035 CW 2014-05-24 0158 NC6V          599   19 ZL2AL         599 82
QSO: 21045 CW 2014-05-24 0159 NC6V          599   20 K9CT          599 191
QSO: 21046 CW 2014-05-24 0200 NC6V          599   21 ND1Y          599 36
QSO: 21003 CW 2014-05-24 0208 NC6V          599   22 VK3TDX        599 133
QSO: 21021 CW 2014-05-24 0213 NC6V          599   23 CW5W          599 206
QSO: 21022 CW 2014-05-24 0213 NC6V          599   24 KI0I          599 59
QSO: 21030 CW 2014-05-24 0220 NC6V          599   25 K8BL          599 143
QSO: 21012 CW 2014-05-24 0251 NC6V          599   26 KW7Y          599 259
QSO: 21034 CW 2014-05-24 0300 NC6V          599   27 PY2MC         599 183
QSO: 14001 CW 2014-05-24 0306 NC6V          599   28 NQ4I          599 347
QSO: 14003 CW 2014-05-24 0308 NC6V          599   29 KQ7W          599 265
QSO: 14005 CW 2014-05-24 0310 NC6V          599   30 RT2A          599 258
QSO: 14006 CW 2014-05-24 0312 NC6V          599   31 KW7Y          599 211
QSO: 14009 CW 2014-05-24 0313 NC6V          599   32 K1AR          599 287
QSO: 14010 CW 2014-05-24 0314 NC6V          599   33 NR7DX         599 320
QSO: 14017 CW 2014-05-24 0317 NC6V          599   34 OK9NM         599 338
QSO: 14018 CW 2014-05-24 0318 NC6V          599   35 EU6AF         599 251
QSO: 14021 CW 2014-05-24 0319 NC6V          599   36 WC7Q          599 139
QSO: 14022 CW 2014-05-24 0320 NC6V          599   37 K9CT          599 337
QSO: 14036 CW 2014-05-24 0325 NC6V          599   38 N5CW          599 85
QSO: 14050 CW 2014-05-24 0327 NC6V          599   39 S53O          599 284
QSO: 14053 CW 2014-05-24 0329 NC6V          599   40 VE7WO         599 76
