START-OF-LOG: 3.0
CREATED-BY: HMRA public 9A HRS HF Robot downloader
CONTEST: 9A-CW
CALLSIGN: YQ6A
OPERATORS: YQ6A
CATEGORY: B1
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: HIGH
CLAIMED-SCORE: 527044
SOAPBOX: Recreated from 9A HRS HF Robot public QSO table for Croatian CW Contest 2020.
SOAPBOX: Public error-summary rows are ignored.
SOAPBOX: Source: https://www.hamradio.hr/hfrobot/hfcc_log.php?What=vloghtm&CID=2020-12-19&ID=YQ6A
SOAPBOX: Source category label: B1 - SINGLE-OP, ALL bands - High power.
SOAPBOX: Published QSO count: 1053.
QSO: 14015 CW 2020-12-19 1400 YQ6A          599 0001       N1RR          599 0002 NA   
QSO: 14016 CW 2020-12-19 1401 YQ6A          599 0002       N4AF          599 0003 NA   
QSO: 14017 CW 2020-12-19 1401 YQ6A          599 0003       HG5D          599 0003 EU   
QSO: 14018 CW 2020-12-19 1401 YQ6A          599 0004       YT3X          599 0004 EU   
QSO: 14018 CW 2020-12-19 1402 YQ6A          599 0005       EI0W          599 0004 EU   
QSO: 14018 CW 2020-12-19 1403 YQ6A          599 0006       UN7ID         599 0002 AS   
QSO: 14018 CW 2020-12-19 1404 YQ6A          599 0007       DL2OM         599 0007 EU   
QSO: 14018 CW 2020-12-19 1404 YQ6A          599 0008       RA9AP         599 0004 AS   
QSO: 14018 CW 2020-12-19 1406 YQ6A          599 0009       PA0WKI        599 0003 EU   
QSO: 14001 CW 2020-12-19 1407 YQ6A          599 0010       M7DX          599 0013 EU   
QSO: 14004 CW 2020-12-19 1409 YQ6A          599 0011       NC1CC         599 0012 NA   
QSO: 14008 CW 2020-12-19 1409 YQ6A          599 0012       K1ZZ          599 0011 NA   
QSO: 14010 CW 2020-12-19 1410 YQ6A          599 0013       K3UL          599 0010 NA   
QSO: 14014 CW 2020-12-19 1411 YQ6A          599 0014       YT4W          599 0017 EU   
QSO: 14015 CW 2020-12-19 1411 YQ6A          599 0015       F8KCF         599 0018 EU   
QSO: 14019 CW 2020-12-19 1412 YQ6A          599 0016       HA5JI         599 0026 EU   
QSO: 14020 CW 2020-12-19 1412 YQ6A          599 0017       S51DX         599 0022 EU   
QSO: 14025 CW 2020-12-19 1414 YQ6A          599 0018       SD6M          599 0014 EU   
QSO: 14026 CW 2020-12-19 1414 YQ6A          599 0019       LA0CX         599 0021 EU   
QSO: 14027 CW 2020-12-19 1415 YQ6A          599 0020       9A9A          599 0040 EU   
QSO: 14027 CW 2020-12-19 1416 YQ6A          599 0021       9A7A          599 0042 EU   
QSO: 14029 CW 2020-12-19 1416 YQ6A          599 0022       NB1N          599 0021 NA   
QSO: 14029 CW 2020-12-19 1417 YQ6A          599 0023       UW1M          599 0021 EU   
QSO: 14029 CW 2020-12-19 1418 YQ6A          599 0024       OQ5M          599 0014 EU   
QSO: 14029 CW 2020-12-19 1418 YQ6A          599 0025       G5C           599 0022 EU   
QSO: 14029 CW 2020-12-19 1419 YQ6A          599 0026       ON6MG         599 0013 EU   
QSO: 14029 CW 2020-12-19 1419 YQ6A          599 0027       PA0CT         599 0016 EU   
QSO: 14029 CW 2020-12-19 1420 YQ6A          599 0028       F5ROX         599 0014 EU   
QSO: 14029 CW 2020-12-19 1420 YQ6A          599 0029       UA9W          599 0014 AS   
QSO: 14029 CW 2020-12-19 1421 YQ6A          599 0030       LA5LJA        599 0015 EU   
QSO: 14029 CW 2020-12-19 1422 YQ6A          599 0031       OL5W          599 0013 EU   
QSO: 14029 CW 2020-12-19 1422 YQ6A          599 0032       ON6LR         599 0002 EU   
QSO: 14029 CW 2020-12-19 1422 YQ6A          599 0033       N8UM          599 0021 NA   
QSO: 14029 CW 2020-12-19 1422 YQ6A          599 0034       LY2J          599 0011 EU   
QSO: 14029 CW 2020-12-19 1423 YQ6A          599 0035       K8PK          599 0004 NA   
QSO: 14029 CW 2020-12-19 1424 YQ6A          599 0036       LZ5R          599 0061 EU   
QSO: 14029 CW 2020-12-19 1424 YQ6A          599 0037       LZ1QN         599 0039 EU   
QSO: 14029 CW 2020-12-19 1425 YQ6A          599 0038       IZ8JFL        599 0022 EU   
QSO: 14031 CW 2020-12-19 1427 YQ6A          599 0039       SV1JG         599 0035 EU   
QSO: 14032 CW 2020-12-19 1428 YQ6A          599 0040       EA1WH         599 0036 EU   
QSO: 14033 CW 2020-12-19 1428 YQ6A          599 0041       OH2KW         599 0038 EU   
QSO: 14021 CW 2020-12-19 1429 YQ6A          599 0042       9A5Y          599 0034 EU   
QSO: 14017 CW 2020-12-19 1430 YQ6A          599 0043       UA4M          599 0068 EU   
QSO: 14012 CW 2020-12-19 1431 YQ6A          599 0044       OM7M          599 0043 EU   
QSO: 14017 CW 2020-12-19 1433 YQ6A          599 0045       SN3X          599 0033 EU   
QSO: 14022 CW 2020-12-19 1435 YQ6A          599 0046       9A0YOTA       599 0045 EU   
