START-OF-LOG: 3.0
CALLSIGN: PA3HK
CLUB:
CONTEST: CQ-WW-CW
CLAIMED-SCORE: 413224
OPERATORS: PA3HK
SOAPBOX: Enjoyed the contest. FB conditions and a perfect discipline on the
SOAPBOX: bands. All stations tnx fer the contact es best 73, PA3HK, Henny
NAME: Henny Kuyper
CREATED-BY: N1MM Logger V11.11.3
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
QSO: 14006 CW 2011-11-26 0841 PA3HK         599 14     VK4KW         599 30
QSO: 14008 CW 2011-11-26 0841 PA3HK         599 14     RK3ER         599 16
QSO: 14009 CW 2011-11-26 0842 PA3HK         599 14     TA3AX         599 20
QSO: 14010 CW 2011-11-26 0845 PA3HK         599 14     W3LPL         599 05
QSO: 14010 CW 2011-11-26 0846 PA3HK         599 14     4X/UT7DK      599 20
QSO: 14011 CW 2011-11-26 0846 PA3HK         599 14     JA5FDJ        599 25
QSO: 14012 CW 2011-11-26 0847 PA3HK         599 14     OL9Z          599 15
QSO: 14013 CW 2011-11-26 0848 PA3HK         599 14     C5A           599 35
QSO: 14013 CW 2011-11-26 0848 PA3HK         599 14     TM4Q          599 14
QSO: 14015 CW 2011-11-26 0850 PA3HK         599 14     DR1A          599 14
QSO: 14015 CW 2011-11-26 0851 PA3HK         599 14     OK7Y          599 15
QSO: 14016 CW 2011-11-26 0852 PA3HK         599 14     YR9F          599 20
QSO: 14017 CW 2011-11-26 0854 PA3HK         599 14     OK1FZM        599 15
QSO: 14017 CW 2011-11-26 0855 PA3HK         599 14     RA0AY         599 18
QSO: 14018 CW 2011-11-26 0856 PA3HK         599 14     R3MTA         599 16
QSO: 14018 CW 2011-11-26 0857 PA3HK         599 14     OM3R          599 15
QSO: 14019 CW 2011-11-26 0858 PA3HK         599 14     HG7T          599 15
QSO: 14019 CW 2011-11-26 0859 PA3HK         599 14     EF1A          599 14
