START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: SN5O
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-POWER: LOW
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-STATION: FIXED
LOCATION: DX
OPERATORS: SP5BYC
SOAPBOX: RIG TS480SAT 80W MFJ989 ANT: BROADBAND VERTICAL L=10M 18m HIGH
QSO:  7000 CW 2011-11-26 0105 SN5O          599          15 K2LE            599          05
QSO:  7000 CW 2011-11-26 0107 SN5O          599          15 T7OA            599          15
QSO:  7000 CW 2011-11-26 0109 SN5O          599          15 UN0L            599          17
QSO:  7000 CW 2011-11-26 0111 SN5O          599          15 N2NK            599          05
QSO:  7000 CW 2011-11-26 0115 SN5O          599          15 K0DQ            599          05
QSO:  7000 CW 2011-11-26 0118 SN5O          599          15 VE3EJ           599          04
QSO:  7000 CW 2011-11-26 0120 SN5O          599          15 K1TO            599          05
QSO:  7000 CW 2011-11-26 0125 SN5O          599          15 UU7J            599          16
QSO:  7000 CW 2011-11-26 0127 SN5O          599          15 UP4L            599          17
QSO:  7000 CW 2011-11-26 0131 SN5O          599          15 OH0V            599          15
QSO:  7000 CW 2011-11-26 0132 SN5O          599          15 RK0W            599          18
QSO:  7000 CW 2011-11-26 0133 SN5O          599          15 K3LR            599          05
QSO:  7000 CW 2011-11-26 0149 SN5O          599          15 TM4Q            599          14
QSO:  7000 CW 2011-11-26 0150 SN5O          599          15 RF4C            599          16
QSO:  7000 CW 2011-11-26 0151 SN5O          599          15 K1ZR            599          05
QSO:  7000 CW 2011-11-26 0152 SN5O          599          15 KB1W            599          05
QSO:  7000 CW 2011-11-26 0155 SN5O          599          15 VE3JM           599          04
QSO:  7000 CW 2011-11-26 0200 SN5O          599          15 N4UU            599          05
QSO:  7000 CW 2011-11-26 0203 SN5O          599          15 TO7A            599          08
QSO:  7000 CW 2011-11-26 0207 SN5O          599          15 W9RE            599          04
QSO:  7000 CW 2011-11-26 0209 SN5O          599          15 3V8SS           599          33
QSO:  7000 CW 2011-11-26 0210 SN5O          599          15 RT9A            599          17
QSO:  7000 CW 2011-11-26 0211 SN5O          599          15 R4SA            599          16
QSO:  7000 CW 2011-11-26 0214 SN5O          599          15 F8AEE           599          14
QSO:  7000 CW 2011-11-26 0905 SN5O          599          15 LY2BKT          599          15
QSO:  7000 CW 2011-11-26 0945 SN5O          599          15 EV6Z            599          16
QSO:  7000 CW 2011-11-26 0948 SN5O          599          15 YT7A            599          15
QSO:  7000 CW 2011-11-26 0949 SN5O          599          15 LY7A            599          15
QSO:  7000 CW 2011-11-26 0951 SN5O          599          15 S50B            599          15
QSO:  7000 CW 2011-11-26 0953 SN5O          599          15 OL8M            599          15
QSO:  7000 CW 2011-11-26 0955 SN5O          599          15 OL1M            599          15
QSO:  7000 CW 2011-11-26 0957 SN5O          599          15 DL3VZL          599          14
QSO:  7000 CW 2011-11-26 0959 SN5O          599          15 EU1TX           599          14
QSO: 28000 CW 2011-11-26 1003 SN5O          599          15 RW4W            599          16
QSO: 28000 CW 2011-11-26 1007 SN5O          599          15 IK8TEO          599          15
QSO:  7000 CW 2011-11-27 0032 SN5O          599          15 K0TV            599          05
QSO:  7000 CW 2011-11-27 0037 SN5O          599          15 W3KL            599          05
QSO:  7000 CW 2011-11-27 0039 SN5O          599          15 W9SN            599          04
QSO:  7000 CW 2011-11-27 0040 SN5O          599          15 N6AR            599          05
QSO:  7000 CW 2011-11-27 0047 SN5O          599          15 EF3A            599          14
QSO:  7000 CW 2011-11-27 0053 SN5O          599          15 P40W            599          09
QSO:  7000 CW 2011-11-27 0100 SN5O          599          15 ED8A            599          33
QSO:  7000 CW 2011-11-27 0102 SN5O          599          15 UZ2M            599          16
QSO:  7000 CW 2011-11-27 0104 SN5O          599          15 YR1C            599          20
QSO:  7000 CW 2011-11-27 0105 SN5O          599          15 TM6M            599          14
QSO:  7000 CW 2011-11-27 0106 SN5O          599          15 G5O             599          14
QSO:  7000 CW 2011-11-27 0109 SN5O          599          15 SV4FFL          599          20
QSO:  7000 CW 2011-11-27 0112 SN5O          599          15 C5A             599          35
QSO:  7000 CW 2011-11-27 0113 SN5O          599          15 VY2TT           599          05
QSO:  7000 CW 2011-11-27 0115 SN5O          599          15 NY3A            599          05
QSO:  7000 CW 2011-11-27 0118 SN5O          599          15 LZ5K            599          20
QSO:  7000 CW 2011-11-27 0126 SN5O          599          15 VU2PTT          599          22
QSO:  7000 CW 2011-11-27 0132 SN5O          599          15 Z37Y            599          15
QSO:  7000 CW 2011-11-27 0134 SN5O          599          15 UX7CQ           599          16
QSO:  7000 CW 2011-11-27 0135 SN5O          599          15 IO5O            599          15
QSO:  7000 CW 2011-11-27 0143 SN5O          599          15 HB9STEVE        599          14
QSO:  7000 CW 2011-11-27 0147 SN5O          599          15 LZ9W            599          20
QSO:  7000 CW 2011-11-27 0148 SN5O          599          15 LZ5R            599          20
QSO:  7000 CW 2011-11-27 0150 SN5O          599          15 W3UA            599          05
QSO:  7000 CW 2011-11-27 0158 SN5O          599          15 RG6G            599          16
QSO:  7000 CW 2011-11-27 0201 SN5O          599          15 K1RX            599          05
QSO:  7000 CW 2011-11-27 0202 SN5O          599          15 W3LPL           599          05
QSO:  7000 CW 2011-11-27 0213 SN5O          599          15 NR5M            599          04
QSO:  7000 CW 2011-11-27 0213 SN5O          599          15 NY4A            599          05
QSO:  1800 CW 2011-11-27 0219 SN5O          599          15 YL6W            599          15
QSO:  1800 CW 2011-11-27 0220 SN5O          599          15 S57DX           599          15
QSO:  1800 CW 2011-11-27 0221 SN5O          599          15 S59A            599          15
QSO:  1800 CW 2011-11-27 0222 SN5O          599          15 OK1T            599          15
QSO:  1800 CW 2011-11-27 0223 SN5O          599          15 HA8BE           599          15
QSO:  1800 CW 2011-11-27 0229 SN5O          599          15 IK0HBN          599          15
QSO:  1800 CW 2011-11-27 0231 SN5O          599          15 S52OT           599          15
QSO:  1800 CW 2011-11-27 0232 SN5O          599          15 ON4WW           599          14
QSO:  1800 CW 2011-11-27 0233 SN5O          599          15 HA9SU           599          15
QSO: 28000 CW 2011-11-27 1039 SN5O          599          15 EA3AV           599          15
QSO: 28000 CW 2011-11-27 1040 SN5O          599          15 RK9SWF          599          16
QSO: 28000 CW 2011-11-27 1042 SN5O          599          15 UA9SAW          599          16
QSO: 28000 CW 2011-11-27 1045 SN5O          599          15 RM9X            599          17
QSO: 28000 CW 2011-11-27 1047 SN5O          599          15 EI5DI           599          14
QSO: 28000 CW 2011-11-27 1048 SN5O          599          15 UA1OMS          599          16
QSO: 28000 CW 2011-11-27 1049 SN5O          599          15 RT9T            599          16
QSO: 28000 CW 2011-11-27 1050 SN5O          599          15 G3TXF           599          14
QSO: 28000 CW 2011-11-27 1053 SN5O          599          15 GM1F            599          14
QSO: 28000 CW 2011-11-27 1054 SN5O          599          15 RU9AC           599          17
QSO: 28000 CW 2011-11-27 1059 SN5O          599          15 4X2M            599          20
QSO: 28000 CW 2011-11-27 1102 SN5O          599          15 GI4SJQ          599          14
QSO: 28000 CW 2011-11-27 1107 SN5O          599          15 P3J             599          20
QSO: 28000 CW 2011-11-27 1112 SN5O          599          15 J28RO           599          37
QSO: 28000 CW 2011-11-27 1117 SN5O          599          15 GI4NKB          599          14
QSO: 28000 CW 2011-11-27 1147 SN5O          599          15 UP0L            599          17
QSO: 28000 CW 2011-11-27 1151 SN5O          599          15 EF5F            599          14
QSO: 28000 CW 2011-11-27 1152 SN5O          599          15 RM9RZ           599          17
QSO: 28000 CW 2011-11-27 1157 SN5O          599          15 TC7B            599          20
QSO: 28000 CW 2011-11-27 1209 SN5O          599          15 MM3T            599          14
QSO: 28000 CW 2011-11-27 1220 SN5O          599          15 EA2IF           599          14
QSO: 28000 CW 2011-11-27 1221 SN5O          599          15 CR3E            599          33
QSO: 28000 CW 2011-11-27 1227 SN5O          599          15 3V8SS           599          33
QSO: 28000 CW 2011-11-27 1230 SN5O          599          15 W3EP            599          05
QSO: 28000 CW 2011-11-27 1235 SN5O          599          15 AK1N            599          05
QSO: 28000 CW 2011-11-27 1238 SN5O          599          15 EI4DW           599          14
QSO: 28000 CW 2011-11-27 1240 SN5O          599          15 VA3DX           599          04
QSO: 28000 CW 2011-11-27 1241 SN5O          599          15 PY7ZY           599          11
QSO: 28000 CW 2011-11-27 1246 SN5O          599          15 VY2TT           599          05
QSO: 28000 CW 2011-11-27 1248 SN5O          599          15 N1IX            599          05
QSO: 28000 CW 2011-11-27 1250 SN5O          599          15 C91NW           599          37
QSO: 28000 CW 2011-11-27 1252 SN5O          599          15 SU/HA3JB        599          34
QSO: 28000 CW 2011-11-27 1300 SN5O          599          15 PZ5T            599          09
QSO: 28000 CW 2011-11-27 1301 SN5O          599          15 A45XR           599          21
QSO: 28000 CW 2011-11-27 1304 SN5O          599          15 K2FWA           599          05
QSO: 28000 CW 2011-11-27 1340 SN5O          599          15 N4WW            599          05
QSO: 28000 CW 2011-11-27 1341 SN5O          599          15 P33W            599          20
QSO: 28000 CW 2011-11-27 1343 SN5O          599          15 K8MFO           599          04
QSO: 28000 CW 2011-11-27 1347 SN5O          599          15 K1BX            599          05
