START-OF-LOG: 3.0
CATEGORY: Single-OP low
CONTEST: WAE CW
SPECIFIC: H05
CALLSIGN: DO3OI
CLAIMED-SCORE: 1224
CLUB: RHEIN RUHR DX ASSOCIATION
LOCATION: JO52BP
GRID-LOCATOR: JO52BP
CREATED-BY: RUMlogNG (5.18.3) by DL2RUM, modified by DXHF upload.
QSO: 21000 CW 2025-08-09 1348 DO3OI         599 001    CR3W          599 936    0
QSO: 21000 CW 2025-08-09 1353 DO3OI         599 002    TA2DA         599 377    0
QSO: 21000 CW 2025-08-09 1401 DO3OI         599 003    FY5KE         599 463    0
QSO: 21000 CW 2025-08-09 1501 DO3OI         599 004    H25A          599 760    0
QSO: 21000 CW 2025-08-09 1551 DO3OI         599 005    4X6FR         599 109    0
QSO: 21000 CW 2025-08-10 0606 DO3OI         599 006    P3CR          599 1209   0
QSO: 21000 CW 2025-08-10 0610 DO3OI         599 007    UO2L          599 619    0
QSO: 21000 CW 2025-08-10 0612 DO3OI         599 008    4L/DL2JRM     599 605    0
QSO: 21000 CW 2025-08-10 0613 DO3OI         599 009    BG0DLA        599 745    0
QSO: 21000 CW 2025-08-10 0620 DO3OI         599 010    CR3DX         599 1496   0
QSO: 21000 CW 2025-08-10 0630 DO3OI         599 011    UN3M          599 894    0
QSO: 21000 CW 2025-08-10 0637 DO3OI         599 012    RU9AD         599 475    0
QSO: 21000 CW 2025-08-10 0754 DO3OI         599 013    RC9A          599 684    0
QSO: 21000 CW 2025-08-10 0758 DO3OI         599 014    RG0A          599 160    0
QSO: 21000 CW 2025-08-10 0810 DO3OI         599 015    RA9AP         599 410    0
QSO: 21000 CW 2025-08-10 1009 DO3OI         599 016    UP7L          599 727    0
QSO: 21000 CW 2025-08-10 1015 DO3OI         599 017    UA9CDC        599 490    0
QSO: 21000 CW 2025-08-10 1140 DO3OI         599 018    TA7I          599 862    0
QSO: 21000 CW 2025-08-10 1143 DO3OI         599 019    TA3NE         599 794    0
QSO: 21000 CW 2025-08-10 1253 DO3OI         599 020    KC1XX         599 1226   0
QSO: 21000 CW 2025-08-10 1306 DO3OI         599 021    ND3T          599 1197   0
QTC: 21000 CW 2025-08-10 1225 DO3OI         46/10      H25A          0700 SP3FSM        027
QTC: 21000 CW 2025-08-10 1225 DO3OI         46/10      H25A          0703 IT9ORA        018
QTC: 21000 CW 2025-08-10 1226 DO3OI         46/10      H25A          0703 YP5A          124
QTC: 21000 CW 2025-08-10 1226 DO3OI         46/10      H25A          0704 SD1A          025
QTC: 21000 CW 2025-08-10 1228 DO3OI         46/10      H25A          0707 DL7URH        062
QTC: 21000 CW 2025-08-10 1229 DO3OI         46/10      H25A          0708 OQ5M          268
QTC: 21000 CW 2025-08-10 1229 DO3OI         46/10      H25A          0708 DK5DQ         127
QTC: 21000 CW 2025-08-10 1229 DO3OI         46/10      H25A          0709 IK3SWB        298
QTC: 21000 CW 2025-08-10 1230 DO3OI         46/10      H25A          0709 F5VV          083
QTC: 21000 CW 2025-08-10 1231 DO3OI         46/10      H25A          0710 DM2I          318
QTC: 21000 CW 2025-08-10 1259 DO3OI         80/10      TA3NE         1137 EI7CC         028
QTC: 21000 CW 2025-08-10 1259 DO3OI         80/10      TA3NE         1138 PA4O          146
QTC: 21000 CW 2025-08-10 1259 DO3OI         80/10      TA3NE         1138 S53R          071
QTC: 21000 CW 2025-08-10 1300 DO3OI         80/10      TA3NE         1139 OM7AT         046
QTC: 21000 CW 2025-08-10 1300 DO3OI         80/10      TA3NE         1139 OK1TN         040
QTC: 21000 CW 2025-08-10 1301 DO3OI         80/10      TA3NE         1140 F6GCI         189
QTC: 21000 CW 2025-08-10 1301 DO3OI         80/10      TA3NE         1140 SE4E          120
QTC: 21000 CW 2025-08-10 1301 DO3OI         80/10      TA3NE         1141 OG3B          304
QTC: 21000 CW 2025-08-10 1302 DO3OI         80/10      TA3NE         1142 SP9JZT        142
QTC: 21000 CW 2025-08-10 1302 DO3OI         80/10      TA3NE         1142 DF7TV         072
QTC: 21000 CW 2025-08-10 1311 DO3OI         130/10     ND3T          1254 DL5ARM        102
QTC: 21000 CW 2025-08-10 1312 DO3OI         130/10     ND3T          1255 GM4S          345
QTC: 21000 CW 2025-08-10 1312 DO3OI         130/10     ND3T          1256 EA6NB         099
QTC: 21000 CW 2025-08-10 1312 DO3OI         130/10     ND3T          1257 EA2CAR        041
QTC: 21000 CW 2025-08-10 1312 DO3OI         130/10     ND3T          1258 SP8GQU        086
QTC: 21000 CW 2025-08-10 1313 DO3OI         130/10     ND3T          1258 DP6R          130
QTC: 21000 CW 2025-08-10 1313 DO3OI         130/10     ND3T          1258 9A3SM         088
QTC: 21000 CW 2025-08-10 1313 DO3OI         130/10     ND3T          1301 9A3YT         076
QTC: 21000 CW 2025-08-10 1314 DO3OI         130/10     ND3T          1301 OM7K          009
QTC: 21000 CW 2025-08-10 1314 DO3OI         130/10     ND3T          1302 DO6AN         003
END-OF-LOG:
