START-OF-LOG: 2.0
CATEGORY: Single-OP low
CONTEST: WAE RTTY
CALLSIGN: SP8DR
LOCATOR: KO10RK
PROVINCE:
CLAIMED-SCORE: 0
CREATED-BY: Cabrillo_gen v.2.2.0 - (c) SP7DQR, modified by DXHF upload.
QSO: 28000 RY 2024-11-09 1304 SP8DR         599           1 IT9MRM        599         070
QSO: 28000 RY 2024-11-09 1306 SP8DR         599           2 YU5R          599         704
QSO: 28000 RY 2024-11-09 1316 SP8DR         599           3 P33W          599         777
QSO: 28000 RY 2024-11-09 1319 SP8DR         599           4 PU1JSV        599         130
QSO: 21000 RY 2024-11-09 1323 SP8DR         599           5 DF8V          599         051
QSO: 21000 RY 2024-11-09 1326 SP8DR         599           6 TM3Z          599         458
QSO: 21000 RY 2024-11-09 1327 SP8DR         599           7 SD3T          599         216
QSO: 21000 RY 2024-11-09 1330 SP8DR         599           8 OH8WR         599         057
QSO: 21000 RY 2024-11-09 1331 SP8DR         599           9 IU1CIW        599         065
QSO: 21000 RY 2024-11-09 1335 SP8DR         599          10 NW3L          599         088
QSO: 21000 RY 2024-11-09 1336 SP8DR         599          11 HB9KG         599         464
QSO: 21000 RY 2024-11-09 1340 SP8DR         599          12 YU5R          599         744
QSO: 21000 RY 2024-11-09 1342 SP8DR         599          13 NJ4P          599         760
QSO: 21000 RY 2024-11-09 1347 SP8DR         599          14 OZ11A         599         469
QSO: 21000 RY 2024-11-09 1349 SP8DR         599          15 K1LZ          599         728
QSO: 21000 RY 2024-11-09 1357 SP8DR         599          16 IK3SGL        599         028
QSO: 14000 RY 2024-11-09 1400 SP8DR         599          17 HB0/DF8DX     599         364
QSO: 21000 RY 2024-11-09 1402 SP8DR         599          18 OH3FM         599         258
QSO: 14000 RY 2024-11-09 1406 SP8DR         599          19 RU0LL         599         097
QSO: 14000 RY 2024-11-09 1407 SP8DR         599          20 PA4B          599         116
QSO: 14000 RY 2024-11-09 1414 SP8DR         599          21 DF2KQ         599         148
QSO: 14000 RY 2024-11-09 1415 SP8DR         599          22 DK7HA         599         351
