START-OF-LOG: 3.0
HQ-DATE: Mon, 29 Oct 2007 19:16:39 -0400
HQ-FROM: "Rick Dougherty NQ4I" <nq4i@contesting.com>
HQ-DATE-RECEIVED: 2007-10-29 23:16:47 UTC
HQ-LOG-DEADLINE: 2007-12-01 23:59:59 UTC
HQ-SUBJECT: nq4i
CREATED-BY: Win-Test 3.17.0
CONTEST: CQ-WW-SSB
CALLSIGN: NQ4I
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 9498456
OPERATORS: NQ4I, N8PR, W4SVO, AA4BI, VE7ZO, KF4GTA, KY5R, NF4A, N4OX, K4NV,
OPERATORS: K4BAI, WI4R, W4DD , K4WI
CLUB: South East Contest Club
NAME: Rick Dougherty
ADDRESS: 1595 Cabin Creek Trail
ADDRESS: Griffin, Georgia
SOAPBOX: No equipment failures, conditions on 15m were better than we expected,
SOAPBOX: some EU on 10m, 160m and 80m were noisy.
QSO: 21249 PH 2007-10-27 0000 NQ4I          59  05     KH7X          59  31     0
QSO:  7038 PH 2007-10-27 0000 NQ4I          59  05     F5ODA         59  14     0
QSO: 21229 PH 2007-10-27 0000 NQ4I          59  05     AH6XX         59  31     0
QSO: 14302 PH 2007-10-27 0001 NQ4I          59  05     VR2C          59  24     0
QSO:  7038 PH 2007-10-27 0001 NQ4I          59  05     VE3TA         59  04     0
QSO:  1837 PH 2007-10-27 0001 NQ4I          59  05     V26B          59  08     0
QSO:  7038 PH 2007-10-27 0001 NQ4I          59  05     VA3WU         59  04     0
QSO: 21238 PH 2007-10-27 0002 NQ4I          59  05     K5ZO          59  04     0
QSO: 14156 PH 2007-10-27 0002 NQ4I          59  05     S50K          59  15     0
QSO:  1843 PH 2007-10-27 0002 NQ4I          59  05     NP4A          59  08     0
QSO: 14156 PH 2007-10-27 0003 NQ4I          59  05     VE3OX         59  04     0
QSO: 14226 PH 2007-10-27 0004 NQ4I          59  05     FY5KE         59  09     0
QSO: 14156 PH 2007-10-27 0004 NQ4I          59  05     VE2CKM        59  05     0
QSO: 21282 PH 2007-10-27 0004 NQ4I          59  05     VK4CZ         59  30     0
QSO: 14156 PH 2007-10-27 0004 NQ4I          59  05     N5LIV         59  04     0
QSO: 21289 PH 2007-10-27 0005 NQ4I          59  05     ZM2M          59  32     0
QSO:  3785 PH 2007-10-27 0005 NQ4I          59  05     CN2FB         59  33     0
QSO: 14156 PH 2007-10-27 0005 NQ4I          59  05     VA3VO         59  04     0
QSO:  3730 PH 2007-10-27 0005 NQ4I          59  05     V26B          59  08     0
QSO: 21314 PH 2007-10-27 0005 NQ4I          59  05     ZM4A          59  32     0
QSO: 14156 PH 2007-10-27 0005 NQ4I          59  05     VE3XAT        59  04     0
QSO: 14156 PH 2007-10-27 0006 NQ4I          59  05     VE3IRW        59  04     0
QSO: 14323 PH 2007-10-27 0006 NQ4I          59  05     JR5VHU        59  25     0
QSO:  3774 PH 2007-10-27 0006 NQ4I          59  05     EB1WW         59  14     0
QSO: 14156 PH 2007-10-27 0006 NQ4I          59  05     XE1NW         59  06     0
QSO:  7191 PH 2007-10-27 0006 NQ4I          59  05     OL7R          59  15     0
QSO:  3774 PH 2007-10-27 0006 NQ4I          59  05     VA3NR         59  04     0
QSO: 14311 PH 2007-10-27 0007 NQ4I          59  05     KL7RA         59  01     0
QSO: 14156 PH 2007-10-27 0007 NQ4I          59  05     VE2LX         59  05     0
QSO:  7191 PH 2007-10-27 0007 NQ4I          59  05     KB1OKC        59  05     0
QSO: 14156 PH 2007-10-27 0007 NQ4I          59  05     W1HIS         59  05     0
QSO: 21204 PH 2007-10-27 0007 NQ4I          59  05     A35RK         59  32     0
QSO: 14200 PH 2007-10-27 0007 NQ4I          59  05     W1HIS         59  05     0
QSO:  7089 PH 2007-10-27 0008 NQ4I          59  05     SX5P          59  20     1
QSO: 14156 PH 2007-10-27 0008 NQ4I          59  05     CT3A          59  33     0
QSO: 21263 PH 2007-10-27 0008 NQ4I          59  05     VK1CC         59  30     0
QSO: 14156 PH 2007-10-27 0009 NQ4I          59  05     VE3PUX        59  04     0
QSO:  1857 PH 2007-10-27 0010 NQ4I          59  05     WP2/AH8DX     59  08     0
QSO:  3765 PH 2007-10-27 0010 NQ4I          59  05     VP5T          59  08     0
QSO: 14156 PH 2007-10-27 0010 NQ4I          59  05     VE3FZ         59  04     0
QSO:  1860 PH 2007-10-27 0010 NQ4I          59  05     N4NW          59  05     0
QSO: 14265 PH 2007-10-27 0010 NQ4I          59  05     HI3C          59  08     0
QSO:  3793 PH 2007-10-27 0011 NQ4I          59  05     J3A           59  08     0
QSO:  7027 PH 2007-10-27 0011 NQ4I          59  05     N2RRA         59  05     0
QSO: 14156 PH 2007-10-27 0012 NQ4I          59  05     N1WK          59  05     0
QSO:  7027 PH 2007-10-27 0013 NQ4I          59  05     EI9E          59  14     0
QSO: 14156 PH 2007-10-27 0013 NQ4I          59  05     K8EX          59  04     0
QSO:  7027 PH 2007-10-27 0013 NQ4I          59  05     DJ5EU         59  14     0
QSO: 14156 PH 2007-10-27 0013 NQ4I          59  05     N3EHY         59  05     0
QSO: 21214 PH 2007-10-27 0013 NQ4I          59  05     VK4EJ         59  30     0
QSO: 14156 PH 2007-10-27 0013 NQ4I          59  05     VE1OP         59  05     0
QSO: 14156 PH 2007-10-27 0014 NQ4I          59  05     AB2TC         59  05     0
QSO:  7075 PH 2007-10-27 0014 NQ4I          59  05     C50C          59  35     1
QSO:  1833 PH 2007-10-27 0014 NQ4I          59  05     J3A           59  08     0
QSO: 14156 PH 2007-10-27 0014 NQ4I          59  05     KC2OCE        59  05     0
QSO:  7027 PH 2007-10-27 0014 NQ4I          59  05     VE6FI         59  04     0
QSO: 14247 PH 2007-10-27 0014 NQ4I          59  05     KH7X          59  31     0
QSO:  7027 PH 2007-10-27 0014 NQ4I          59  05     VP9I          59  05     0
QSO: 14257 PH 2007-10-27 0015 NQ4I          59  05     HC8N          59  10     0
QSO: 21310 PH 2007-10-27 0016 NQ4I          59  05     ZL1BYZ        59  32     0
QSO: 14156 PH 2007-10-27 0016 NQ4I          59  05     VE1AI         59  05     0
QSO:  7088 PH 2007-10-27 0016 NQ4I          59  05     CN3A          59  33     1
QSO: 14285 PH 2007-10-27 0016 NQ4I          59  05     P40A          59  09     0
QSO:  3775 PH 2007-10-27 0016 NQ4I          59  05     CM6CAC        59  08     0
QSO: 14161 PH 2007-10-27 0016 NQ4I          59  05     J3A           59  08     0
QSO:  7099 PH 2007-10-27 0017 NQ4I          59  05     CU2A          59  14     1
QSO: 14156 PH 2007-10-27 0018 NQ4I          59  05     VE2XAA        59  05     0
QSO: 14156 PH 2007-10-27 0018 NQ4I          59  05     VE3IAE        59  04     0
QSO:  3758 PH 2007-10-27 0019 NQ4I          59  05     VY2TT         59  05     0
QSO:  1847 PH 2007-10-27 0019 NQ4I          59  05     VE3MGY        59  04     0
QSO: 14156 PH 2007-10-27 0019 NQ4I          59  05     W2JEK         59  05     0
QSO: 14290 PH 2007-10-27 0019 NQ4I          59  05     PZ5XX         59  09     0
QSO: 14156 PH 2007-10-27 0019 NQ4I          59  05     N1URA         59  05     0
QSO: 14156 PH 2007-10-27 0020 NQ4I          59  05     VE9CEH        59  05     0
