START-OF-LOG: 3.0
HQ-DATE: Wed, 26 Dec 2007 09:56:37 +0100
HQ-FROM: "Guttorm Amdal" <gamdal@online.no>
HQ-DATE-RECEIVED: 2007-12-26 08:56:45 UTC
HQ-LOG-DEADLINE: 2007-12-01 23:59:59 UTC
HQ-SUBJECT: LA2AB
CREATED-BY:    SD V13.29 and SDCHECK V13.29
CONTEST:       CQ-WW-SSB
CALLSIGN:      LA2AB
CLAIMED-SCORE: 18656
NAME:          Asker & Barum gr of NRRL
ADDRESS:       PO Box 1322 Hoevik Norway
OPERATORS:     LA8WF
X-RADIOS:      FT1000 + MLA-2500 PA
X-ANTENNAS:    TH7DXX for 10-15-20m @18m + 3ele yagi for 40 m @33m
X-ANTENNAS:    3ele vertical array for 80m + GP for 160m
X-SUMMARY:
X-SUMMARY:                     160m  80m  40m  20m  15m  10m  Total
X-SUMMARY:
X-SUMMARY:         Valid QSOs:    7    4  140    0    5    4   160
X-SUMMARY:              Mults:   12    7   56    0    8    5    88
X-SUMMARY:             Points:   11    8  172    0   15    6   212
X-SUMMARY:
X-SUMMARY:
X-SUMMARY:     I declare that this station was operated strictly in
X-SUMMARY:     accordance with the rules and spirit of the contest,
X-SUMMARY:     and within the conditions of my licence.  My report
X-SUMMARY:     is correct and true to the best of my knowledge.
X-SUMMARY:     I agree that the decision of the contest organisers
X-SUMMARY:     shall be final in all cases of dispute.  I agree to
X-SUMMARY:     this data being stored, analysed and cross-checked
X-SUMMARY:     by computer.
X-SUMMARY:
X-SUMMARY:
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
QSO: 21000 PH 2007-10-27 1343 LA2AB         59  14     C50C          59  35
QSO: 28000 PH 2007-10-27 1350 LA2AB         59  14     ZS9X          59  38
QSO: 28000 PH 2007-10-27 1409 LA2AB         59  14     F8AFC         55  14
QSO: 28000 PH 2007-10-27 1418 LA2AB         59  14     TM6M          59  14
QSO: 28000 PH 2007-10-27 1422 LA2AB         59  14     AM1A          59  14
QSO: 21000 PH 2007-10-27 1442 LA2AB         59  14     3DA0WW        59  38
QSO: 21000 PH 2007-10-27 1446 LA2AB         59  14     ZS9Z          59  38
QSO: 21000 PH 2007-10-27 1513 LA2AB         59  14     AO8A          59  33
QSO: 21000 PH 2007-10-27 1514 LA2AB         59  14     EA9LZ         59  33
QSO:  7000 PH 2007-10-27 1511 LA2AB         59  14     YB1KAR        59  28
QSO:  7000 PH 2007-10-27 1522 LA2AB         59  14     JJ3YBB        59  25
QSO:  7000 PH 2007-10-27 1527 LA2AB         59  14     JA3YBK        59  25
QSO:  7000 PH 2007-10-27 1542 LA2AB         59  14     VK1CC         59  30
QSO:  7000 PH 2007-10-27 1552 LA2AB         59  14     1A3A          59  15
QSO:  7000 PH 2007-10-27 1623 LA2AB         59  14     OH8AA         59  15
QSO:  7000 PH 2007-10-27 1623 LA2AB         59  14     OK6TW         59  15
QSO:  7000 PH 2007-10-27 1624 LA2AB         59  14     GM0ELP        59  14
QSO:  7000 PH 2007-10-27 1624 LA2AB         59  14     YL5W          59  15
QSO:  7000 PH 2007-10-27 1624 LA2AB         59  14     PI4COM        59  14
QSO:  7000 PH 2007-10-27 1624 LA2AB         59  14     G5O           59  14
QSO:  7000 PH 2007-10-27 1625 LA2AB         59  14     S53AF         59  15
QSO:  7000 PH 2007-10-27 1625 LA2AB         59  14     UA4WA         59  16
QSO:  7000 PH 2007-10-27 1626 LA2AB         59  14     DK8FS         59  14
QSO:  7000 PH 2007-10-27 1627 LA2AB         59  14     M0MCC         59  14
QSO:  7000 PH 2007-10-27 1628 LA2AB         59  14     RA3RK         59  16
QSO:  7000 PH 2007-10-27 1629 LA2AB         59  14     F4ARJ         59  14
QSO:  7000 PH 2007-10-27 1629 LA2AB         59  14     DK6CQ         59  14
QSO:  7000 PH 2007-10-27 1629 LA2AB         59  14     PA6Z          59  14
QSO:  7000 PH 2007-10-27 1630 LA2AB         59  14     RL3A          59  16
QSO:  7000 PH 2007-10-27 1632 LA2AB         59  14     SP5ELA        59  15
QSO:  7000 PH 2007-10-27 1634 LA2AB         59  14     UA3BS         59  16
QSO:  7000 PH 2007-10-27 1635 LA2AB         59  14     RU3ZV         59  16
QSO:  7000 PH 2007-10-27 1637 LA2AB         59  14     OK3BRX        59  15
QSO:  7000 PH 2007-10-27 1638 LA2AB         59  14     TA7KA         59  20
QSO:  7000 PH 2007-10-27 1638 LA2AB         59  14     OA3MOC        59  10
QSO:  7000 PH 2007-10-27 1638 LA2AB         59  14     UA3BC         59  16
QSO:  7000 PH 2007-10-27 1639 LA2AB         59  14     RV3ML         59  16
QSO:  7000 PH 2007-10-27 1640 LA2AB         59  14     UT0AZA        59  16
QSO:  7000 PH 2007-10-27 1641 LA2AB         59  14     OM0M          59  15
QSO:  7000 PH 2007-10-27 1642 LA2AB         59  14     UT6IS         59  16
QSO:  7000 PH 2007-10-27 1642 LA2AB         59  14     OM0RTP        59  15
QSO:  7000 PH 2007-10-27 1643 LA2AB         59  14     DC0FHB        59  14
