START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: S53RA
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: S53RA
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2024.
QSO: 21044 CW 2024-07-13 1354 S53RA         599 28 ER7HQ         599 ARM
QSO: 21073 CW 2024-07-13 1357 S53RA         599 28 WM9C          599 08
QSO: 21067 CW 2024-07-13 1400 S53RA         599 28 8P5A          599 11
QSO: 21035 CW 2024-07-13 1404 S53RA         599 28 K9CT          599 08
QSO: 21019 CW 2024-07-13 1413 S53RA         599 28 N9RV          599 6
QSO: 21015 CW 2024-07-13 1415 S53RA         599 28 NA8V          599 8
QSO: 21000 CW 2024-07-13 1420 S53RA         599 28 KR2Q          599 08
QSO: 21049 CW 2024-07-13 1423 S53RA         599 28 W8MJ          599 08
QSO: 21051 CW 2024-07-13 1424 S53RA         599 28 JF2QNM        599 45
QSO: 21058 CW 2024-07-13 1425 S53RA         599 28 IP4M          599 28
QSO: 28011 CW 2024-07-13 1428 S53RA         599 28 RT4F          599 29
QSO: 28016 CW 2024-07-13 1429 S53RA         599 28 ES9C          599 29
QSO: 28024 CW 2024-07-13 1430 S53RA         599 28 9A1P          599 28
QSO: 28003 CW 2024-07-13 1433 S53RA         599 28 PZ5DX         599 12
QSO: 28012 CW 2024-07-13 1433 S53RA         599 28 UP0L          599 30
QSO: 28011 CW 2024-07-13 1434 S53RA         599 28 RK3ER         599 29
QSO: 28503 PH 2024-07-13 1436 S53RA         59 28 ES7A          59 29
QSO: 28410 PH 2024-07-13 1437 S53RA         59 28 ES9C          59 29
QSO: 28435 PH 2024-07-13 1437 S53RA         59 28 S50HQ         59 ZRS
QSO: 21357 PH 2024-07-13 1441 S53RA         59 28 9A1P          59 28
QSO: 21324 PH 2024-07-13 1442 S53RA         59 28 RU1A          59 29
QSO: 21350 PH 2024-07-13 1442 S53RA         59 28 UZ7C          59 29
QSO: 21360 PH 2024-07-13 1443 S53RA         59 28 II9HQ         59 ARI
QSO: 21276 PH 2024-07-13 1445 S53RA         59 28 S570CST       59 28
QSO: 21000 PH 2024-07-13 1446 S53RA         59 28 ER7HQ         59 ARM
QSO: 21225 PH 2024-07-13 1448 S53RA         59 28 R9HQ          59 SRR
QSO: 21205 PH 2024-07-13 1449 S53RA         59 28 UN9L          59 30
QSO: 21221 PH 2024-07-13 1449 S53RA         59 28 UN1HQ         59 KFRR
QSO: 21231 PH 2024-07-13 1452 S53RA         59 28 YB9ELS        59 54
QSO: 21237 PH 2024-07-13 1454 S53RA         59 28 B7HQ          59 CRAC
QSO: 21310 PH 2024-07-13 1501 S53RA         59 28 CR3Y          59 36
QSO: 21331 PH 2024-07-13 1502 S53RA         59 28 YR0HQ         59 FRR
QSO: 21000 PH 2024-07-13 1503 S53RA         59 28 HG0HQ         59 MRASZ
QSO: 21200 PH 2024-07-13 1511 S53RA         59 28 IT9FRX        59 28
QSO: 21210 PH 2024-07-13 1512 S53RA         59 28 IT9ATF        59 28
QSO: 21290 PH 2024-07-13 1514 S53RA         59 28 EF4HQ         59 URE
QSO: 21301 PH 2024-07-13 1515 S53RA         59 28 4K6FO         59 29
QSO: 21312 PH 2024-07-13 1515 S53RA         59 28 YO6KPT        59 28
QSO: 21352 PH 2024-07-13 1516 S53RA         59 28 YO9HP         59 28
QSO: 21213 PH 2024-07-13 1519 S53RA         59 28 RM9A          59 30
QSO: 14257 PH 2024-07-13 1525 S53RA         59 28 EF4HQ         59 URE
QSO: 14298 PH 2024-07-13 1526 S53RA         59 28 SN0HQ         59 PZK
QSO: 14265 PH 2024-07-13 1527 S53RA         59 28 DA0HQ         59 DARC
QSO: 14274 PH 2024-07-13 1527 S53RA         59 28 F6PTT         59 27
QSO: 14240 PH 2024-07-13 1528 S53RA         59 28 ED1R          59 37
QSO: 14249 PH 2024-07-13 1528 S53RA         59 28 SX0HQ         59 RAAG
QSO: 14197 PH 2024-07-13 1529 S53RA         59 28 OT8M          59 27
QSO: 14217 PH 2024-07-13 1529 S53RA         59 28 GR2HQ         59 RSGB
QSO: 14174 PH 2024-07-13 1530 S53RA         59 28 LZ0HQ         59 BFRA
QSO: 14188 PH 2024-07-13 1530 S53RA         59 28 UW4E          59 29
QSO: 14167 PH 2024-07-13 1531 S53RA         59 28 YL3KT         59 29
QSO: 14000 PH 2024-07-13 1534 S53RA         59 28 TC3HQ         59 TRAC
QSO: 14233 PH 2024-07-13 1535 S53RA         59 28 C37HQ         59 URA
QSO: 14236 PH 2024-07-13 1535 S53RA         59 28 YR0HQ         59 FRR
QSO: 14000 CW 2024-07-13 1538 S53RA         599 28 YF8HYV        599 54
QSO: 14057 CW 2024-07-13 1540 S53RA         599 28 YO9HP         599 28
QSO: 14053 CW 2024-07-13 1542 S53RA         599 28 UP7L          599 30
QSO: 14048 CW 2024-07-13 1543 S53RA         599 28 OZ1HQ         599 EDR
QSO: 14041 CW 2024-07-13 1545 S53RA         599 28 R9AE          599 30
