START-OF-LOG: 3.0
CALLSIGN: DJ2QV
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 1472772
NAME: Maik Reckeweg
LOCATION: DX
CLUB: Rhein Ruhr DX Association
CERTIFICATE: NO
CREATED-BY: Win-Test 4.27.0
SOAPBOX: part time entry only - due to family obligations
QSO: 14041 CW 2018-05-26 0002 DJ2QV         599 0001   AA4AQ         599 005
QSO: 14046 CW 2018-05-26 0003 DJ2QV         599 0002   W1EQ          599 004
QSO: 14046 CW 2018-05-26 0005 DJ2QV         599 0003   8P5A          599 012
QSO: 14048 CW 2018-05-26 0005 DJ2QV         599 0004   KM7W          599 019
QSO: 14049 CW 2018-05-26 0006 DJ2QV         599 0005   KO7SS         599 004
QSO: 14051 CW 2018-05-26 0007 DJ2QV         599 0006   KJ5Y          599 004
QSO: 14053 CW 2018-05-26 0008 DJ2QV         599 0007   NN5J          599 026
QSO: 14054 CW 2018-05-26 0010 DJ2QV         599 0008   NG3R          599 018
QSO: 14055 CW 2018-05-26 0010 DJ2QV         599 0009   N4WW          599 020
QSO: 14056 CW 2018-05-26 0011 DJ2QV         599 0010   K1BX          599 020
QSO: 14062 CW 2018-05-26 0014 DJ2QV         599 0011   N3AM          599 024
QSO: 14062 CW 2018-05-26 0014 DJ2QV         599 0012   K3MD          599 036
QSO: 14066 CW 2018-05-26 0017 DJ2QV         599 0013   4M1K          599 026
QSO: 14066 CW 2018-05-26 0018 DJ2QV         599 0014   VE3DZ         599 031
QSO: 14057 CW 2018-05-26 0020 DJ2QV         599 0015   HA3DX         599 014
QSO: 14055 CW 2018-05-26 0021 DJ2QV         599 0016   ZF2DO         599 020
QSO: 14052 CW 2018-05-26 0022 DJ2QV         599 0017   W9SN          599 041
QSO: 14049 CW 2018-05-26 0023 DJ2QV         599 0018   KU2M          599 037
QSO: 14049 CW 2018-05-26 0023 DJ2QV         599 0019   WB4TDH        599 029
QSO: 14047 CW 2018-05-26 0024 DJ2QV         599 0020   K2PLF         599 011
QSO: 14046 CW 2018-05-26 0026 DJ2QV         599 0021   VE3MIS        599 043
QSO: 14044 CW 2018-05-26 0027 DJ2QV         599 0022   HQ9X          599 072
QSO: 14041 CW 2018-05-26 0029 DJ2QV         599 0023   KF3DI         599 041
QSO: 14040 CW 2018-05-26 0029 DJ2QV         599 0024   K3WU          599 039
QSO: 14034 CW 2018-05-26 0030 DJ2QV         599 0025   LZ9W          599 037
QSO: 14031 CW 2018-05-26 0032 DJ2QV         599 0026   NN3U          599 041
QSO: 14027 CW 2018-05-26 0033 DJ2QV         599 0027   YT5A          599 050
QSO: 14026 CW 2018-05-26 0034 DJ2QV         599 0028   HA8M          599 023
QSO: 14025 CW 2018-05-26 0035 DJ2QV         599 0029   E70T          599 062
QSO: 14021 CW 2018-05-26 0036 DJ2QV         599 0030   9A5D          599 057
QSO: 14020 CW 2018-05-26 0037 DJ2QV         599 0031   VC3J          599 076
QSO: 14016 CW 2018-05-26 0039 DJ2QV         599 0032   YT3X          599 057
QSO: 14010 CW 2018-05-26 0043 DJ2QV         599 0033   E77A          599 108
QSO: 14001 CW 2018-05-26 0045 DJ2QV         599 0034   K5KG          599 096
QSO: 14005 CW 2018-05-26 0046 DJ2QV         599 0035   W1QK          599 057
QSO: 14033 CW 2018-05-26 0049 DJ2QV         599 0036   HG1S          599 057
QSO: 14038 CW 2018-05-26 0049 DJ2QV         599 0037   K3RA          599 073
QSO:  7022 CW 2018-05-26 0052 DJ2QV         599 0038   N3RS          599 116
QSO:  7023 CW 2018-05-26 0052 DJ2QV         599 0039   RA3CW         599 101
QSO:  7023 CW 2018-05-26 0053 DJ2QV         599 0040   UW5U          599 055
QSO:  7024 CW 2018-05-26 0054 DJ2QV         599 0041   AB3CX         599 109
QSO:  7024 CW 2018-05-26 0054 DJ2QV         599 0042   NY4A          599 139
QSO:  7026 CW 2018-05-26 0055 DJ2QV         599 0043   EC2DX         599 092
QSO:  7026 CW 2018-05-26 0056 DJ2QV         599 0044   KJ4QHL        599 059
QSO:  7026 CW 2018-05-26 0057 DJ2QV         599 0045   NQ2F          599 109
QSO:  7027 CW 2018-05-26 0058 DJ2QV         599 0046   W3YQ          599 049
QSO:  7030 CW 2018-05-26 0101 DJ2QV         599 0047   ER4A          599 169
QSO:  7030 CW 2018-05-26 0101 DJ2QV         599 0048   EF8R          599 119
QSO:  7033 CW 2018-05-26 0102 DJ2QV         599 0049   YT4W          599 091
QSO:  7034 CW 2018-05-26 0103 DJ2QV         599 0050   LZ9W          599 115
QSO:  7034 CW 2018-05-26 0103 DJ2QV         599 0051   EN4U          599 114
QSO:  7035 CW 2018-05-26 0104 DJ2QV         599 0052   EF5Y          599 107
QSO:  7036 CW 2018-05-26 0104 DJ2QV         599 0053   VE3UTT        599 085
QSO:  7037 CW 2018-05-26 0105 DJ2QV         599 0054   VC2A          599 108
QSO:  7038 CW 2018-05-26 0106 DJ2QV         599 0055   UA4M          599 132
QSO:  7039 CW 2018-05-26 0107 DJ2QV         599 0056   WO4O          599 104
QSO:  7041 CW 2018-05-26 0109 DJ2QV         599 0057   PJ2T          599 131
QSO:  7042 CW 2018-05-26 0110 DJ2QV         599 0058   HG5D          599 097
QSO:  7042 CW 2018-05-26 0110 DJ2QV         599 0059   CR3W          599 115
QSO:  7044 CW 2018-05-26 0111 DJ2QV         599 0060   K3ZO          599 148
QSO:  7045 CW 2018-05-26 0112 DJ2QV         599 0061   UF1F          599 193
QSO:  7048 CW 2018-05-26 0113 DJ2QV         599 0062   SZ1A          599 114
QSO:  7049 CW 2018-05-26 0115 DJ2QV         599 0063   EC5CR         599 098
QSO:  7049 CW 2018-05-26 0119 DJ2QV         599 0064   KA1IS         599 067
QSO:  7049 CW 2018-05-26 0120 DJ2QV         599 0065   Z37M          599 095
QSO:  7051 CW 2018-05-26 0122 DJ2QV         599 0066   4L0A          599 158
QSO:  7052 CW 2018-05-26 0123 DJ2QV         599 0067   WK1Q          599 130
QSO:  7053 CW 2018-05-26 0126 DJ2QV         599 0068   YV8AD         599 139
QSO:  7055 CW 2018-05-26 0126 DJ2QV         599 0069   R4IO          599 093
QSO:  7058 CW 2018-05-26 0127 DJ2QV         599 0070   PZ5XX         599 139
QSO:  7060 CW 2018-05-26 0128 DJ2QV         599 0071   ES7A          599 147
QSO:  7065 CW 2018-05-26 0129 DJ2QV         599 0072   4J4K          599 042
QSO:  7067 CW 2018-05-26 0131 DJ2QV         599 0073   KB1EFS        599 095
QSO:  7068 CW 2018-05-26 0131 DJ2QV         599 0074   VY2TT         599 219
QSO:  7070 CW 2018-05-26 0132 DJ2QV         599 0075   EA5CP         599 014
QSO:  7057 CW 2018-05-26 0133 DJ2QV         599 0076   RK3AW         599 125
QSO:  7052 CW 2018-05-26 0134 DJ2QV         599 0077   ES2MC         599 121
QSO:  7045 CW 2018-05-26 0135 DJ2QV         599 0078   YU0A          599 082
QSO:  7044 CW 2018-05-26 0135 DJ2QV         599 0079   OG60F         599 160
QSO:  7043 CW 2018-05-26 0136 DJ2QV         599 0080   NW7R          599 185
QSO:  7042 CW 2018-05-26 0137 DJ2QV         599 0081   AA3B          599 254
QSO:  7040 CW 2018-05-26 0139 DJ2QV         599 0082   3V8SS         599 070
QSO:  7038 CW 2018-05-26 0140 DJ2QV         599 0083   4X6FR         599 117
QSO:  7038 CW 2018-05-26 0141 DJ2QV         599 0084   YR9F          599 129
QSO:  7036 CW 2018-05-26 0142 DJ2QV         599 0085   NU5A          599 258
QSO:  7033 CW 2018-05-26 0143 DJ2QV         599 0086   4U29MAY       599 115
QSO:  7030 CW 2018-05-26 0144 DJ2QV         599 0087   9A3SMS        599 060
QSO:  7029 CW 2018-05-26 0145 DJ2QV         599 0088   TI7W          599 161
QSO:  7029 CW 2018-05-26 0146 DJ2QV         599 0089   UW2M          599 279
QSO:  7027 CW 2018-05-26 0147 DJ2QV         599 0090   UW1M          599 201
