START-OF-LOG: 3.0
CALLSIGN: VE5FOC
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 20M
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: SUMMER HARTZFELD
LOCATION: SK
OPERATORS: VE5SDH
CLUB:
CERTIFICATE: YES
CREATED-BY: MANUALLY GENERATED
SOAPBOX: condx could have been better but still fun 73 Summer
QSO: 14028 CW 2018-05-26 0007  VE5FOC 599 1 NU5A 599 19
QSO: 14031 CW 2018-05-26 0020  VE5FOC 599 2 K5FOC 599 20
QSO: 14031 CW 2018-05-26 0021  VE5FOC 599 3 KE0UI 599 13
QSO: 14031 CW 2018-05-26 0022  VE5FOC 599 4 VP5M 599 11
QSO: 14032 CW 2018-05-26 0023  VE5FOC 599 5 N3BB 599 53
QSO: 14034 CW 2018-05-26 0024  VE5FOC 599 6 CR3W  599 65
QSO: 14037 CW 2018-05-26 0029  VE5FOC 599 7 OG7A 599 74
QSO: 14040 CW 2018-05-26 0031  VE5FOC 599 8 KN7K 599 29
QSO: 14041 CW 2018-05-26 0032  VE5FOC 599 9 KF3DI 599 47
QSO: 14041 CW 2018-05-26 0035  VE5FOC 599 10 AA4AQ 599 73
QSO: 14042 CW 2018-05-26 0037  VE5FOC 599 11 KU1CW 599 56
QSO: 14043 CW 2018-05-26 0038  VE5FOC 599 12 W5FOC 599 37
QSO: 14044 CW 2018-05-26 0040  VE5FOC 599 13 OG60F 599 69
QSO: 14044 CW 2018-05-26 0045  VE5FOC 599 14 HQ9X 599 117
QSO: 14045 CW 2018-05-26 0051  VE5FOC 599 15 EU6AF 599 63
QSO: 14046 CW 2018-05-26 0053  VE5FOC 599 16 VE3MIS 599 82
QSO: 14047 CW 2018-05-26 0054  VE5FOC 599 17 8P5A 599 159
QSO: 14048 CW 2018-05-26 0055  VE5FOC 599 18 AK5X 599 62
QSO: 14049 CW 2018-05-26 0056  VE5FOC 599 19 KU2M 599 101
QSO: 14052 CW 2018-05-26 0058  VE5FOC 599 20 N0AT 599 105
QSO: 14058 CW 2018-05-26 0113  VE5FOC 599 21 NN4GG 599 113
QSO: 14062 CW 2018-05-26 0121  VE5FOC 599 22 WI0WA 599 66
QSO: 14064 CW 2018-05-26 0123  VE5FOC 599 23 KT3M 599 118
QSO: 14064 CW 2018-05-26 0125  VE5FOC 599 24 AL1G 599 92
QSO: 14065 CW 2018-05-26 0126  VE5FOC 599 25 UA9LDD 599 74
QSO: 14066 CW 2018-05-26 0130  VE5FOC 599 26  4M1K 599 130
QSO: 14005 CW 2018-05-26 0132  VE5FOC 599 27 KM9P 599 204
QSO: 14006 CW 2018-05-26 0134  VE5FOC 599 28 WW4R 599 221
QSO: 14006 CW 2018-05-26 0135  VE5FOC 599 29 NR4M 599 177
QSO: 14007 CW 2018-05-26 0137  VE5FOC 599 30  KN7NV 599 205
QSO: 14008 CW 2018-05-26 0137  VE5FOC 599 31 N5RZ 599 208
QSO: 14013 CW 2018-05-26 0143  VE5FOC 599 32 N2MM 599 184
QSO: 14014 CW 2018-05-26 0144  VE5FOC 599 33 K9CT 599 228
QSO: 14016 CW 2018-05-26 0148  VE5FOC 599 34 6Y6N 599 299
QSO: 14017 CW 2018-05-26 0149  VE5FOC 599 35 K3WW 599 282
QSO: 14017 CW 2018-05-26 0149  VE5FOC 599 36 K0TQ 599 67
QSO: 14018 CW 2018-05-26 0151  VE5FOC 599 37 K2PLF 599 103
QSO: 14020 CW 2018-05-26 0152  VE5FOC 599 38 N0AV 599 151
QSO: 14024 CW 2018-05-26 0154  VE5FOC 599 39 K9CC 599 167
QSO: 14025 CW 2018-05-26 0156  VE5FOC 599 40 OH8X 599 238
QSO: 14026 CW 2018-05-26 0308  VE5FOC 599 41 W6YA 599 59
QSO: 14027 CW 2018-05-26 0312  VE5FOC 599 42 LY5E 599 270
QSO: 14027 CW 2018-05-26 0313  VE5FOC 599 43 KE1B 599 152
