START-OF-LOG: 3.0
CONTEST: CQ-WPX-CW
CALLSIGN: OE1XTU
LOCATION: DX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: JN88EE
CLAIMED-SCORE: 62037
NAME: Radio Amateur Club of the TU Wien
OPERATORS: OE1TKW OE1OMA OE1VMC OE1BQH
CREATED-BY: N1MM Logger+ 1.0.8418.0
SOAPBOX: RIG YAESU FTDX-5000
SOAPBOX: ANT Inverted-V for 40m
SOAPBOX: ANT SteppIR DB-36 Yagi at 40m AGL and 213m ASL
QSO:  7002 CW 2020-05-31 0512 OE1XTU        599 0001   UX1UX         599 1093   0
QSO:  7001 CW 2020-05-31 0527 OE1XTU        599 0002   R2AA          599 3376   0
QSO:  7003 CW 2020-05-31 0531 OE1XTU        599 0003   LY2K          599 1265   0
QSO:  7005 CW 2020-05-31 0534 OE1XTU        599 0004   LY9A          599 1704   0
QSO:  7007 CW 2020-05-31 0541 OE1XTU        599 0005   EA3X          599 0736   0
QSO:  7007 CW 2020-05-31 0547 OE1XTU        599 0006   ED5R          599 1529   0
QSO:  7005 CW 2020-05-31 0550 OE1XTU        599 0007   9A7T          599 1503   0
QSO:  7010 CW 2020-05-31 0552 OE1XTU        599 0008   S51YI         599 1739   0
QSO:  7011 CW 2020-05-31 0557 OE1XTU        599 0009   LZ1EV         599 1041   0
QSO:  7018 CW 2020-05-31 0602 OE1XTU        599 0010   DK8ZZ         599 1358   0
QSO:  7020 CW 2020-05-31 0603 OE1XTU        599 0011   E74A          599 0331   0
QSO:  7022 CW 2020-05-31 0606 OE1XTU        599 0012   DK2DQ         599 0496   0
QSO:  7024 CW 2020-05-31 0611 OE1XTU        599 0013   MI5I          599 1198   0
QSO:  7025 CW 2020-05-31 0620 OE1XTU        599 0014   OZ7A          599 2735   0
QSO:  7026 CW 2020-05-31 0624 OE1XTU        599 0015   OO9O          599 0705   0
QSO:  7027 CW 2020-05-31 0625 OE1XTU        599 0016   E74X          599 0676   0
QSO:  7027 CW 2020-05-31 0627 OE1XTU        599 0017   DF9GR         599 1233   0
QSO:  7028 CW 2020-05-31 0629 OE1XTU        599 0018   OU2V          599 0716   0
QSO:  7029 CW 2020-05-31 0633 OE1XTU        599 0019   YL4U          599 1193   0
QSO:  7029 CW 2020-05-31 0636 OE1XTU        599 0020   F6UGW         599 0127   0
QSO:  7033 CW 2020-05-31 0642 OE1XTU        599 0021   HF1J          599 0472   0
QSO:  7033 CW 2020-05-31 0644 OE1XTU        599 0022   DA0DX         599 0309   0
QSO:  7034 CW 2020-05-31 0646 OE1XTU        599 0023   HG6N          599 3553   0
QSO:  7036 CW 2020-05-31 0704 OE1XTU        599 0024   PA75PKZ       599 0782   0
QSO:  7037 CW 2020-05-31 0708 OE1XTU        599 0025   DJ1YFK        599 0610   0
QSO:  7039 CW 2020-05-31 0713 OE1XTU        599 0026   DD2CW         599 0590   0
QSO:  7041 CW 2020-05-31 0718 OE1XTU        599 0027   UT4U          599 1427   0
QSO:  7041 CW 2020-05-31 0721 OE1XTU        599 0028   OH0V          599 2347   0
QSO:  7043 CW 2020-05-31 0723 OE1XTU        599 0029   LZ9W          599 1746   0
QSO:  7045 CW 2020-05-31 0728 OE1XTU        599 0030   YO2LEA        599 0450   0
QSO:  7046 CW 2020-05-31 0732 OE1XTU        599 0031   IK3OBX        599 0048   0
QSO: 14002 CW 2020-05-31 0736 OE1XTU        599 0032   RK7A          599 2250   0
QSO: 14003 CW 2020-05-31 0738 OE1XTU        599 0033   EF8R          599 2342   0
QSO: 14004 CW 2020-05-31 0743 OE1XTU        599 0034   GD5F          599 0413   0
QSO: 14005 CW 2020-05-31 0750 OE1XTU        599 0035   EW8W          599 1398   0
QSO: 14007 CW 2020-05-31 0756 OE1XTU        599 0036   EE2E          599 0170   0
QSO: 14008 CW 2020-05-31 0759 OE1XTU        599 0037   IW5EDI        599 0251   0
QSO: 14010 CW 2020-05-31 0812 OE1XTU        599 0038   RM2D          599 1188   0
QSO: 14012 CW 2020-05-31 0815 OE1XTU        599 0039   LA7GIA        599 1420   0
QSO: 14012 CW 2020-05-31 0820 OE1XTU        599 0040   EV1R          599 1992   0
QSO: 14015 CW 2020-05-31 0824 OE1XTU        599 0041   RA5G          599 4003   0
QSO: 14016 CW 2020-05-31 0828 OE1XTU        599 0042   DA2C          599 2287   0
QSO: 14017 CW 2020-05-31 0832 OE1XTU        599 0043   EO3Q          599 0677   0
QSO: 14022 CW 2020-05-31 0842 OE1XTU        599 0044   YR8D          599 1375   0
QSO: 14023 CW 2020-05-31 0850 OE1XTU        599 0045   LZ50BFRA      599 0607   0
QSO: 14025 CW 2020-05-31 0853 OE1XTU        599 0046   ON6NL         599 1408   0
QSO: 14028 CW 2020-05-31 0902 OE1XTU        599 0047   OP4K          599 1146   0
QSO: 14031 CW 2020-05-31 0906 OE1XTU        599 0048   4L8A          599 1743   0
QSO: 14032 CW 2020-05-31 0908 OE1XTU        599 0049   IT9LKX        599 0153   0
QSO: 14027 CW 2020-05-31 0914 OE1XTU        599 0050   DM3M          599 0898   0
QSO: 14029 CW 2020-05-31 0920 OE1XTU        599 0051   SC0N          599 1696   0
QSO: 14029 CW 2020-05-31 0921 OE1XTU        599 0052   SP8R          599 3187   0
QSO: 14026 CW 2020-05-31 0932 OE1XTU        599 0053   SF1Z          599 0919   0
QSO: 14026 CW 2020-05-31 0934 OE1XTU        599 0054   RY3D          599 1615   0
QSO: 14034 CW 2020-05-31 0937 OE1XTU        599 0055   C4W           599 1806   0
QSO: 14036 CW 2020-05-31 0952 OE1XTU        599 0056   MW6M          599 0845   0
QSO: 14038 CW 2020-05-31 0958 OE1XTU        599 0057   RA6CA         599 0785   0
QSO: 14042 CW 2020-05-31 1001 OE1XTU        599 0058   RK3LC         599 0100   0
QSO: 14010 CW 2020-05-31 1007 OE1XTU        599 0059   LX20I         599 1710   0
QSO: 14018 CW 2020-05-31 1008 OE1XTU        599 0060   DK5TRI        599 0417   0
QSO: 14015 CW 2020-05-31 1009 OE1XTU        599 0061   UA1F          599 0343   0
QSO: 14006 CW 2020-05-31 1011 OE1XTU        599 0062   R8TT          599 1673   0
QSO: 14027 CW 2020-05-31 1012 OE1XTU        599 0063   D4Z           599 2027   0
QSO: 14004 CW 2020-05-31 1015 OE1XTU        599 0064   RG9A          599 2198   0
QSO: 14008 CW 2020-05-31 1019 OE1XTU        599 0065   OH8X          599 2329   0
QSO: 14047 CW 2020-05-31 1023 OE1XTU        599 0066   LZ9W          599 2476   0
QSO: 14010 CW 2020-05-31 1032 OE1XTU        599 0067   S50K          599 2039   0
QSO: 14068 CW 2020-05-31 1034 OE1XTU        599 0068   DR7T          599 1104   0
QSO: 14002 CW 2020-05-31 1037 OE1XTU        599 0069   AK1W          599 3028   0
QSO: 14007 CW 2020-05-31 1045 OE1XTU        599 0070   WC1M          599 2063   0
QSO: 14052 CW 2020-05-31 1047 OE1XTU        599 0071   9K2NO         599 0832   0
QSO: 14034 CW 2020-05-31 1049 OE1XTU        599 0072   YU5M          599 0954   0
QSO: 14050 CW 2020-05-31 1050 OE1XTU        599 0073   P33W          599 3679   0
QSO: 14050 CW 2020-05-31 1053 OE1XTU        599 0074   YL2VW         599 1533   0
QSO: 14052 CW 2020-05-31 1054 OE1XTU        599 0075   UP2L          599 4134   0
QSO: 14055 CW 2020-05-31 1056 OE1XTU        599 0076   RJ9M          599 0001   0
QSO: 14069 CW 2020-05-31 1058 OE1XTU        599 0077   OH9S          599 0730   0
QSO: 28032 CW 2020-05-31 1117 OE1XTU        599 0078   LZ50BFRA      599 0771   0
QSO: 28025 CW 2020-05-31 1118 OE1XTU        599 0079   DL1NEO        599 1211   0
