START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.104 beta
CALLSIGN: UN6T
CONTEST: CQ-WW-CW
CLAIMED-SCORE: 606033
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
LOCATION: T-11
NAME: Vladimir I.Ovchinnikov
CATEGORY-ASSISTED: ASSISTED
QSO: 14015 CW 2009-11-28 0740 UN6T          599 17     YR8B          599 20
QSO: 14014 CW 2009-11-28 0746 UN6T          599 17     OZ5E          599 14
QSO: 14012 CW 2009-11-28 0747 UN6T          599 17     DP7A          599 14
QSO: 14012 CW 2009-11-28 0748 UN6T          599 17     YT2W          599 15
QSO: 14009 CW 2009-11-28 0801 UN6T          599 17     9A1AA         599 15
QSO: 14006 CW 2009-11-28 0803 UN6T          599 17     DR4A          599 14
QSO: 14004 CW 2009-11-28 0804 UN6T          599 17     DP9A          599 14
QSO: 14002 CW 2009-11-28 0805 UN6T          599 17     OH7M          599 15
QSO: 14001 CW 2009-11-28 0806 UN6T          599 17     OH5Z          599 15
QSO: 14001 CW 2009-11-28 0807 UN6T          599 17     OH4A          599 15
QSO: 14005 CW 2009-11-28 0809 UN6T          599 17     S50A          599 15
QSO: 14007 CW 2009-11-28 0813 UN6T          599 17     RD3BW         599 16
QSO: 14007 CW 2009-11-28 0814 UN6T          599 17     RK4FWX        599 16
QSO: 14010 CW 2009-11-28 0816 UN6T          599 17     OM7M          599 15
QSO: 14015 CW 2009-11-28 0817 UN6T          599 17     HG7T          599 15
QSO: 14018 CW 2009-11-28 0818 UN6T          599 17     HA8JV         599 15
QSO: 14018 CW 2009-11-28 0819 UN6T          599 17     YL4U          599 15
QSO: 14019 CW 2009-11-28 0819 UN6T          599 17     LN9Z          599 14
QSO: 14020 CW 2009-11-28 0821 UN6T          599 17     IR9Y          599 15
QSO: 14022 CW 2009-11-28 0821 UN6T          599 17     LY6A          599 15
QSO: 14023 CW 2009-11-28 0822 UN6T          599 17     S51TA         599 15
QSO: 14024 CW 2009-11-28 0822 UN6T          599 17     ES5TV         599 15
QSO: 14024 CW 2009-11-28 0823 UN6T          599 17     UZ2M          599 16
QSO: 14026 CW 2009-11-28 0824 UN6T          599 17     DR1A          599 14
QSO: 14031 CW 2009-11-28 0828 UN6T          599 17     SO8A          599 15
