START-OF-LOG: 3.0
CONTEST: EA-RTTY
CALLSIGN: DL0ESA
CATEGORY: SINGLE-OP ALL LOW
CATEGORY-BAND: ALL
CATEGORY-MODE: RTTY
CATEGORY-POWER: 
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
CLAIMED-SCORE: 79560
CREATED-BY: UcxLog 7.84
OPERATORS: EA1HEO
NAME: ESOC Radioclub - Op. EA1HEO (J.Roldan)
SOAPBOX: Gracias a la organizacion. Saludos para todos desde Alemania.  
QSO: 14080 RY 2018-04-07 1913 DL0ESA        599 001    EA8PT         599 GC
QSO: 14083 RY 2018-04-07 1924 DL0ESA        599 002    EA7CP         599 AL
QSO: 14083 RY 2018-04-07 1925 DL0ESA        599 003    EA7DUT        599 CO
QSO: 14083 RY 2018-04-07 1932 DL0ESA        599 004    EA7CIX        599 MA
QSO: 14081 RY 2018-04-07 1946 DL0ESA        599 005    EA7HS         599 CO
QSO: 14082 RY 2018-04-07 1952 DL0ESA        599 006    EA7KI         599 MA
QSO: 14078 RY 2018-04-07 1955 DL0ESA        599 007    CT7AJL        599 174
QSO: 14079 RY 2018-04-07 1957 DL0ESA        599 008    EF1Z          599 CA
QSO: 14082 RY 2018-04-07 2021 DL0ESA        599 009    KS0CW         599 012
QSO: 14082 RY 2018-04-07 2022 DL0ESA        599 010    K0CF          599 018
QSO: 14082 RY 2018-04-07 2023 DL0ESA        599 011    EF5T          599 MU
QSO: 14082 RY 2018-04-07 2024 DL0ESA        599 012    WK4Y          599 022
QSO: 14084 RY 2018-04-07 2047 DL0ESA        599 013    W3FIZ         599 122
QSO: 14086 RY 2018-04-07 2057 DL0ESA        599 014    NE3H          599 054
QSO: 14086 RY 2018-04-07 2058 DL0ESA        599 015    W4UK          599 067
QSO: 14086 RY 2018-04-07 2101 DL0ESA        599 016    K6DTT/2       599 050
QSO: 14088 RY 2018-04-07 2108 DL0ESA        599 017    N1IXF         599 140
QSO:  7042 RY 2018-04-07 2110 DL0ESA        599 018    CT7AJL        599 233
QSO:  7042 RY 2018-04-07 2112 DL0ESA        599 019    EB3CW         599 B
QSO:  7042 RY 2018-04-07 2113 DL0ESA        599 020    UA6CE         599 231
QSO:  7044 RY 2018-04-07 2114 DL0ESA        599 021    EA1SI         599 O
QSO:  7044 RY 2018-04-07 2115 DL0ESA        599 022    EA5XC         599 A
QSO:  7044 RY 2018-04-07 2116 DL0ESA        599 023    EA3GOM        599 B
QSO:  7044 RY 2018-04-07 2116 DL0ESA        599 024    EA1CH         599 OU
QSO:  7046 RY 2018-04-07 2118 DL0ESA        599 025    EA1GT/QRP     599 C
QSO:  7046 RY 2018-04-07 2119 DL0ESA        599 026    9A1RBZ        599 222
QSO:  7046 RY 2018-04-07 2121 DL0ESA        599 027    EA4URE        599 HQ
QSO:  7046 RY 2018-04-07 2125 DL0ESA        599 028    EA5RW         599 V
QSO:  7046 RY 2018-04-07 2127 DL0ESA        599 029    R3WA          599 026
QSO:  7046 RY 2018-04-07 2128 DL0ESA        599 030    EF1A          599 C
QSO:  7049 RY 2018-04-07 2129 DL0ESA        599 031    IZ7FLP        599 199
QSO:  7049 RY 2018-04-07 2129 DL0ESA        599 032    ED1LO         599 LO
QSO:  7049 RY 2018-04-07 2130 DL0ESA        599 033    UA9TO         599 120
QSO:  7049 RY 2018-04-07 2135 DL0ESA        599 034    EA5IHK        599 A
QSO:  7051 RY 2018-04-07 2136 DL0ESA        599 035    EA2XR         599 BI
QSO:  7051 RY 2018-04-07 2138 DL0ESA        599 036    EA4AGI        599 M
QSO:  7051 RY 2018-04-07 2139 DL0ESA        599 037    EA1ACP        599 SO
QSO:  7051 RY 2018-04-07 2140 DL0ESA        599 038    W3LL          599 184
QSO:  7054 RY 2018-04-07 2144 DL0ESA        599 039    RG5R          599 199
QSO:  7056 RY 2018-04-07 2148 DL0ESA        599 040    US1VS         599 090
QSO:  7056 RY 2018-04-07 2149 DL0ESA        599 041    EA1BAF        599 OU
QSO:  7056 RY 2018-04-07 2149 DL0ESA        599 042    YO4FPF        599 142
QSO:  7057 RY 2018-04-07 2153 DL0ESA        599 043    EU8F          599 032
QSO:  7057 RY 2018-04-07 2155 DL0ESA        599 044    OH8WW         599 273
QSO:  7059 RY 2018-04-07 2156 DL0ESA        599 045    NU1T          599 049
QSO:  7060 RY 2018-04-07 2159 DL0ESA        599 046    RG9A          599 384
QSO:  7061 RY 2018-04-07 2201 DL0ESA        599 047    N3QE          599 48
QSO:  3583 RY 2018-04-07 2209 DL0ESA        599 048    UT3N          599 144
QSO:  3583 RY 2018-04-07 2209 DL0ESA        599 049    EC7AT         599 AL
QSO:  3583 RY 2018-04-07 2211 DL0ESA        599 050    F5BEG         599 149
QSO:  3583 RY 2018-04-07 2211 DL0ESA        599 051    I5MXX         599 120
QSO:  3580 RY 2018-04-07 2212 DL0ESA        599 052    YO9BCM        599 109
QSO:  3585 RY 2018-04-07 2214 DL0ESA        599 053    DL1RI         599 048
QSO:  3585 RY 2018-04-07 2215 DL0ESA        599 054    LB1AH         599 224
QSO:  3585 RY 2018-04-07 2217 DL0ESA        599 055    CT7AJL        599 274
QSO:  3586 RY 2018-04-07 2218 DL0ESA        599 056    YU7KMN        599 159
QSO:  3587 RY 2018-04-07 2220 DL0ESA        599 057    S57SWR        599 100
QSO:  3587 RY 2018-04-07 2221 DL0ESA        599 058    EF1A          599 C
QSO:  3587 RY 2018-04-07 2222 DL0ESA        599 059    IZ7FLP        599 227
QSO:  3588 RY 2018-04-07 2224 DL0ESA        599 060    UT5EPP        599 254
QSO:  3588 RY 2018-04-07 2225 DL0ESA        599 061    RA3NC         599 093
QSO:  3589 RY 2018-04-07 2228 DL0ESA        599 062    EA3EZD        599 B
QSO:  3589 RY 2018-04-07 2228 DL0ESA        599 063    EA1AKS        599 S
QSO:  3589 RY 2018-04-07 2230 DL0ESA        599 064    RA3Y          599 138
QSO:  3591 RY 2018-04-07 2232 DL0ESA        599 065    EA1EXE        599 O
QSO:  3591 RY 2018-04-07 2234 DL0ESA        599 066    HA8WY         599 120
QSO:  3591 RY 2018-04-07 2235 DL0ESA        599 067    SQ7SAU        599 121
QSO:  3591 RY 2018-04-07 2236 DL0ESA        599 068    9A1RBZ        599 186
QSO:  3591 RY 2018-04-07 2237 DL0ESA        599 069    UX7QV         599 157
QSO:  3593 RY 2018-04-07 2238 DL0ESA        599 070    G0HDV         599 181
QSO:  3593 RY 2018-04-07 2239 DL0ESA        599 071    EE4A          599 TO
QSO:  3593 RY 2018-04-07 2240 DL0ESA        599 072    SQ6PLE        599 131
QSO:  3595 RY 2018-04-07 2242 DL0ESA        599 073    ED9E          599 CE
QSO:  3595 RY 2018-04-07 2246 DL0ESA        599 074    EA4DB         599 M
QSO:  3597 RY 2018-04-07 2247 DL0ESA        599 075    EA4URE        599 HQ
QSO:  3597 RY 2018-04-07 2249 DL0ESA        599 076    EA1BAF        599 OU
QSO:  3597 RY 2018-04-07 2250 DL0ESA        599 077    EE2W          599 BI
QSO:  3599 RY 2018-04-07 2252 DL0ESA        599 078    EA2XR         599 BI
QSO:  3599 RY 2018-04-07 2256 DL0ESA        599 079    YO9HP         599 355
QSO:  3600 RY 2018-04-07 2259 DL0ESA        599 080    IK6XEJ        599 124
QSO:  3601 RY 2018-04-07 2301 DL0ESA        599 081    CT1BXT        599 134
QSO:  3582 RY 2018-04-07 2302 DL0ESA        599 082    EW7BA         599 150
QSO:  3582 RY 2018-04-07 2303 DL0ESA        599 083    S58K          599 472
QSO:  3582 RY 2018-04-07 2304 DL0ESA        599 084    OH9UFO        599 065
QSO:  3584 RY 2018-04-07 2305 DL0ESA        599 085    HA6NL         599 112
QSO:  3584 RY 2018-04-07 2306 DL0ESA        599 086    YU7KMN        599 184
QSO:  3584 RY 2018-04-07 2307 DL0ESA        599 087    YO4NF         599 203
QSO:  3585 RY 2018-04-07 2308 DL0ESA        599 088    IZ4UFB        599 026
QSO:  3586 RY 2018-04-07 2309 DL0ESA        599 089    OK2HBR        599 125
QSO:  3586 RY 2018-04-07 2313 DL0ESA        599 090    EA4GOY        599 TO
QSO:  3588 RY 2018-04-07 2315 DL0ESA        599 091    IK2SBB        599 166
QSO:  3595 RY 2018-04-07 2320 DL0ESA        599 092    EA5EN         599 MU
QSO:  3596 RY 2018-04-07 2326 DL0ESA        599 093    IK1BPL        599 073
QSO:  3596 RY 2018-04-07 2329 DL0ESA        599 094    EB1RL         599 BU
QSO:  3596 RY 2018-04-07 2330 DL0ESA        599 095    IK2PZC        599 196
QSO:  3596 RY 2018-04-07 2331 DL0ESA        599 096    OZ1AOO        599 071
QSO:  3596 RY 2018-04-07 2336 DL0ESA        599 097    RG9A          599 457
QSO:  3596 RY 2018-04-07 2336 DL0ESA        599 098    EM0I          599 399
QSO:  3596 RY 2018-04-07 2339 DL0ESA        599 099    EI3JE         599 289
QSO:  3596 RY 2018-04-07 2341 DL0ESA        599 100    SM2BJS        599 030
QSO:  3596 RY 2018-04-07 2342 DL0ESA        599 101    5P9X          599 135
QSO:  3596 RY 2018-04-07 2343 DL0ESA        599 102    EA2CW         599 BI
QSO:  3596 RY 2018-04-07 2343 DL0ESA        599 103    EE1I          599 LE
QSO:  3596 RY 2018-04-07 2344 DL0ESA        599 104    G1XKZ         599 188
QSO:  3596 RY 2018-04-07 2346 DL0ESA        599 105    EA2BNU        599 SS
QSO:  3596 RY 2018-04-07 2347 DL0ESA        599 106    DG9BEO        599 020
QSO:  3596 RY 2018-04-07 2347 DL0ESA        599 107    G4CXQ         599 070
QSO:  3596 RY 2018-04-07 2351 DL0ESA        599 108    OH3GLY        599 035
QSO:  7051 RY 2018-04-08 0000 DL0ESA        599 109    W3FIZ         599 198
QSO:  7062 RY 2018-04-08 0004 DL0ESA        599 110    VA2QR         599 148
QSO:  7062 RY 2018-04-08 0006 DL0ESA        599 111    W4UK          599 108
QSO:  7062 RY 2018-04-08 0011 DL0ESA        599 112    KC4SAW        599 109
QSO:  7055 RY 2018-04-08 0021 DL0ESA        599 113    ED9E          599 CE
QSO:  7054 RY 2018-04-08 0023 DL0ESA        599 114    CO2RQ         599 47
QSO:  7047 RY 2018-04-08 0032 DL0ESA        599 115    N8OO/5        599 325
QSO:  7045 RY 2018-04-08 0035 DL0ESA        599 116    UN8PA         599 072
QSO:  7046 RY 2018-04-08 0046 DL0ESA        599 117    K7OM          599 130
QSO:  7068 RY 2018-04-08 0054 DL0ESA        599 118    YV5KAJ        599 070
QSO:  7043 RY 2018-04-08 0710 DL0ESA        599 119    UR5ZGY        599 148
QSO:  7042 RY 2018-04-08 0719 DL0ESA        599 120    EM0I          599 584
QSO:  7042 RY 2018-04-08 0722 DL0ESA        599 121    EA4HAM        599 M
QSO:  7044 RY 2018-04-08 0723 DL0ESA        599 122    S58K          599 665
QSO:  7046 RY 2018-04-08 0724 DL0ESA        599 123    9A1RBZ        599 383
QSO:  7046 RY 2018-04-08 0725 DL0ESA        599 124    EA4FVG        599 M
QSO:  7047 RY 2018-04-08 0728 DL0ESA        599 125    OH2LNH        599 064
QSO:  7047 RY 2018-04-08 0730 DL0ESA        599 126    US7KC         599 212
QSO:  7049 RY 2018-04-08 0732 DL0ESA        599 127    F4FDR         599 177
QSO:  7049 RY 2018-04-08 0733 DL0ESA        599 128    EA2BFM        599 BI
QSO:  7051 RY 2018-04-08 0734 DL0ESA        599 129    C31MF         599 151
QSO:  7051 RY 2018-04-08 0736 DL0ESA        599 130    EE1I          599 LE
QSO:  7051 RY 2018-04-08 0737 DL0ESA        599 131    OH2NT         599 133
QSO:  7053 RY 2018-04-08 0740 DL0ESA        599 132    LY6A          599 133
QSO:  7053 RY 2018-04-08 0741 DL0ESA        599 133    IK5TBI        599 021
QSO:  7053 RY 2018-04-08 0741 DL0ESA        599 134    EA5EN         599 MU
QSO:  7054 RY 2018-04-08 0744 DL0ESA        599 135    EB2RA         599 HU
QSO:  7054 RY 2018-04-08 0745 DL0ESA        599 136    EA2KK         599 BI
QSO:  7057 RY 2018-04-08 0748 DL0ESA        599 137    EA5ERA        599 V
QSO:  7059 RY 2018-04-08 0751 DL0ESA        599 138    EA3AH         599 LE
QSO:  7059 RY 2018-04-08 0753 DL0ESA        599 139    LB1AH         599 371
QSO:  7059 RY 2018-04-08 0755 DL0ESA        599 140    HG3FMZ        599 097
QSO:  7062 RY 2018-04-08 0757 DL0ESA        599 141    YL2KO         599 286
QSO:  7062 RY 2018-04-08 0802 DL0ESA        599 142    EA7JOY        599 SE
QSO:  7062 RY 2018-04-08 0803 DL0ESA        599 143    EA4GC         599 M
QSO:  7062 RY 2018-04-08 0803 DL0ESA        599 144    UR5FBM        599 231
QSO:  7062 RY 2018-04-08 0805 DL0ESA        599 145    SP4BPH        599 090
QSO:  7062 RY 2018-04-08 0806 DL0ESA        599 146    OM8MF         599 091
QSO:  7062 RY 2018-04-08 0806 DL0ESA        599 147    R3GZ          599 286
QSO:  7062 RY 2018-04-08 0808 DL0ESA        599 148    YO9HP         599 555
QSO:  7062 RY 2018-04-08 0810 DL0ESA        599 149    F5PVJ         599 064
QSO:  7062 RY 2018-04-08 0811 DL0ESA        599 150    IK4QJF        599 027
QSO:  7062 RY 2018-04-08 0812 DL0ESA        599 151    G4OZG         599 120
QSO:  7059 RY 2018-04-08 0814 DL0ESA        599 152    EA5HRT        599 V
QSO:  7059 RY 2018-04-08 0815 DL0ESA        599 153    EE7Y          599 H
QSO:  7056 RY 2018-04-08 0818 DL0ESA        599 154    OK2UHP        599 099
QSO:  7056 RY 2018-04-08 0820 DL0ESA        599 155    EA2KK         599 BI
QSO:  7053 RY 2018-04-08 0824 DL0ESA        599 156    EA1MV         599 LU
QSO:  7053 RY 2018-04-08 0825 DL0ESA        599 157    I3PXN         599 240
QSO:  7053 RY 2018-04-08 0828 DL0ESA        599 158    SQ6PLE        599 309
QSO:  7053 RY 2018-04-08 0829 DL0ESA        599 159    G4FPA         599 083
QSO:  7053 RY 2018-04-08 0830 DL0ESA        599 160    S52R          599 030
QSO:  7053 RY 2018-04-08 0831 DL0ESA        599 161    G4SJX         599 045
QSO:  7053 RY 2018-04-08 0831 DL0ESA        599 162    OH2PM         599 349
QSO:  7053 RY 2018-04-08 0832 DL0ESA        599 163    IK5UAN        599 223
QSO:  7050 RY 2018-04-08 0845 DL0ESA        599 164    ED1LO         599 LO
QSO:  7048 RY 2018-04-08 0847 DL0ESA        599 165    EA4BAS        599 M
QSO:  7048 RY 2018-04-08 0849 DL0ESA        599 166    EA1ACP        599 SO
QSO:  7046 RY 2018-04-08 0851 DL0ESA        599 167    F1IWH         599 086
QSO:  7045 RY 2018-04-08 0903 DL0ESA        599 168    M0ICL         599 091
QSO:  7045 RY 2018-04-08 0904 DL0ESA        599 169    DL1FCU        599 105
QSO:  7045 RY 2018-04-08 0906 DL0ESA        599 170    IN3BFW        599 169
QSO:  7045 RY 2018-04-08 0907 DL0ESA        599 171    DL7YS         599 052
QSO:  7045 RY 2018-04-08 0907 DL0ESA        599 172    9A5HZ         599 004
QSO:  7045 RY 2018-04-08 0908 DL0ESA        599 173    OK1ZE         599 085
QSO:  7045 RY 2018-04-08 0909 DL0ESA        599 174    OK2PF         599 061
QSO:  7045 RY 2018-04-08 0910 DL0ESA        599 175    I1JTQ         599 221
QSO:  7045 RY 2018-04-08 0910 DL0ESA        599 176    IK2EBP        599 001
QSO:  7045 RY 2018-04-08 0912 DL0ESA        599 177    IK1BPL        599 155
QSO:  7045 RY 2018-04-08 0913 DL0ESA        599 178    G0HDV         599 286
QSO:  7045 RY 2018-04-08 0913 DL0ESA        599 179    IK2YSJ        599 054
QSO:  7045 RY 2018-04-08 0915 DL0ESA        599 180    IW1CBG        599 001
QSO:  7045 RY 2018-04-08 0916 DL0ESA        599 181    G6N           599 008
QSO: 14078 RY 2018-04-08 0918 DL0ESA        599 182    RA6LIS        599 097
QSO: 14078 RY 2018-04-08 0921 DL0ESA        599 183    OH2NT         599 150
QSO: 14078 RY 2018-04-08 0922 DL0ESA        599 184    RA3E          599 214
