START-OF-LOG: 2.0
ARRL-SECTION: 
CONTEST: CQ-WW-SSB 
CALLSIGN: K4FYM
CATEGORY: SINGLE-OP ALL HIGH 
CATEGORY-OVERLAY: 
CLAIMED-SCORE: 292326
OPERATORS: K4FYM
CLUB: 
NAME: A.M. YOUNG 
SOAPBOX:   
SOAPBOX:
SOAPBOX: 
CREATED-BY: Exported by LOGic Cabrillo Export version 1.1
CREATED-BY: LOGic CONTEST ID CQWWDX.  Log form CQWW
CREATED-BY: Exported on 2005-10-31. 431 records exported.
CREATED-BY: Contact LOGic authors for technical questions at http://hosenose.com or 770-307-1496
CREATED-BY: Cabrillo format: Other
QSO: 14184 PH 2005-10-29 0003 K4FYM         59  5      HR2DMR        59  7       
QSO: 14187 PH 2005-10-29 0005 K4FYM         59  5      PJ4W          59  9       
QSO: 14202 PH 2005-10-29 0007 K4FYM         59  5      LT1F          59  13      
QSO: 14212 PH 2005-10-29 0009 K4FYM         59  5      LR2F          59  13      
QSO: 14222 PH 2005-10-29 0010 K4FYM         59  5      PJ2T          59  9       
QSO: 14237 PH 2005-10-29 0013 K4FYM         59  5      YV5YMA        59  9       
QSO: 14243 PH 2005-10-29 0014 K4FYM         59  5      8P1A          59  8       
QSO: 14255 PH 2005-10-29 0018 K4FYM         59  5      4M5R          59  9       
QSO: 14264 PH 2005-10-29 0019 K4FYM         59  5      HQ9R          59  7       
QSO: 14268 PH 2005-10-29 0021 K4FYM         59  5      V31MQ         59  7       
QSO: 14267 PH 2005-10-29 0036 K4FYM         59  5      TG9NX         59  7       
QSO: 14272 PH 2005-10-29 0037 K4FYM         59  5      TI5N          59  7       
QSO: 14310 PH 2005-10-29 0038 K4FYM         59  5      XE2AC         59  6       
QSO:  7026 PH 2005-10-29 0107 K4FYM         59  5      VP5T          59  8       
QSO:  7052 PH 2005-10-29 0110 K4FYM         59  5      IR4X          59  15      
QSO:  7081 PH 2005-10-29 0132 K4FYM         59  5      DQ4W          59  14      
