START-OF-LOG: 3.0
CALLSIGN: AC9S
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 98670
NAME: Keith Hanson
LOCATION: IL
OPERATORS: AC9S
CLUB: Society of Midwest Contesters
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.5924.0
SOAPBOX: Fun contest, but prop was not too good on Sunday, especially 15.
QSO:  3586 RY 2016-09-24 1147 AC9S          599 04 IL  VE7SZ         599 03 BC
QSO:  3574 RY 2016-09-24 1152 AC9S          599 04 IL  W7RN          599 03 NV
QSO: 14079 RY 2016-09-24 1203 AC9S          599 04 IL  OU2DX         599 14 DX
QSO: 14079 RY 2016-09-24 1207 AC9S          599 04 IL  IQ9UI         599 15 DX
QSO: 14081 RY 2016-09-24 1218 AC9S          599 04 IL  EI7KD         599 14 DX
QSO: 14082 RY 2016-09-24 1221 AC9S          599 04 IL  CR3W          599 33 DX
QSO: 14083 RY 2016-09-24 1223 AC9S          599 04 IL  PI4VG         599 14 DX
QSO: 14084 RY 2016-09-24 1229 AC9S          599 04 IL  LY6A          599 15 DX
QSO: 14085 RY 2016-09-24 1230 AC9S          599 04 IL  9A701A        599 15 DX
QSO: 14086 RY 2016-09-24 1233 AC9S          599 04 IL  RA9AU         599 17 DX
QSO: 14086 RY 2016-09-24 1234 AC9S          599 04 IL  IQ2CJ         599 15 DX
QSO: 14086 RY 2016-09-24 1236 AC9S          599 04 IL  UA4S          599 16 DX
QSO: 14089 RY 2016-09-24 1246 AC9S          599 04 IL  SM6BGG        599 14 DX
QSO: 14089 RY 2016-09-24 1247 AC9S          599 04 IL  EU6AF         599 16 DX
QSO: 14090 RY 2016-09-24 1254 AC9S          599 04 IL  AN400V        599 14 DX
QSO: 14091 RY 2016-09-24 1257 AC9S          599 04 IL  MW2I          599 14 DX
QSO: 14092 RY 2016-09-24 1259 AC9S          599 04 IL  SZ1A          599 20 DX
QSO: 14093 RY 2016-09-24 1303 AC9S          599 04 IL  S51A          599 15 DX
QSO: 14094 RY 2016-09-24 1304 AC9S          599 04 IL  I4DZ          599 15 DX
QSO: 14094 RY 2016-09-24 1305 AC9S          599 04 IL  OH3FM         599 15 DX
QSO: 14094 RY 2016-09-24 1306 AC9S          599 04 IL  ON5GQ         599 14 DX
QSO: 14096 RY 2016-09-24 1309 AC9S          599 04 IL  PI4CC         599 14 DX
QSO: 14098 RY 2016-09-24 1312 AC9S          599 04 IL  HB9DHG        599 14 DX
QSO: 14099 RY 2016-09-24 1315 AC9S          599 04 IL  SN7Q          599 15 DX
QSO: 14100 RY 2016-09-24 1316 AC9S          599 04 IL  EA8DED        599 33 DX
QSO: 14101 RY 2016-09-24 1317 AC9S          599 04 IL  UV5U          599 16 DX
