START-OF-LOG: 3.0
CALLSIGN: UR5LF
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 102416
NAME: Alexander Bunakov
LOCATION: DX
OPERATORS: UR5LF
CLUB: UKRAINIAN CONTEST CLUB
CERTIFICATE: YES
CREATED-BY: 5MContest ver.7.0.2
QSO: 21019 CW 2017-11-26 0832 UR5LF         599 16     EC5CR         599 14
QSO: 21013 CW 2017-11-26 0833 UR5LF         599 16     UN9GD         599 17
QSO: 21006 CW 2017-11-26 0840 UR5LF         599 16     R9PA          599 18
QSO: 21012 CW 2017-11-26 0842 UR5LF         599 16     RW0A          599 18
QSO: 21024 CW 2017-11-26 0843 UR5LF         599 16     UB0A          599 18
QSO: 21033 CW 2017-11-26 0844 UR5LF         599 16     EA6VQ         599 14
QSO: 21038 CW 2017-11-26 0845 UR5LF         599 16     F4WBN         599 14
QSO: 21046 CW 2017-11-26 0846 UR5LF         599 16     ED5W          599 14
QSO: 21050 CW 2017-11-26 0850 UR5LF         599 16     EX8M          599 17
QSO: 21043 CW 2017-11-26 0854 UR5LF         599 16     EA5KV         599 14
QSO: 21027 CW 2017-11-26 0857 UR5LF         599 16     UN4PG         599 17
QSO: 21019 CW 2017-11-26 0858 UR5LF         599 16     EF2A          599 14
QSO: 21016 CW 2017-11-26 0859 UR5LF         599 16     9H6A          599 15
QSO: 21014 CW 2017-11-26 0900 UR5LF         599 16     RN0A          599 18
QSO: 21010 CW 2017-11-26 0900 UR5LF         599 16     RC9J          599 17
QSO: 21065 CW 2017-11-26 0906 UR5LF         599 16     A44A          599 21
QSO: 14063 CW 2017-11-26 0909 UR5LF         599 16     OM7LW         599 15
QSO: 14101 CW 2017-11-26 0910 UR5LF         599 16     LX4A          599 14
QSO: 14100 CW 2017-11-26 0911 UR5LF         599 16     YU1AHW        599 15
QSO: 14098 CW 2017-11-26 0912 UR5LF         599 16     IZ8EPX        599 15
QSO: 14093 CW 2017-11-26 0916 UR5LF         599 16     CR3OO         599 33
QSO: 14092 CW 2017-11-26 0917 UR5LF         599 16     YT2RX         599 15
