START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: N4TZ
LOCATION: IN
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: TWO
CATEGORY-OVERLAY:
CLAIMED-SCORE: 806786
NAME: Terry Zivney
OPERATORS: N4TZ
CLUB: Society of Midwest Contesters
CERTIFICATE: NO
CREATED-BY: TR4W v.4.73.6
SOAPBOX: LOST PRECIOUS HOURS SUNDAY TO FIX COMPUTER TO RIG COMMUNICATIONS
QSO: 21258 PH 2018-10-27 0000 N4TZ          59  04     NX6T          59  03
QSO: 14209 PH 2018-10-27 0009 N4TZ          59  04     CB1H          59  12
QSO: 14215 PH 2018-10-27 0010 N4TZ          59  04     PS2T          59  11
QSO: 14226 PH 2018-10-27 0012 N4TZ          59  04     LU3MCJ        59  13
QSO: 14233 PH 2018-10-27 0015 N4TZ          59  04     XE1B          59  06
QSO:  7203 PH 2018-10-27 0023 N4TZ          59  04     PY9GC         59  11
QSO:  7216 PH 2018-10-27 0024 N4TZ          59  04     KP2M          59  08
QSO:  7222 PH 2018-10-27 0025 N4TZ          59  04     VE6WQ         59  04
QSO:  7228 PH 2018-10-27 0025 N4TZ          59  04     VP9I          59  05
QSO:  7138 PH 2018-10-27 0027 N4TZ          59  04     EA5SR         59  14
QSO:  7152 PH 2018-10-27 0028 N4TZ          59  04     VA2WA         59  05
QSO:  7154 PH 2018-10-27 0028 N4TZ          59  04     CN2CO         59  33
QSO:  7169 PH 2018-10-27 0031 N4TZ          59  04     EI5IX         59  14
QSO:  7172 PH 2018-10-27 0031 N4TZ          59  04     II2S          59  15
QSO:  7179 PH 2018-10-27 0033 N4TZ          59  04     ED3M          59  14
QSO:  7180 PH 2018-10-27 0034 N4TZ          59  04     M6T           59  14
QSO:  7182 PH 2018-10-27 0034 N4TZ          59  04     LX7I          59  14
QSO:  7190 PH 2018-10-27 0037 N4TZ          59  04     EF8R          59  33
QSO:  7213 PH 2018-10-27 0040 N4TZ          59  04     P40L          59  09
