START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: M4A
LOCATION: DX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY:
GRID-LOCATOR: JO02AF
CLAIMED-SCORE: 3986950
NAME: Dominic Smith
OPERATORS: M0WJE, M0WUT, M0ZCJ, M7BBR
CREATED-BY: DXLog.net v2.5.24
SOAPBOX: Entry from Cambridge University Wireless Society. Thanks for the QSOs
QSO:  7191 PH 2021-10-30 0001 M4A    59   14 OM7M   59   15 0
QSO:  7191 PH 2021-10-30 0002 M4A    59   14 IQ0ID  59   15 0
QSO:  7195 PH 2021-10-30 0004 M4A    59   14 YU7XX  59   15 0
QSO:  7150 PH 2021-10-30 0007 M4A    59   14 SP8R   59   15 0
QSO:  3700 PH 2021-10-30 0008 M4A    59   14 S53F   59   15 1
QSO:  3715 PH 2021-10-30 0009 M4A    59   14 IK3UNA 59   15 1
QSO:  3727 PH 2021-10-30 0009 M4A    59   14 SP8R   59   15 1
QSO:  3737 PH 2021-10-30 0009 M4A    59   14 RA9Y   59   18 1
QSO:  3752 PH 2021-10-30 0010 M4A    59   14 CQ3J   59   33 1
QSO:  3766 PH 2021-10-30 0010 M4A    59   14 ED1R   59   14 1
QSO:  3770 PH 2021-10-30 0011 M4A    59   14 TM1O   59   14 1
QSO:  3773 PH 2021-10-30 0011 M4A    59   14 YT5A   59   15 1
QSO:  7166 PH 2021-10-30 0012 M4A    59   14 US1Q   59   16 0
QSO:  3776 PH 2021-10-30 0012 M4A    59   14 EI7M   59   14 1
QSO:  3780 PH 2021-10-30 0012 M4A    59   14 ES9C   59   15 1
QSO:  3788 PH 2021-10-30 0013 M4A    59   14 DF0HQ  59   14 1
QSO:  3792 PH 2021-10-30 0014 M4A    59   14 M6T    59   14 1
QSO:  3796 PH 2021-10-30 0014 M4A    59   14 LY4A   59   15 1
QSO:  3799 PH 2021-10-30 0014 M4A    59   14 LZ9W   59   20 1
QSO:  3633 PH 2021-10-30 0015 M4A    59   14 HB9TOC 59   14 1
QSO:  3718 PH 2021-10-30 0015 M4A    59   14 OM0R   59   15 1
QSO:  3743 PH 2021-10-30 0022 M4A    59   14 IQ3RK  59   15 0
QSO:  7052 PH 2021-10-30 0023 M4A    59   14 PJ4K   59   09 1
QSO:  7062 PH 2021-10-30 0023 M4A    59   14 EV1R   59   16 1
QSO:  7063 PH 2021-10-30 0024 M4A    59   14 HG6N   59   15 1
QSO:  3755 PH 2021-10-30 0024 M4A    59   14 ES6RW  59   15 0
QSO:  7058 PH 2021-10-30 0025 M4A    59   14 4O3A   59   15 1
QSO:  7069 PH 2021-10-30 0025 M4A    59   14 SX2I   59   20 1
QSO:  7045 PH 2021-10-30 0026 M4A    59   14 YO4NF  59   20 1
QSO:  3733 PH 2021-10-30 0026 M4A    59   14 EA5S   59   14 0
QSO:  7073 PH 2021-10-30 0027 M4A    59   14 VY2TT  59   05 1
QSO:  7081 PH 2021-10-30 0027 M4A    59   14 UA4M   59   16 1
QSO:  7090 PH 2021-10-30 0027 M4A    59   14 IO9A   59   15 1
QSO:  3702 PH 2021-10-30 0028 M4A    59   14 RT2C   59   16 0
QSO:  7099 PH 2021-10-30 0030 M4A    59   14 CR6P   59   14 1
QSO:  7126 PH 2021-10-30 0030 M4A    59   14 S57K   59   15 1
QSO:  7133 PH 2021-10-30 0031 M4A    59   14 ES9C   59   15 1
QSO:  7141 PH 2021-10-30 0032 M4A    59   14 IO0A   59   15 1
QSO:  7146 PH 2021-10-30 0033 M4A    59   14 ED1R   59   14 1
QSO:  3710 PH 2021-10-30 0033 M4A    59   14 YU1LD  59   15 0
QSO:  3720 PH 2021-10-30 0034 M4A    59   14 DP6A   59   14 0
QSO:  3722 PH 2021-10-30 0034 M4A    59   14 HG8R   59   15 0
QSO:  7149 PH 2021-10-30 0034 M4A    59   14 P33W   59   20 1
QSO:  3731 PH 2021-10-30 0035 M4A    59   14 SP9N   59   15 0
QSO:  3733 PH 2021-10-30 0035 M4A    59   14 K1TTT  59   05 0
QSO:  3742 PH 2021-10-30 0036 M4A    59   14 IR6T   59   15 0
QSO:  7159 PH 2021-10-30 0036 M4A    59   14 LY1FW  59   15 1
QSO:  3748 PH 2021-10-30 0036 M4A    59   14 SN2W   59   15 0
QSO:  7172 PH 2021-10-30 0036 M4A    59   14 9A7A   59   15 1
QSO:  7176 PH 2021-10-30 0037 M4A    59   14 UP4L   59   17 1
QSO:  3763 PH 2021-10-30 0038 M4A    59   14 EW5A   59   16 0
QSO:  3744 PH 2021-10-30 0038 M4A    59   14 DP7D   59   14 0
QSO:  7187 PH 2021-10-30 0041 M4A    59   14 9K2HN  59   21 1
QSO:  3698 PH 2021-10-30 0041 M4A    59   14 SM5DXR 59   14 0
QSO:  3698 PH 2021-10-30 0042 M4A    59   14 TF3T   59   40 0
QSO:  7053 PH 2021-10-30 0042 M4A    59   14 CF3A   59   04 1
QSO:  7080 PH 2021-10-30 0043 M4A    59   14 EA8RM  59   33 1
QSO:  3698 PH 2021-10-30 0043 M4A    59   14 OK1RPL 59   15 0
QSO:  7124 PH 2021-10-30 0045 M4A    59   14 A44M   59   21 1
QSO:  7134 PH 2021-10-30 0046 M4A    59   14 K3LR   59   05 1
QSO:  3653 PH 2021-10-30 0047 M4A    59   14 9A2KI  59   15 0
QSO:  7135 PH 2021-10-30 0047 M4A    59   14 LZ5K   59   20 1
QSO:  3670 PH 2021-10-30 0048 M4A    59   14 EA2W   59   14 0
QSO:  3693 PH 2021-10-30 0048 M4A    59   14 IZ1OSP 59   15 0
QSO:  3696 PH 2021-10-30 0048 M4A    59   14 OK5D   59   15 0
QSO:  3706 PH 2021-10-30 0050 M4A    59   14 OM6NM  59   15 0
QSO:  3725 PH 2021-10-30 0050 M4A    59   14 CR6K   59   14 0
QSO:  3698 PH 2021-10-30 0053 M4A    59   14 MI1A   59   14 0
QSO:  3698 PH 2021-10-30 0054 M4A    59   14 OK1KMU 59   15 0
QSO:  3698 PH 2021-10-30 0054 M4A    59   14 K1BX   59   05 0
QSO:  7208 PH 2021-10-30 0055 M4A    59   14 HK1T   59   09 1
QSO:  3698 PH 2021-10-30 0055 M4A    59   14 RM5F   59   16 0
QSO:  7169 PH 2021-10-30 0056 M4A    59   14 E7DX   59   15 1
QSO:  3698 PH 2021-10-30 0056 M4A    59   14 UT5ECZ 59   16 0
QSO:  3698 PH 2021-10-30 0058 M4A    59   14 DG4O   59   14 0
QSO:  7048 PH 2021-10-30 0058 M4A    59   14 4Z5UNT 59   20 1
QSO:  7040 PH 2021-10-30 0059 M4A    59   14 VE2IM  59   02 1
QSO:  3698 PH 2021-10-30 0100 M4A    59   14 UN3J   59   17 0
QSO:  3698 PH 2021-10-30 0101 M4A    59   14 OK1MDK 59   15 0
QSO:  7101 PH 2021-10-30 0102 M4A    59   14 M6T    59   14 1
QSO:  3606 PH 2021-10-30 0104 M4A    59   14 OG3B   59   15 0
QSO:  3609 PH 2021-10-30 0104 M4A    59   14 LY7Z   59   15 0
QSO:  3612 PH 2021-10-30 0105 M4A    59   14 HA2KMR 59   15 0
QSO:  3623 PH 2021-10-30 0105 M4A    59   14 DP4G   59   14 0
QSO:  3627 PH 2021-10-30 0106 M4A    59   14 HA5PP  59   15 0
QSO:  3642 PH 2021-10-30 0107 M4A    59   14 TM3Z   59   14 0
QSO:  3646 PH 2021-10-30 0108 M4A    59   14 LX/ON4EI 59   14 0
QSO:  3658 PH 2021-10-30 0108 M4A    59   14 VE2AED 59   05 0
QSO:  3681 PH 2021-10-30 0109 M4A    59   14 OL7T   59   15 0
QSO:  3686 PH 2021-10-30 0109 M4A    59   14 DL3ON  59   14 0
QSO:  7046 PH 2021-10-30 0111 M4A    59   14 EY8MM  59   17 1
QSO:  3704 PH 2021-10-30 0111 M4A    59   14 F4AYI  59   14 0
QSO:  3704 PH 2021-10-30 0112 M4A    59   14 EI3ENB 59   14 0
QSO:  7083 PH 2021-10-30 0112 M4A    59   14 A73A   59   21 1
QSO:  3704 PH 2021-10-30 0113 M4A    59   14 DK7AM  59   14 0
QSO:  3704 PH 2021-10-30 0114 M4A    59   14 IR7T   59   15 0
QSO:  7104 PH 2021-10-30 0114 M4A    59   14 CR2M   59   14 1
QSO:  3704 PH 2021-10-30 0114 M4A    59   14 I1JTQ  59   15 0
QSO:  3704 PH 2021-10-30 0115 M4A    59   14 IQ5PJ  59   15 0
QSO:  3704 PH 2021-10-30 0115 M4A    59   14 DR1C   59   14 0
