START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: SX2I
LOCATION: DX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-STATION: EXPLORER
CATEGORY-OVERLAY:
GRID-LOCATOR: KN10DN
CLAIMED-SCORE: 6403887
NAME: ANDREAS VOULGAROPOULOS
OPERATORS: SV2AEL SV2BFN SV2BXZ SV7CLI SV2GJV SV2HTI SV2HXV SV2HXX SV2JAO SV2MHF
CLUB: NORTHERN GREECE CONTEST TEAM
CREATED-BY: N1MM Logger+ 1.0.9319.0
QSO:  7069 PH 2021-10-30 0000 SX2I   59   20 EW2A   59   16 
QSO:  7069 PH 2021-10-30 0000 SX2I   59   20 VA3DF  59   04 
QSO:  7069 PH 2021-10-30 0000 SX2I   59   20 ED3C   59   14 
QSO:  7069 PH 2021-10-30 0001 SX2I   59   20 IV3ZYB 59   15 
QSO:  7069 PH 2021-10-30 0001 SX2I   59   20 F5GKW  59   14 
QSO:  7069 PH 2021-10-30 0001 SX2I   59   20 OZ1KVM 59   14 
QSO:  7069 PH 2021-10-30 0001 SX2I   59   20 RU1A   59   16 
QSO:  7069 PH 2021-10-30 0002 SX2I   59   20 HG6N   59   15 
QSO:  7069 PH 2021-10-30 0002 SX2I   59   20 F2YT   59   14 
QSO:  7069 PH 2021-10-30 0002 SX2I   59   20 ON3GEO 59   14 
QSO:  7069 PH 2021-10-30 0002 SX2I   59   20 LY5I   59   15 
QSO:  7069 PH 2021-10-30 0003 SX2I   59   20 UA4FDK 59   16 
QSO:  7069 PH 2021-10-30 0003 SX2I   59   20 OE6RNT 59   15 
QSO:  7069 PH 2021-10-30 0003 SX2I   59   20 VC3X   59   04 
QSO:  7069 PH 2021-10-30 0004 SX2I   59   20 OE1HHB 59   15 
QSO:  3750 PH 2021-10-30 0004 SX2I   59   20 LY2MM  59   15 
QSO:  7069 PH 2021-10-30 0004 SX2I   59   20 DF2LH  59   14 
QSO:  7069 PH 2021-10-30 0004 SX2I   59   20 IW1FRU 59   15 
QSO:  7069 PH 2021-10-30 0004 SX2I   59   20 OK1MDK 59   15 
QSO:  7069 PH 2021-10-30 0005 SX2I   59   20 VA1XH  59   05 
QSO:  7069 PH 2021-10-30 0005 SX2I   59   20 VE3EJ  59   04 
QSO:  7069 PH 2021-10-30 0005 SX2I   59   20 UT3UOR 59   16 
QSO:  7069 PH 2021-10-30 0005 SX2I   59   20 KC1XX  59   05 
QSO:  7069 PH 2021-10-30 0005 SX2I   59   20 DJ4MX  59   14 
QSO:  7069 PH 2021-10-30 0006 SX2I   59   20 WX3B   59   05 
QSO:  7069 PH 2021-10-30 0006 SX2I   59   20 ES9C   59   15 
QSO:  7069 PH 2021-10-30 0006 SX2I   59   20 OK6T   59   15 
QSO:  7069 PH 2021-10-30 0007 SX2I   59   20 UA0SU  59   18 
QSO:  7069 PH 2021-10-30 0007 SX2I   59   20 RM5F   59   16 
QSO:  7069 PH 2021-10-30 0008 SX2I   59   20 LX1ER  59   14 
QSO:  7069 PH 2021-10-30 0008 SX2I   59   20 EA1FCR 59   14 
QSO:  7069 PH 2021-10-30 0009 SX2I   59   20 UA4M   59   16 
QSO:  7069 PH 2021-10-30 0009 SX2I   59   20 IK2FIR 59   15 
QSO:  7069 PH 2021-10-30 0010 SX2I   59   20 UV2IZ  59   16 
QSO:  7069 PH 2021-10-30 0010 SX2I   59   20 DL9DX  59   14 
QSO:  7069 PH 2021-10-30 0010 SX2I   59   20 LY7Z   59   15 
QSO:  7069 PH 2021-10-30 0010 SX2I   59   20 IQ4SC  59   15 
QSO:  7069 PH 2021-10-30 0011 SX2I   59   20 DL1NKS 59   14 
QSO:  7069 PH 2021-10-30 0011 SX2I   59   20 OM7M   59   15 
QSO:  7069 PH 2021-10-30 0011 SX2I   59   20 UA7K   59   16 
QSO:  3754 PH 2021-10-30 0012 SX2I   59   20 P33W   59   20 
QSO:  7069 PH 2021-10-30 0012 SX2I   59   20 LA2AB  59   14 
QSO:  7069 PH 2021-10-30 0012 SX2I   59   20 OK2AP  59   15 
