START-OF-LOG: 3.0
CONTEST: CQ-WPX-CW
CALLSIGN: KC8FDU
LOCATION: MO
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY:
GRID-LOCATOR: EM48vn
CLAIMED-SCORE: 1887
NAME: Geoffrey Gallaway
OPERATORS: KC8FDU
CREATED-BY: N3FJP's CQ WPX Contest Log 4.9.9
QSO:    7072 CW 2025-05-24 0259 KC8FDU           599 1     VA2WMA           599  318      
QSO:    7072 CW 2025-05-24 0303 KC8FDU           599 2     OK7PN            599  001      
QSO:    7072 CW 2025-05-24 0320 KC8FDU           599 3     VE3HZ            599  32       
QSO:    7072 CW 2025-05-24 0325 KC8FDU           599 4     W7QM             599  280      
QSO:    7072 CW 2025-05-24 0330 KC8FDU           599 5     OM7K             599  228      
QSO:    7072 CW 2025-05-24 0337 KC8FDU           599 6     KA8HDE           599  135      
QSO:    7072 CW 2025-05-24 0347 KC8FDU           599 7     K8GL             599  99       
QSO:    7072 CW 2025-05-24 0350 KC8FDU           599 8     AK1MD            599  146      
QSO:    7072 CW 2025-05-24 0402 KC8FDU           599 9     VE3NE            599  304      
QSO:    7072 CW 2025-05-24 0406 KC8FDU           599 10    KE7IR            599  3        
QSO:    7072 CW 2025-05-24 0420 KC8FDU           599 11    WT9U             599  301      
QSO:   21054 CW 2025-05-24 1830 KC8FDU           599 12    W6YX             599  667      
QSO:   21062 CW 2025-05-24 2026 KC8FDU           599 013   K6NR             599  411     0
QSO:   21062 CW 2025-05-24 2034 KC8FDU           599 014   KU7HK            599  69      0
QSO:   21062 CW 2025-05-25 0011 KC8FDU           599 015   AH7RF            599  1095    0
QSO:   14054 CW 2025-05-25 0104 KC8FDU           599 016   KC1XX            599  1829    0
QSO:   14070 CW 2025-05-25 0122 KC8FDU           599 017   AD1C             599  348     0
QSO:   14028 CW 2025-05-25 0133 KC8FDU           599 018   CK3A             599  1307    0
QSO:    7056 CW 2025-05-25 0139 KC8FDU           599 019   K9OM             599  520     0
QSO:    7052 CW 2025-05-25 0145 KC8FDU           599 020   NU2F             599  492     0
QSO:    7054 CW 2025-05-25 0200 KC8FDU           599 021   NS4T             599  872     0
QSO:    7053 CW 2025-05-25 0204 KC8FDU           599 022   WK2G             599  113     0
QSO:    7054 CW 2025-05-25 0217 KC8FDU           599 023   KA2WIK           599  288     0
QSO:    7054 CW 2025-05-25 0220 KC8FDU           599 024   DP9A             599  1261    0
QSO:    7053 CW 2025-05-25 0227 KC8FDU           599 025   OM7M             599  1318    0
QSO:    7053 CW 2025-05-25 0231 KC8FDU           599 026   OL3Z             599  329     0
QSO:   21000 CW 2025-05-25 1457 KC8FDU           599 027   W6YX             599  1197    0
QSO:   21000 CW 2025-05-25 1500 KC8FDU           599 028   AD5A             599  1713    0
QSO:   28000 CW 2025-05-25 1504 KC8FDU           599 029   8P5A             599  4489    0
QSO:   28000 CW 2025-05-25 1508 KC8FDU           599 030   AA4NC            599  2749    0
QSO:   28000 CW 2025-05-25 1512 KC8FDU           599 031   WA1S             599  797     0
QSO:   21048 CW 2025-05-25 1519 KC8FDU           599 032   WK7S             599  2010    0
QSO:   21026 CW 2025-05-25 1521 KC8FDU           599 033   KT5J             599  2216    0
QSO:   21029 CW 2025-05-25 1526 KC8FDU           599 034   NU5A             599  3590    0
QSO:   21040 CW 2025-05-25 1529 KC8FDU           599 035   VP5M             599  3447    0
QSO:   21048 CW 2025-05-25 1714 KC8FDU           599 036   KI6RNN/KL7       599  823     0
QSO:   14041 CW 2025-05-25 1719 KC8FDU           599 037   WT7TT            599  1150    0
QSO:   14036 CW 2025-05-25 1842 KC8FDU           599 038   ND3T             599  3910    0
QSO:   21040 CW 2025-05-25 1843 KC8FDU           599 039   KK5I             599  1795    0
QSO:   14040 CW 2025-05-25 1847 KC8FDU           599 040   K3LR             599  2280    0
END-OF-LOG:
