START-OF-LOG: 3.0
CREATED-BY:    CT Version 10.02.008
CALLSIGN:      K1RX
NAME:          Mark Pride
CLUB:          Yankee Clipper Contest Club
CLAIMED-SCORE: 4487714
CONTEST:       CQ-WW-SSB
OPERATORS:
OPERATORS:
SOAPBOX:       Conditions poor at beginning which do not inspire a huge effort
SOAPBOX:       but in retrospect, should have pushed through to generate a higher
SOAPBOX:       score - next year...?
SOAPBOX:
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
QSO:  7163 PH 2009-10-24 0000 K1RX           59 5      IO5O          59  15     1
QSO:  7164 PH 2009-10-24 0000 K1RX           59 5      S58M          59  15     1
QSO:  7166 PH 2009-10-24 0000 K1RX           59 5      EA9IE         59  33     1
QSO:  7168 PH 2009-10-24 0001 K1RX           59 5      W3LPL         59  05     1
QSO:  7172 PH 2009-10-24 0001 K1RX           59 5      ED5T          59  14     1
QSO:  7173 PH 2009-10-24 0002 K1RX           59 5      9A7D          59  15     1
QSO:  7176 PH 2009-10-24 0003 K1RX           59 5      4O3A          59  15     1
QSO:  7179 PH 2009-10-24 0004 K1RX           59 5      IR4X          59  15     1
QSO:  7186 PH 2009-10-24 0006 K1RX           59 5      OK5W          59  15     1
QSO:  7188 PH 2009-10-24 0007 K1RX           59 5      S57DX         59  15     1
QSO:  7192 PH 2009-10-24 0008 K1RX           59 5      GW4BLE        59  14     1
QSO: 14204 PH 2009-10-24 0010 K1RX           59 5      TG9ANF        59  07     1
QSO:  7194 PH 2009-10-24 0010 K1RX           59 5      K9JIG         59  04     1
QSO:  7194 PH 2009-10-24 0011 K1RX           59 5      W8BI          59  04     1
QSO: 14208 PH 2009-10-24 0012 K1RX           59 5      PS2T          59  11     1
QSO:  7194 PH 2009-10-24 0012 K1RX           59 5      K2LGO         59  05     1
QSO: 14195 PH 2009-10-24 0013 K1RX           59 5      XE1B          59  06     1
QSO: 14211 PH 2009-10-24 0015 K1RX           59 5      HC1JQ         59  10     1
QSO:  7194 PH 2009-10-24 0015 K1RX           59 5      K8AZ          59  04     1
QSO:  7194 PH 2009-10-24 0016 K1RX           59 5      K9OQ04        59  04     1
QSO: 14212 PH 2009-10-24 0017 K1RX           59 5      PZ5M          59  09     1
QSO: 14216 PH 2009-10-24 0018 K1RX           59 5      AY4D          59  13     1
QSO:  7194 PH 2009-10-24 0018 K1RX           59 5      EA5BY         59  14     1
QSO:  7194 PH 2009-10-24 0018 K1RX           59 5      N5BRL         59  04     1
QSO:  7194 PH 2009-10-24 0019 K1RX           59 5      IT9HBT        59  15     1
QSO: 14218 PH 2009-10-24 0020 K1RX           59 5      OA4SS         59  10     1
QSO:  7194 PH 2009-10-24 0021 K1RX           59 5      N9WRG         59  04     1
QSO:  7194 PH 2009-10-24 0021 K1RX           59 5      KC7ESB        59  03     1
QSO:  7194 PH 2009-10-24 0021 K1RX           59 5      VE3CX         59  04     1
QSO:  7194 PH 2009-10-24 0022 K1RX           59 5      W5ZO          59  04     1
QSO: 14226 PH 2009-10-24 0023 K1RX           59 5      XR6T          59  12     1
QSO:  7194 PH 2009-10-24 0023 K1RX           59 5      AE5PW         59  04     1
QSO: 14235 PH 2009-10-24 0024 K1RX           59 5      PQ5B          59  11     1
QSO: 14239 PH 2009-10-24 0024 K1RX           59 5      V48M          59  08     1
QSO:  7194 PH 2009-10-24 0025 K1RX           59 5      N4ZRL         59  04     1
QSO:  7194 PH 2009-10-24 0025 K1RX           59 5      WS6K          59  04     1
QSO: 14244 PH 2009-10-24 0025 K1RX           59 5      ZY7C          59  11     1
QSO: 14247 PH 2009-10-24 0027 K1RX           59 5      CX1AV         59  13     1
QSO: 14250 PH 2009-10-24 0027 K1RX           59 5      TI5N          59  07     1
QSO: 14253 PH 2009-10-24 0028 K1RX           59 5      FY5KE         59  09     1
QSO: 14255 PH 2009-10-24 0029 K1RX           59 5      TO7A          59  08     1
QSO:  7194 PH 2009-10-24 0029 K1RX           59 5      AA4MJ         59  05     1
QSO: 14259 PH 2009-10-24 0030 K1RX           59 5      8P5A          59  08     1
QSO:  7194 PH 2009-10-24 0030 K1RX           59 5      NF4A          59  05     1
QSO:  7194 PH 2009-10-24 0031 K1RX           59 5      KT1B          59  05     1
QSO:  7194 PH 2009-10-24 0031 K1RX           59 5      VE9HF         59  05     1
QSO:  7194 PH 2009-10-24 0031 K1RX           59 5      N8HP          59  04     1
QSO:  7194 PH 2009-10-24 0032 K1RX           59 5      KI4YRC        59  05     1
QSO: 14264 PH 2009-10-24 0033 K1RX           59 5      KP4US         59  08     1
QSO:  7194 PH 2009-10-24 0033 K1RX           59 5      WB0QVB        59  04     1
QSO: 14268 PH 2009-10-24 0034 K1RX           59 5      NP4Z          59  08     1
QSO:  7194 PH 2009-10-24 0034 K1RX           59 5      K3ZMJ         59  05     1
QSO:  7194 PH 2009-10-24 0035 K1RX           59 5      KB8V          59  05     1
QSO:  7194 PH 2009-10-24 0035 K1RX           59 5      KD4QMY        59  05     1
QSO: 14294 PH 2009-10-24 0036 K1RX           59 5      LU1MSD        59  13     1
QSO:  7194 PH 2009-10-24 0036 K1RX           59 5      KD9MS         59  04     1
QSO:  7194 PH 2009-10-24 0036 K1RX           59 5      XE3N          59  06     1
QSO:  7194 PH 2009-10-24 0037 K1RX           59 5      W5KK          59  04     1
QSO:  7194 PH 2009-10-24 0038 K1RX           59 5      PA7LL         59  14     1
QSO:  7194 PH 2009-10-24 0039 K1RX           59 5      AJ4BT         59  05     1
QSO:  7194 PH 2009-10-24 0039 K1RX           59 5      KC0VTJ        59  04     1
QSO:  7194 PH 2009-10-24 0040 K1RX           59 5      KF5DKS        59  04     1
QSO:  7194 PH 2009-10-24 0041 K1RX           59 5      W4PLN         59  04     1
QSO:  7194 PH 2009-10-24 0042 K1RX           59 5      AA4V/VP9      59  05     1
QSO:  3725 PH 2009-10-24 0043 K1RX           59 5      EI9E          59  14     1
QSO:  3730 PH 2009-10-24 0044 K1RX           59 5      OL4A          59  15     1
QSO:  3732 PH 2009-10-24 0045 K1RX           59 5      PJ4K          59  09     1
QSO:  7194 PH 2009-10-24 0047 K1RX           59 5      WB4MNK        59  05     1
QSO: 14154 PH 2009-10-24 0050 K1RX           59 5      CE1W          59  12     1
QSO: 14161 PH 2009-10-24 0051 K1RX           59 5      VP2V/KN5H     59  08     1
QSO: 14166 PH 2009-10-24 0052 K1RX           59 5      V31MW         59  07     1
QSO:  7153 PH 2009-10-24 0053 K1RX           59 5      K9OM          59  04     1
QSO: 14169 PH 2009-10-24 0053 K1RX           59 5      PT2CM         59  11     1
QSO: 14176 PH 2009-10-24 0055 K1RX           59 5      HI3CCP        59  08     1
QSO: 14179 PH 2009-10-24 0057 K1RX           59 5      AA4V/VP9      59  05     1
QSO: 14182 PH 2009-10-24 0058 K1RX           59 5      YS1YS         59  07     1
QSO:  7153 PH 2009-10-24 0058 K1RX           59 5      N9SB          59  04     1
QSO: 14185 PH 2009-10-24 0059 K1RX           59 5      CE1LS         59  12     1
QSO: 14190 PH 2009-10-24 0102 K1RX           59 5      LU9MBY        59  13     1
QSO:  7153 PH 2009-10-24 0104 K1RX           59 5      W9IU          59  04     1
QSO: 14200 PH 2009-10-24 0104 K1RX           59 5      LS2D          59  13     1
QSO: 14206 PH 2009-10-24 0105 K1RX           59 5      CE4CT         59  12     1
QSO:  7153 PH 2009-10-24 0108 K1RX           59 5      K3GWK         59  05     1
QSO: 14232 PH 2009-10-24 0109 K1RX           59 5      LU1VM         59  13     1
QSO: 14237 PH 2009-10-24 0110 K1RX           59 5      PY3UEB        59  11     1
QSO:  7153 PH 2009-10-24 0110 K1RX           59 5      N4KG          59  04     1
QSO:  7153 PH 2009-10-24 0110 K1RX           59 5      EA8CDI        59  33     1
QSO: 14249 PH 2009-10-24 0111 K1RX           59 5      CE4B          59  12     1
QSO: 14250 PH 2009-10-24 0112 K1RX           59 5      PY5CA         59  11     1
QSO: 14257 PH 2009-10-24 0113 K1RX           59 5      KP2M          59  08     1
QSO: 14263 PH 2009-10-24 0113 K1RX           59 5      PW2D          59  11     1
QSO:  7153 PH 2009-10-24 0114 K1RX           59 5      N1YX          59  05     1
QSO: 14279 PH 2009-10-24 0116 K1RX           59 5      LT4S          59  13     1
QSO: 14286 PH 2009-10-24 0116 K1RX           59 5      LU1YY         59  13     1
QSO:  7153 PH 2009-10-24 0117 K1RX           59 5      K4ML          59  05     1
QSO:  7153 PH 2009-10-24 0117 K1RX           59 5      EC2DX         59  14     1
