START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: VA2UR
LOCATION: QC
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 3167142
NAME: Guy Lemieux
OPERATORS: DL7VOA K1LI K9EL VA2CZ VA2EK VE2CAQ VE2BWL
CLUB: SPLIT 5/7 Yankee Clipper Contest Club SPLIT 2/7 Bavarian Contest Club
CREATED-BY: N1MM Logger+ 1.0.7977.0
QSO:  7143 PH 2019-10-26 0002 VA2UR         59  5      W9VW          59  04     0
QSO:  7123 PH 2019-10-26 0008 VA2UR         59  5      VE2IDX        59  02     0
QSO:  7133 PH 2019-10-26 0009 VA2UR         59  5      K3LR          59  05     0
QSO:  7145 PH 2019-10-26 0010 VA2UR         59  5      W3LPL         59  05     0
QSO:  7159 PH 2019-10-26 0011 VA2UR         59  5      N9NB          59  05     0
QSO:  7207 PH 2019-10-26 0014 VA2UR         59  5      N4IJ          59  05     0
QSO:  7207 PH 2019-10-26 0015 VA2UR         59  5      WW5C          59  04     0
QSO:  7207 PH 2019-10-26 0015 VA2UR         59  5      KF4WLS        59  04     0
QSO:  7207 PH 2019-10-26 0016 VA2UR         59  5      AC8VU         59  04     0
QSO:  7207 PH 2019-10-26 0016 VA2UR         59  5      KD8CIV        59  04     0
QSO:  7207 PH 2019-10-26 0017 VA2UR         59  5      W4FSM         59  05     0
QSO:  7207 PH 2019-10-26 0017 VA2UR         59  5      KB8SRQ        59  04     0
QSO:  7207 PH 2019-10-26 0017 VA2UR         59  5      4U1WB         59  05     0
QSO:  7206 PH 2019-10-26 0023 VA2UR         59  5      K2KW          59  05     0
QSO:  7206 PH 2019-10-26 0023 VA2UR         59  5      N4PQX         59  05     0
QSO:  7206 PH 2019-10-26 0023 VA2UR         59  5      KA3PCX        59  05     0
QSO:  7206 PH 2019-10-26 0024 VA2UR         59  5      W4XMT         59  05     0
QSO:  7206 PH 2019-10-26 0024 VA2UR         59  5      W8PR          59  04     0
QSO:  7206 PH 2019-10-26 0024 VA2UR         59  5      KF8MZ         59  04     0
QSO: 14266 PH 2019-10-26 0025 VA2UR         59  5      FY5KE         59  09     1
QSO:  7206 PH 2019-10-26 0025 VA2UR         59  5      KQ4AV         59  05     0
QSO:  7206 PH 2019-10-26 0025 VA2UR         59  5      K5TXB         59  04     0
QSO: 14315 PH 2019-10-26 0035 VA2UR         59  5      PS2T          59  11     1
QSO:  3668 PH 2019-10-26 0036 VA2UR         59  5      G6XX          59  14     0
QSO:  3662 PH 2019-10-26 0040 VA2UR         59  5      OR2M          59  14     0
QSO:  3683 PH 2019-10-26 0042 VA2UR         59  5      XL3A          59  04     0
QSO: 14175 PH 2019-10-26 0046 VA2UR         59  5      PZ5K          59  09     1
QSO:  3739 PH 2019-10-26 0046 VA2UR         59  5      5T5PA         59  35     0
QSO:  3706 PH 2019-10-26 0054 VA2UR         59  5      OM7M          59  15     0
QSO:  3747 PH 2019-10-26 0055 VA2UR         59  5      VA2WA         59  05     0
QSO:  3795 PH 2019-10-26 0101 VA2UR         59  5      EF8R          59  33     0
QSO:  7178 PH 2019-10-26 0103 VA2UR         59  5      CR6T          59  14     0
QSO:  7189 PH 2019-10-26 0104 VA2UR         59  5      F5USK         59  14     0
QSO:  7198 PH 2019-10-26 0105 VA2UR         59  5      IR2Q          59  15     0
QSO:  7184 PH 2019-10-26 0106 VA2UR         59  5      ED8W          59  33     0
QSO:  7167 PH 2019-10-26 0107 VA2UR         59  5      EF8R          59  33     0
QSO:  7144 PH 2019-10-26 0112 VA2UR         59  5      CN3A          59  33     0
QSO:  7137 PH 2019-10-26 0113 VA2UR         59  5      D4C           59  35     0
QSO:  7200 PH 2019-10-26 0124 VA2UR         59  5      KD7RF         59  03     0
QSO:  7200 PH 2019-10-26 0125 VA2UR         59  5      K2ZGW         59  05     0
QSO:  7200 PH 2019-10-26 0125 VA2UR         59  5      KC1FTJ        59  05     0
QSO:  7200 PH 2019-10-26 0125 VA2UR         59  5      W2LU          59  05     0
QSO:  7200 PH 2019-10-26 0125 VA2UR         59  5      K2SSS         59  05     0
QSO:  7200 PH 2019-10-26 0126 VA2UR         59  5      N5DX          59  05     0
QSO:  7200 PH 2019-10-26 0126 VA2UR         59  5      KU2M          59  05     0
QSO:  7200 PH 2019-10-26 0126 VA2UR         59  5      KD3HN         59  05     0
QSO:  7200 PH 2019-10-26 0126 VA2UR         59  5      VA3DGA        59  04     0
