START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: W2JC
LOCATION: NNJ
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: fn20xw
CLAIMED-SCORE: 28320
NAME: Jim Cooper
OPERATORS: W2JC
CLUB: Frankford Radio Club
CREATED-BY: N1MM Logger+ 1.0.7971.0
SOAPBOX: First contest using my recently acquired Flex 6600M ...  love it !!
SOAPBOX: (even though I'm not much fond of voice contests ...)
SOAPBOX: Oddly, the R7 vertical worked much better than the hex beam on 40 ft. tower
SOAPBOX: or the 40/80m dipoles.
SOAPBOX: Thanks to the many patient 'run' ops that pulled me out of the noise.
QSO:  3603 PH 2019-10-26 0354 W2JC          59  5      V26B          59  08
QSO:  7165 PH 2019-10-26 0421 W2JC          59  5      N4WW          59  05
QSO:  7127 PH 2019-10-26 0424 W2JC          59  5      P40T          59  09
QSO: 14191 PH 2019-10-26 2238 W2JC          59  5      VE5MX         59  04
QSO: 14221 PH 2019-10-26 2242 W2JC          59  5      V26B          59  08
QSO: 14232 PH 2019-10-26 2245 W2JC          59  5      VE5PV         59  04
QSO: 14277 PH 2019-10-26 2324 W2JC          59  5      D4C           59  35
QSO: 14243 PH 2019-10-26 2349 W2JC          59  5      N0KE          59  04
QSO:  7158 PH 2019-10-27 0615 W2JC          57  5      ED8W          59  33
QSO:  7175 PH 2019-10-27 0621 W2JC          59  5      PJ2T          59  09
QSO:  7195 PH 2019-10-27 0628 W2JC          59  5      PJ4K          59  09
QSO:  7205 PH 2019-10-27 0631 W2JC          59  5      TI7W          59  07
QSO:  7201 PH 2019-10-27 0633 W2JC          59  5      FY5KE         59  09
QSO:  7188 PH 2019-10-27 0636 W2JC          59  5      ZF1A          59  08
QSO:  7155 PH 2019-10-27 0642 W2JC          59  5      ZW8T          59  11
QSO:  7179 PH 2019-10-27 0650 W2JC          59  5      CQ8M          59  14
QSO:  7188 PH 2019-10-27 0651 W2JC          59  5      HI3LT         59  08
QSO:  7204 PH 2019-10-27 0652 W2JC          59  5      ZF9CW         59  08
QSO:  7225 PH 2019-10-27 0653 W2JC          59  5      KP2M          59  08
QSO:  7197 PH 2019-10-27 0656 W2JC          59  5      PR4T          59  11
QSO:  7152 PH 2019-10-27 0702 W2JC          59  5      CN3A          59  33
QSO:  7147 PH 2019-10-27 0704 W2JC          59  5      ED1R          59  14
QSO:  7131 PH 2019-10-27 0718 W2JC          59  5      CR6T          59  14
QSO:  7140 PH 2019-10-27 0719 W2JC          59  5      PZ5K          59  09
QSO:  3749 PH 2019-10-27 0734 W2JC          59  5      KP2M          59  08
QSO:  3739 PH 2019-10-27 0736 W2JC          59  5      VY2TT         59  05
QSO:  3765 PH 2019-10-27 0739 W2JC          59  5      K1KP          59  05
QSO:  3774 PH 2019-10-27 0741 W2JC          59  5      VA2UR         59  05
QSO:  3784 PH 2019-10-27 0743 W2JC          59  5      FY5KE         59  09
QSO:  3788 PH 2019-10-27 0744 W2JC          59  5      VE3JM         59  04
QSO:  3800 PH 2019-10-27 0745 W2JC          59  5      W3LPL         59  05
QSO:  3797 PH 2019-10-27 0746 W2JC          59  5      PJ4K          59  09
QSO:  3780 PH 2019-10-27 0747 W2JC          59  5      PZ5K          59  09
