START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: SB0A
CATEGORY: SINGLE-OP ALL LOW CW
CATEGORY-OVERLAY: 
CLAIMED-SCORE: 11628
CLUB: None
CONTEST: EUHFC
OPERATORS: SM0LPO 
NAME: Mikael Karlsson
ADDRESS: Skogvaktarvagen 4, 1 trappa 15147 Sodertalje, S W E D E N
ADDRESS: 
E-MAIL: sm0lpo@hotmail.com
SOAPBOX: Nice contest but strange condition because of some heavy thunderstorms.
SOAPBOX: Perhaps one day there will be a QRP-category for this contest :)
QSO: 14041 CW 2014-08-02 1212 SB0A          599 80     DL5YM         599 71
QSO: 14007 CW 2014-08-02 1219 SB0A          599 80     YQ6A          599 74
QSO: 14010 CW 2014-08-02 1222 SB0A          599 80     PA0VAJ        599 73
QSO: 14012 CW 2014-08-02 1224 SB0A          599 80     OP4K          599 82
QSO: 14012 CW 2014-08-02 1226 SB0A          599 80     RM5D          599 80
QSO: 14018 CW 2014-08-02 1230 SB0A          599 80     DF8AE         599 80
QSO: 14018 CW 2014-08-02 1232 SB0A          599 80     YT7R          599 82
QSO: 14019 CW 2014-08-02 1234 SB0A          599 80     G3P           599 67
QSO: 14020 CW 2014-08-02 1236 SB0A          599 80     EW8EW         599 79
QSO: 14021 CW 2014-08-02 1238 SB0A          599 80     LZ1ND         599 82
QSO: 14023 CW 2014-08-02 1240 SB0A          599 80     LZ8E          599 81
QSO: 14024 CW 2014-08-02 1241 SB0A          599 80     YT7AW         599 91
QSO: 14024 CW 2014-08-02 1243 SB0A          599 80     UW5Q          599 99
QSO: 14025 CW 2014-08-02 1244 SB0A          599 80     LZ1RF         599 75
QSO: 14026 CW 2014-08-02 1245 SB0A          599 80     G5W           599 62
QSO: 14027 CW 2014-08-02 1247 SB0A          599 80     UR7GO         599 71
QSO: 14028 CW 2014-08-02 1249 SB0A          599 80     YP8T          599 84
QSO: 14029 CW 2014-08-02 1251 SB0A          599 80     DL4FN         599 84
QSO: 14030 CW 2014-08-02 1253 SB0A          599 80     DK9VZ         599 77
QSO: 14032 CW 2014-08-02 1300 SB0A          599 80     MW5R          599 88
QSO: 14032 CW 2014-08-02 1302 SB0A          599 80     R4EO          599 82
QSO: 14033 CW 2014-08-02 1304 SB0A          599 80     IK8UND        599 93
QSO: 14035 CW 2014-08-02 1308 SB0A          599 80     UX3IO         599 83
QSO: 14036 CW 2014-08-02 1310 SB0A          599 80     RO5O          599 56
QSO: 14037 CW 2014-08-02 1313 SB0A          599 80     US6EX         599 79
QSO: 14037 CW 2014-08-02 1314 SB0A          599 80     S51J          599 69
QSO: 14038 CW 2014-08-02 1317 SB0A          599 80     IQ2CJ         599 87
QSO: 14039 CW 2014-08-02 1318 SB0A          599 80     I6FDJ         599 75
QSO: 14040 CW 2014-08-02 1319 SB0A          599 80     HA1ZN         599 75
QSO: 14042 CW 2014-08-02 1322 SB0A          599 80     YO9HP         599 76
QSO: 14046 CW 2014-08-02 1328 SB0A          599 80     RM3Z          599 73
QSO: 14047 CW 2014-08-02 1330 SB0A          599 80     S59AA         599 50
QSO: 14049 CW 2014-08-02 1335 SB0A          599 80     UX7QD         599 75
QSO: 14052 CW 2014-08-02 1337 SB0A          599 80     RQ4C          599 84
QSO: 14053 CW 2014-08-02 1339 SB0A          599 80     UY5ZZ         599 67
