START-OF-LOG: 2.0
CALLSIGN: UA3BL
REF-SECTION: DX
CATEGORY: SINGLE-OP ALL LOW
CONTEST: REF-SSB
CLAIMED-SCORE: 
NAME: CHERMEN GULIEV
SOAPBOX:Why don't you have category LP?
SOAPBOX:You are loosing many people who don't use a PA.Tks 73!
QSO:  7094 PH 2019-02-23 0602 UA3BL    59  001    F5THW         59  76       
QSO:  7090 PH 2019-02-23 0603 UA3BL    59  002    F6KOP         59  77       
QSO:  7138 PH 2019-02-23 0609 UA3BL    59  003    F5BMI         59  46       
QSO:  7105 PH 2019-02-23 0610 UA3BL    59  004    F5ZCC         59  89       
QSO:  7068 PH 2019-02-23 0614 UA3BL    59  005    F4FFX         59  26       
QSO:  7132 PH 2019-02-23 0624 UA3BL    59  006    F6GPT         59  33       
QSO: 14217 PH 2019-02-23 0939 UA3BL    59  007    F6KOP         59  77       
QSO: 14227 PH 2019-02-23 0939 UA3BL    59  008    F5KMB         59  60       
QSO: 14228 PH 2019-02-23 0940 UA3BL    59  009    F5KBM         59  62       
QSO: 14247 PH 2019-02-23 0940 UA3BL    59  010    F5TLZ         59  54       
QSO:  7154 PH 2019-02-23 0947 UA3BL    59  011    F6CLQ         59  89       
QSO:  7198 PH 2019-02-23 0952 UA3BL    59  012    F2YT          59  62       
QSO: 14214 PH 2019-02-23 0959 UA3BL    59  013    F4CWN         59  32       
QSO: 14226 PH 2019-02-23 1000 UA3BL    59  014    F8ATS         59  91       
QSO: 14242 PH 2019-02-23 1001 UA3BL    59  015    F8DSN         59  88       
QSO: 14245 PH 2019-02-23 1002 UA3BL    59  016    F4HIK         59  86       
QSO: 14248 PH 2019-02-23 1003 UA3BL    59  017    F8DRE         59  28       
QSO: 14249 PH 2019-02-23 1004 UA3BL    59  018    F/PB8DX       59  33       
QSO: 14254 PH 2019-02-23 1007 UA3BL    59  019    F6KJS         59  71       
QSO: 14256 PH 2019-02-23 1008 UA3BL    59  020    F5ADE         59  36       
QSO: 14259 PH 2019-02-23 1009 UA3BL    59  021    F6KQV         59  67       
QSO: 14207 PH 2019-02-23 1014 UA3BL    59  022    F4GMW         59  77       
QSO: 14207 PH 2019-02-23 1016 UA3BL    59  023    F4KIY         59  57       
QSO: 14248 PH 2019-02-23 1019 UA3BL    59  024    TM5TT         59  41       
QSO: 21238 PH 2019-02-23 1028 UA3BL    59  025    FR4QT         59  FR       
QSO: 21233 PH 2019-02-23 1031 UA3BL    59  026    F5MFI         59  45       
QSO: 21233 PH 2019-02-23 1033 UA3BL    59  027    F4FWI         59  47       
QSO: 21233 PH 2019-02-23 1034 UA3BL    59  028    F6KOP         59  77       
QSO: 21233 PH 2019-02-23 1036 UA3BL    59  029    F6HHR         59  62       
QSO: 21233 PH 2019-02-23 1036 UA3BL    59  030    F/PB8DX       59  33       
QSO: 21233 PH 2019-02-23 1037 UA3BL    59  031    F6GOE         59  19       
QSO: 21233 PH 2019-02-23 1039 UA3BL    59  032    TM5CQ         59  35       
QSO: 21233 PH 2019-02-23 1041 UA3BL    59  033    F4FSY         59  69       
QSO: 21233 PH 2019-02-23 1042 UA3BL    59  034    F6CKD         59  44       
QSO: 21239 PH 2019-02-23 1045 UA3BL    59  035    F6KPQ         59  56       
QSO: 21237 PH 2019-02-23 1048 UA3BL    59  036    F4GWM         59  39       
QSO: 21255 PH 2019-02-23 1049 UA3BL    59  037    TM4K          59  03       
QSO: 21216 PH 2019-02-23 1052 UA3BL    59  038    F5AAR         59  49       
QSO: 21203 PH 2019-02-23 1054 UA3BL    59  039    F6IPQ         59  47       
QSO: 21203 PH 2019-02-23 1054 UA3BL    59  040    F3KT          59  44       
QSO: 21203 PH 2019-02-23 1054 UA3BL    59  041    F6BQG         59  35       
QSO: 21203 PH 2019-02-23 1056 UA3BL    59  042    F6CZV/P       59  29       
QSO: 21203 PH 2019-02-23 1057 UA3BL    59  043    F5ZO          59  91       
QSO: 21300 PH 2019-02-23 1059 UA3BL    59  044    F5MUX         59  29       
QSO: 21203 PH 2019-02-23 1100 UA3BL    59  045    F5PBG         59  29       
QSO: 21203 PH 2019-02-23 1103 UA3BL    59  046    F8DWH         59  33       
QSO: 21203 PH 2019-02-23 1106 UA3BL    59  047    F1HTU         59  72       
QSO: 21203 PH 2019-02-23 1107 UA3BL    59  048    F4KIY         59  57       
QSO: 21203 PH 2019-02-23 1108 UA3BL    59  049    F4KKZ         59  12       
QSO: 21203 PH 2019-02-23 1108 UA3BL    59  050    F6APE         59  49       
QSO: 21203 PH 2019-02-23 1109 UA3BL    59  051    F5MBM         59  54       
QSO: 21203 PH 2019-02-23 1109 UA3BL    59  052    F4KJN         59  46       
QSO: 21203 PH 2019-02-23 1111 UA3BL    59  053    F6BYJ         59  16       
QSO: 21203 PH 2019-02-23 1112 UA3BL    59  054    F1UDC         59  75       
QSO: 21203 PH 2019-02-23 1112 UA3BL    59  055    F6GTH         59  47       
QSO: 21203 PH 2019-02-23 1114 UA3BL    59  056    F6KBO         59  22       
QSO: 21203 PH 2019-02-23 1115 UA3BL    59  057    F8KGW         59  35       
QSO: 21228 PH 2019-02-23 1118 UA3BL    59  058    F6KHM         59  29       
QSO: 21246 PH 2019-02-23 1119 UA3BL    59  059    F4CWN         59  32       
QSO: 21203 PH 2019-02-23 1121 UA3BL    59  060    F6FET         59  53       
QSO: 21203 PH 2019-02-23 1122 UA3BL    59  061    F5NKP         59  92       
QSO: 21203 PH 2019-02-23 1123 UA3BL    59  062    F6FTB         59  21       
QSO: 21203 PH 2019-02-23 1124 UA3BL    59  063    F4HER         59  86       
QSO: 21203 PH 2019-02-23 1125 UA3BL    59  064    F5JQF         59  01       
QSO: 21203 PH 2019-02-23 1126 UA3BL    59  065    F2FZ          59  47       
QSO: 21203 PH 2019-02-23 1130 UA3BL    59  066    F4FSV         59  64       
QSO: 21203 PH 2019-02-23 1132 UA3BL    59  067    F5JFU         59  58       
QSO: 21203 PH 2019-02-23 1134 UA3BL    59  068    F4PCM         59  84       
QSO: 21203 PH 2019-02-23 1138 UA3BL    59  069    F6IRA         59  40       
QSO: 21252 PH 2019-02-23 1140 UA3BL    59  070    F5OHM         59  36       
QSO: 21280 PH 2019-02-23 1143 UA3BL    59  071    F5KDK/P       59  81       
QSO: 21247 PH 2019-02-23 1145 UA3BL    59  072    F5KMB         59  60       
QSO: 21200 PH 2019-02-23 1147 UA3BL    59  073    F8ETK         59  59       
QSO: 21200 PH 2019-02-23 1148 UA3BL    59  074    F4EZC         59  44       
QSO: 21200 PH 2019-02-23 1154 UA3BL    59  075    F6BXD         59  59       
QSO: 21200 PH 2019-02-23 1155 UA3BL    59  076    F5KCH         59  58       
QSO: 21200 PH 2019-02-23 1155 UA3BL    59  077    F6DYX         59  49       
QSO: 21200 PH 2019-02-23 1156 UA3BL    59  078    F6KBF         59  78       
QSO: 21200 PH 2019-02-23 1157 UA3BL    59  079    F4FTA         59  21       
QSO: 21200 PH 2019-02-23 1159 UA3BL    59  080    F5DE          59  19       
QSO: 21200 PH 2019-02-23 1159 UA3BL    59  081    F4HXJ         59  29       
QSO: 21204 PH 2019-02-23 1208 UA3BL    59  082    F5KSE         59  31       
QSO: 21230 PH 2019-02-23 1211 UA3BL    59  083    F6DZU         59  40       
QSO: 21232 PH 2019-02-23 1211 UA3BL    59  084    F6KNB         59  33       
QSO: 21220 PH 2019-02-23 1214 UA3BL    59  085    TM16WAP       59  42       
QSO: 21200 PH 2019-02-23 1216 UA3BL    59  086    F5PYJ         59  44       
QSO: 21200 PH 2019-02-23 1220 UA3BL    59  087    F6REF         59  00       
QSO: 21217 PH 2019-02-23 1222 UA3BL    59  088    F6KLO         59  19       
QSO: 21241 PH 2019-02-23 1224 UA3BL    59  089    F4WBL         59  42       
QSO: 14209 PH 2019-02-23 1228 UA3BL    59  090    F6KBF         59  78       
QSO: 14219 PH 2019-02-23 1229 UA3BL    59  091    F6GOE         59  19       
QSO: 14225 PH 2019-02-23 1230 UA3BL    59  092    F4GGQ         59  29       
QSO: 14180 PH 2019-02-23 1236 UA3BL    59  093    F8DBZ         59  47       
QSO: 14180 PH 2019-02-23 1237 UA3BL    59  094    F4FTA         59  21       
QSO: 14180 PH 2019-02-23 1238 UA3BL    59  095    F1PSX         59  72       
QSO: 14179 PH 2019-02-23 1241 UA3BL    59  096    F4HQO         59  62       
QSO: 14238 PH 2019-02-23 1243 UA3BL    59  097    F6KJJ         59  38       
QSO: 14179 PH 2019-02-23 1251 UA3BL    59  098    F5IQJ         59  05       
QSO: 14179 PH 2019-02-23 1253 UA3BL    59  099    F6KJU         59  59       
QSO: 14179 PH 2019-02-23 1255 UA3BL    59  100    TK5KP         59  2A       
QSO: 14179 PH 2019-02-23 1256 UA3BL    59  101    F1MKG         59  28       
QSO: 14256 PH 2019-02-23 1257 UA3BL    59  102    F6KHM         59  29       
QSO: 14134 PH 2019-02-23 1301 UA3BL    59  103    F5KOU         59  80       
QSO: 14151 PH 2019-02-23 1303 UA3BL    59  104    TM6HPP        59  02       
QSO: 14165 PH 2019-02-23 1304 UA3BL    59  105    F4GYG         59  62       
QSO: 14171 PH 2019-02-23 1307 UA3BL    59  106    F5MXQ         59  81       
QSO: 14182 PH 2019-02-23 1308 UA3BL    59  107    F6IRA         59  40       
QSO: 14216 PH 2019-02-23 1312 UA3BL    59  108    F4EIK         59  52       
QSO: 14253 PH 2019-02-23 1314 UA3BL    59  109    F8KGZ         59  54       
QSO: 14261 PH 2019-02-23 1315 UA3BL    59  110    F6KNB         59  33       
QSO: 14267 PH 2019-02-23 1316 UA3BL    59  111    F5NBX         59  87       
QSO: 14274 PH 2019-02-23 1317 UA3BL    59  112    F5KHP         59  32       
QSO: 14279 PH 2019-02-23 1318 UA3BL    59  113    F6KBO         59  22       
QSO: 14136 PH 2019-02-23 1336 UA3BL    59  114    F5KDK/P       59  81       
QSO: 14139 PH 2019-02-23 1336 UA3BL    59  115    F6AXN         59  28       
QSO: 14152 PH 2019-02-23 1339 UA3BL    59  116    TM5OTT        59  37       
QSO: 14155 PH 2019-02-23 1340 UA3BL    59  117    F4FRQ         59  90       
QSO: 14157 PH 2019-02-23 1341 UA3BL    59  118    F6CKD         59  44       
QSO: 14167 PH 2019-02-23 1342 UA3BL    59  119    F4ICE         59  07       
QSO: 14177 PH 2019-02-23 1403 UA3BL    59  120    F5USK         59  65       
QSO: 14202 PH 2019-02-23 1405 UA3BL    59  121    TM16AAW       59  71       
QSO: 14207 PH 2019-02-23 1407 UA3BL    59  122    F6HQP         59  73       
QSO: 14209 PH 2019-02-23 1413 UA3BL    59  123    F8KHO/P       59  51       
QSO: 14218 PH 2019-02-23 1414 UA3BL    59  124    F5OHM         59  36       
QSO: 14220 PH 2019-02-23 1416 UA3BL    59  125    F4KJP         59  08       
QSO: 14224 PH 2019-02-23 1417 UA3BL    59  126    F4KIR         59  35       
QSO: 14234 PH 2019-02-23 1419 UA3BL    59  127    F6KEH         59  34       
QSO: 14248 PH 2019-02-23 1420 UA3BL    59  128    F5JFU         59  58       
QSO: 14276 PH 2019-02-23 1422 UA3BL    59  129    F6KDL         59  68       
QSO: 14276 PH 2019-02-23 1423 UA3BL    59  130    F5LEN         59  54       
QSO: 14276 PH 2019-02-23 1423 UA3BL    59  131    F6EQZ         59  51       
QSO: 14276 PH 2019-02-23 1424 UA3BL    59  132    F6KQL         59  21       
QSO: 14276 PH 2019-02-23 1424 UA3BL    59  133    F4DPW         59  95       
