START-OF-LOG: 2.0
CATEGORY: Portable, multi operator, low power, non-assisted
CONTEST: FD CW
SPECIFIC: U08
CREATED-BY: Win-Test 4.42.0, modified by DXHF upload.
CALLSIGN: DL0LA/P
CLAIMED-SCORE: 645633
OPERATORS: DF9RD DG8AM DL2MLU DL3RDM DL3RDT DL5RMH DL6RAI DL8RBR DL9RDM DL9TU
QSO: 28022 CW 2022-06-04 1500 DL0LA/P       599 0001   G4FNL/P       599 002
QSO: 28029 CW 2022-06-04 1501 DL0LA/P       599 0002   DK0MN/P       599 001
QSO: 28013 CW 2022-06-04 1508 DL0LA/P       599 0003   DL9AAA/P      599 002
QSO: 14030 CW 2022-06-04 1509 DL0LA/P       599 0004   PA5GU         599 003
QSO: 28031 CW 2022-06-04 1514 DL0LA/P       599 0005   EI1E/P        599 024
QSO: 28028 CW 2022-06-04 1515 DL0LA/P       599 0006   GU3NDX/P      599 026
QSO: 28029 CW 2022-06-04 1515 DL0LA/P       599 0007   EI7GY/P       599 015
QSO: 14016 CW 2022-06-04 1519 DL0LA/P       599 0008   UB8A          599 013
QSO: 14016 CW 2022-06-04 1520 DL0LA/P       599 0009   RD0A          599 024
QSO: 14016 CW 2022-06-04 1520 DL0LA/P       599 0010   EW8G          599 007
QSO: 14016 CW 2022-06-04 1520 DL0LA/P       599 0011   UA3RBR        599 023
QSO: 14016 CW 2022-06-04 1521 DL0LA/P       599 0012   RM1T          599 031
QSO: 14016 CW 2022-06-04 1521 DL0LA/P       599 0013   DL7DZ         599 001
QSO: 14016 CW 2022-06-04 1522 DL0LA/P       599 0014   UA4WAU        599 008
QSO: 14016 CW 2022-06-04 1522 DL0LA/P       599 0015   RA3AN         599 022
QSO: 14016 CW 2022-06-04 1522 DL0LA/P       599 0016   RA0AM         599 006
QSO: 14016 CW 2022-06-04 1523 DL0LA/P       599 0017   RA9MX         599 010
QSO: 14016 CW 2022-06-04 1523 DL0LA/P       599 0018   UA3R          599 001
QSO: 14016 CW 2022-06-04 1523 DL0LA/P       599 0019   UA6CC         599 043
QSO: 14016 CW 2022-06-04 1524 DL0LA/P       599 0020   RN4SS         599 008
