START-OF-LOG: 3.0
CREATED-BY:    NA Version 10.66
CONTEST:       CQ-WW-SSB
CALLSIGN:      N0IJ
OPERATORS:     N0IJ, N0IM, AF9T, K0JJR, AA0AW
CLAIMED-SCORE: 1652120
CLUB:          Minnesota Wireless Assn
SOAPBOX: Operating from vacation home in far NW Wisconsin near Lake Superior.
SOAPBOX:
NAME:          John Baumgarten
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: TWO
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-ASSISTED: ASSISTED
CATEGORY-STATION: FIXED
LOCATION: WI
QSO: 14230 PH 2008-10-25 0001 N0IJ         59  04     TI5N         59  07   0
QSO:  7283 PH 2008-10-25 0002 N0IJ         59  04     S57AL        59  15   1
QSO:  7083 PH 2008-10-25 0006 N0IJ         59  04     TM6M         59  14   1
QSO: 14228 PH 2008-10-25 0006 N0IJ         59  04     JE1KBV       59  25   0
QSO:  7082 PH 2008-10-25 0008 N0IJ         59  04     DJ8OG        59  14   1
QSO:  7078 PH 2008-10-25 0011 N0IJ         59  04     IO4T         59  15   1
QSO: 14253 PH 2008-10-25 0013 N0IJ         59  04     JA7BJS       59  25   0
QSO:  7072 PH 2008-10-25 0014 N0IJ         59  04     AO8A         59  33   1
QSO: 14287 PH 2008-10-25 0016 N0IJ         59  04     JA7YRR       59  25   0
QSO: 14289 PH 2008-10-25 0016 N0IJ         59  04     KL7AF        59  01   0
QSO: 14297 PH 2008-10-25 0017 N0IJ         59  04     JH4UYB       59  25   0
QSO: 14301 PH 2008-10-25 0017 N0IJ         59  04     JA1YPA       59  25   0
QSO: 14319 PH 2008-10-25 0018 N0IJ         59  04     VE7URS       59  03   0
QSO: 14334 PH 2008-10-25 0019 N0IJ         59  04     JA7COI       59  25   0
QSO: 14171 PH 2008-10-25 0022 N0IJ         59  04     RA0QC        59  19   0
QSO: 14175 PH 2008-10-25 0022 N0IJ         59  04     JA2PAC       59  25   0
QSO: 14184 PH 2008-10-25 0023 N0IJ         59  04     XE2K         59  06   0
QSO:  7055 PH 2008-10-25 0023 N0IJ         59  04     TM2Y         59  14   1
QSO: 14203 PH 2008-10-25 0024 N0IJ         59  04     AL9A         59  01   0
QSO: 14214 PH 2008-10-25 0025 N0IJ         59  04     JQ1BVI       59  25   0
QSO: 14242 PH 2008-10-25 0027 N0IJ         59  04     KH6LC        59  31   0
QSO:  7049 PH 2008-10-25 0028 N0IJ         59  04     DF0HQ        59  14   1
QSO: 14271 PH 2008-10-25 0030 N0IJ         59  04     JI2ZEY       59  25   0
QSO: 14292 PH 2008-10-25 0032 N0IJ         59  04     JI2ZJS       59  25   0
QSO: 14297 PH 2008-10-25 0032 N0IJ         59  04     JH4UYB       59  25   0
QSO: 14222 PH 2008-10-25 0034 N0IJ         59  04     JA3YBK       59  25   0
QSO: 14311 PH 2008-10-25 0037 N0IJ         59  04     JF2QNM       59  25   0
QSO: 14322 PH 2008-10-25 0037 N0IJ         59  04     JA0QNJ       59  25   0
QSO:  7042 PH 2008-10-25 0039 N0IJ         59  04     SV9CVY       59  20   1
QSO: 14264 PH 2008-10-25 0040 N0IJ         59  04     AH6NF        59  31   0
QSO:  7037 PH 2008-10-25 0044 N0IJ         59  04     TF3W         59  40   1
QSO: 14191 PH 2008-10-25 0045 N0IJ         59  04     JA6ZPR       59  25   0
QSO: 14191 PH 2008-10-25 0046 N0IJ         59  04     KE6GFF       59  03   0
QSO: 14212 PH 2008-10-25 0047 N0IJ         59  04     JA1BPA       59  25   0
QSO: 14256 PH 2008-10-25 0047 N0IJ         59  04     VE7SV        59  03   0
QSO: 14290 PH 2008-10-25 0050 N0IJ         59  04     JA7DOT       59  25   0
QSO: 14290 PH 2008-10-25 0051 N0IJ         59  04     JA7FTR       59  25   0
QSO: 14340 PH 2008-10-25 0054 N0IJ         59  04     JR5VHU       59  25   0
QSO: 14342 PH 2008-10-25 0054 N0IJ         59  04     JR7WAB       59  25   0
QSO: 14216 PH 2008-10-25 0058 N0IJ         59  04     JR1CBC       59  25   0
QSO: 14275 PH 2008-10-25 0059 N0IJ         59  04     VE6AO        59  04   0
QSO:  3817 PH 2008-10-25 0106 N0IJ         59  04     E7DX         59  15   0
QSO:  3817 PH 2008-10-25 0107 N0IJ         59  04     VE3BDN       59  04   0
QSO:  3817 PH 2008-10-25 0111 N0IJ         59  04     OX2A         59  40   0
QSO:  3817 PH 2008-10-25 0112 N0IJ         59  04     VA2TG        59  05   0
QSO:  3817 PH 2008-10-25 0113 N0IJ         59  04     VE3DZ        59  04   0
QSO:  3817 PH 2008-10-25 0113 N0IJ         59  04     C6APR        59  08   0
QSO:  3817 PH 2008-10-25 0118 N0IJ         59  04     DJ5MW        59  14   0
QSO:  3817 PH 2008-10-25 0120 N0IJ         59  04     TM1O         59  14   0
QSO:  3817 PH 2008-10-25 0120 N0IJ         59  04     GM0B         59  14   0
QSO:  3817 PH 2008-10-25 0125 N0IJ         59  04     HB9H         59  14   0
QSO:  3817 PH 2008-10-25 0128 N0IJ         59  04     GI0KOW       59  14   0
QSO:  7208 PH 2008-10-25 0131 N0IJ         59  04     9Y4W         59  09   1
QSO:  7228 PH 2008-10-25 0131 N0IJ         59  04     NP2N         59  08   1
QSO:  3817 PH 2008-10-25 0132 N0IJ         59  04     PA3AAV       59  14   0
QSO:  7229 PH 2008-10-25 0132 N0IJ         59  04     C6APR        59  08   1
QSO:  3817 PH 2008-10-25 0135 N0IJ         59  04     HB0/HB9AON   59  14   0
QSO:  7221 PH 2008-10-25 0136 N0IJ         59  04     PR7AP        59  11   1
QSO:  7217 PH 2008-10-25 0138 N0IJ         59  04     XE1CQ        59  06   1
QSO:  7213 PH 2008-10-25 0139 N0IJ         59  04     CE1W         59  12   1
QSO:  7211 PH 2008-10-25 0139 N0IJ         59  04     YV4A         59  09   1
QSO:  3817 PH 2008-10-25 0143 N0IJ         59  04     G4IIY        59  14   0
QSO:  3817 PH 2008-10-25 0146 N0IJ         59  04     IZ5ICH       59  15   0
QSO:  3817 PH 2008-10-25 0148 N0IJ         59  04     VP5T         59  08   0
QSO:  3817 PH 2008-10-25 0149 N0IJ         59  04     PJ4E         59  09   0
QSO:  3817 PH 2008-10-25 0149 N0IJ         59  04     P40A         59  09   0
QSO:  7157 PH 2008-10-25 0150 N0IJ         59  04     6Y1V         59  08   1
QSO:  7178 PH 2008-10-25 0154 N0IJ         59  04     OL7R         59  15   1
QSO:  3817 PH 2008-10-25 0155 N0IJ         59  04     KP2M         59  08   0
QSO:  3817 PH 2008-10-25 0158 N0IJ         59  04     EA8CMX       59  33   0
QSO:  7170 PH 2008-10-25 0159 N0IJ         59  04     OL3Z         59  15   1
QSO:  3817 PH 2008-10-25 0200 N0IJ         59  04     LX7I         59  14   0
QSO:  3817 PH 2008-10-25 0204 N0IJ         59  04     HI3T         59  08   0
QSO:  3817 PH 2008-10-25 0205 N0IJ         59  04     VP2V/SP7VC   59  08   0
QSO:  3817 PH 2008-10-25 0208 N0IJ         59  04     8P5A         59  08   0
QSO:  3817 PH 2008-10-25 0211 N0IJ         59  04     6Y1V         59  08   0
QSO:  3817 PH 2008-10-25 0216 N0IJ         59  04     GW4BLE       59  14   0
QSO:  7211 PH 2008-10-25 0217 N0IJ         59  04     PZ5Z         59  09   1
QSO:  3817 PH 2008-10-25 0218 N0IJ         59  04     NP4Z         59  08   0
QSO:  7217 PH 2008-10-25 0219 N0IJ         59  04     FY5KE        59  09   1
QSO:  3817 PH 2008-10-25 0221 N0IJ         59  04     VY2ZM        59  05   0
QSO:  7163 PH 2008-10-25 0224 N0IJ         59  04     VP5T         59  08   1
QSO:  3817 PH 2008-10-25 0225 N0IJ         59  04     HT2N         59  07   0
QSO:  3817 PH 2008-10-25 0226 N0IJ         59  04     VE1SKY       59  05   0
QSO:  7188 PH 2008-10-25 0226 N0IJ         59  04     HK3RA        59  09   1
QSO:  3817 PH 2008-10-25 0227 N0IJ         59  04     EA7RU        59  14   0
QSO:  3817 PH 2008-10-25 0227 N0IJ         59  04     XE2S         59  06   0
QSO:  3817 PH 2008-10-25 0229 N0IJ         59  04     V26B         59  08   0
QSO:  3817 PH 2008-10-25 0232 N0IJ         59  04     W0AIH        59  35   0
QSO:  3817 PH 2008-10-25 0233 N0IJ         59  04     CT9L         59  33   0
QSO:  7207 PH 2008-10-25 0234 N0IJ         59  04     CW5W         59  13   1
QSO:  3817 PH 2008-10-25 0235 N0IJ         59  04     UU7J         59  16   0
QSO:  7222 PH 2008-10-25 0235 N0IJ         59  04     V48M         59  08   1
QSO:  3817 PH 2008-10-25 0236 N0IJ         59  04     HG6N         59  15   0
QSO:  3817 PH 2008-10-25 0237 N0IJ         59  04     TO4X         59  08   0
QSO:  7203 PH 2008-10-25 0240 N0IJ         59  04     HK6P         59  09   1
QSO:  3817 PH 2008-10-25 0241 N0IJ         59  04     P33W         59  20   0
QSO:  7171 PH 2008-10-25 0245 N0IJ         59  04     ZP0R         59  11   1
QSO:  3817 PH 2008-10-25 0246 N0IJ         59  04     HQ3Z         59  07   0
QSO:  3817 PH 2008-10-25 0247 N0IJ         59  04     ZS9X         59  38   0
QSO:  7152 PH 2008-10-25 0248 N0IJ         59  04     6V7M         59  35   1
QSO:  3817 PH 2008-10-25 0248 N0IJ         59  04     M4A          59  14   0
QSO:  3817 PH 2008-10-25 0251 N0IJ         59  04     MW0JRX       59  14   0
QSO:  7091 PH 2008-10-25 0253 N0IJ         59  04     ZS9X         59  38   1
QSO:  3817 PH 2008-10-25 0254 N0IJ         59  04     G2F          59  14   0
QSO:  3817 PH 2008-10-25 0255 N0IJ         59  04     OT2A         59  14   0
QSO:  7092 PH 2008-10-25 0259 N0IJ         59  04     VP5DX        59  08   1
