START-OF-LOG: 3.0
CREATED-BY: Win-Test 3.24.0
CONTEST: CQ-WW-SSB
CALLSIGN: YL3DR
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 650076
OPERATORS:
CLUB: Latvian Contest Club
NAME: Aivars  Purinsh
SOAPBOX: TRX: Yaesu FT-920, Acom 1000, antennas: GAP Titan DX, Delta 80m,
SOAPBOX: Diamond W-735
QSO:  3757 PH 2011-10-29 0510 YL3DR         59  15     9A1P          59  15     0
QSO:  3771 PH 2011-10-29 0511 YL3DR         59  15     OH1TX         59  15     0
QSO:  3785 PH 2011-10-29 0514 YL3DR         59  15     DR1D          59  14     0
QSO:  3777 PH 2011-10-29 0515 YL3DR         59  15     SO2J          59  15     0
QSO:  3766 PH 2011-10-29 0517 YL3DR         59  15     YR2X          59  20     0
QSO:  3710 PH 2011-10-29 0518 YL3DR         59  15     SG0X          59  14     0
QSO:  3723 PH 2011-10-29 0527 YL3DR         59  15     F5TTI         59  14     0
QSO:  3795 PH 2011-10-29 0528 YL3DR         59  15     OJ0X          59  15     0
QSO:  3622 PH 2011-10-29 0532 YL3DR         59  15     OZ5GX         59  14     0
QSO:  3733 PH 2011-10-29 0537 YL3DR         59  15     EI9E          59  14     0
QSO:  3788 PH 2011-10-29 0538 YL3DR         59  15     EI7M          59  14     0
QSO:  3716 PH 2011-10-29 0544 YL3DR         59  15     OH4A          59  15     0
QSO:  3697 PH 2011-10-29 0545 YL3DR         59  15     LN8W          59  14     0
QSO:  3657 PH 2011-10-29 0545 YL3DR         59  15     LY1G          59  15     0
QSO:  3753 PH 2011-10-29 0547 YL3DR         59  15     LY7A          59  15     0
QSO:  3768 PH 2011-10-29 0548 YL3DR         59  15     YL2SM         59  15     0
QSO:  3662 PH 2011-10-29 0551 YL3DR         59  15     S53MM         59  15     0
QSO:  3692 PH 2011-10-29 0553 YL3DR         59  15     GW4BLE        59  14     0
QSO:  3706 PH 2011-10-29 0554 YL3DR         59  15     OM5FA         59  15     0
QSO:  3743 PH 2011-10-29 0555 YL3DR         59  15     DR1A          59  14     0
QSO:  7181 PH 2011-10-29 0557 YL3DR         59  15     S57DX         59  15     0
QSO:  7120 PH 2011-10-29 0607 YL3DR         59  15     LY7A          59  15     0
QSO:  7125 PH 2011-10-29 0608 YL3DR         59  15     SJ2W          59  14     0
QSO:  7198 PH 2011-10-29 0616 YL3DR         59  15     OJ0X          59  15     0
QSO:  7071 PH 2011-10-29 0618 YL3DR         59  15     EU1A          59  16     0
QSO:  7117 PH 2011-10-29 0619 YL3DR         59  15     RY3D          59  16     0
QSO:  7179 PH 2011-10-29 0627 YL3DR         59  15     DF0HQ         59  14     0
QSO:  7199 PH 2011-10-29 0629 YL3DR         59  15     OE5T          59  15     0
QSO:  7178 PH 2011-10-29 0630 YL3DR         59  15     SN2B          59  15     0
QSO:  7162 PH 2011-10-29 0631 YL3DR         59  15     OT5A          59  14     0
QSO: 21275 PH 2011-10-29 0633 YL3DR         59  15     A73A          59  21     0
