START-OF-LOG: 3.0
CALLSIGN: N4PSE
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 691169
NAME: Jim Cast
LOCATION: NC
OPERATORS: N4PSE
CLUB:
CERTIFICATE: NO
CREATED-BY: N3FJP's CQ WW DX Contest Log 5.5
SOAPBOX: Good way to spend a rainy weekend at our mountain house!
QSO: 14222 PH 2017-10-28 0026 N4PSE         59  05     XE1B          59  06     0
QSO:  7168 PH 2017-10-28 0035 N4PSE         59  05     IP0P          59  15     0
QSO:  7194 PH 2017-10-28 0037 N4PSE         59  05     LZ8A          59  20     0
QSO:  7195 PH 2017-10-28 0038 N4PSE         59  05     HG3DX         59  15     0
QSO:  7197 PH 2017-10-28 0039 N4PSE         59  05     PZ5K          59  09     0
QSO:  7198 PH 2017-10-28 0039 N4PSE         59  05     IR4X          59  15     0
QSO:  7219 PH 2017-10-28 0041 N4PSE         59  05     P49Y          59  09     0
QSO:  7158 PH 2017-10-28 0042 N4PSE         59  05     IO5O          59  15     0
QSO:  7223 PH 2017-10-28 0044 N4PSE         59  05     W0JAY         59  05     0
QSO:  7169 PH 2017-10-28 0048 N4PSE         59  05     DF0HQ         59  14     0
QSO:  7236 PH 2017-10-28 0049 N4PSE         59  05     NP2N          59  08     0
QSO:  7245 PH 2017-10-28 0049 N4PSE         59  05     VE3JM         59  04     0
QSO:  7216 PH 2017-10-28 0051 N4PSE         59  05     HI3K          59  08     0
QSO:  7209 PH 2017-10-28 0051 N4PSE         59  05     VE7SZ         59  03     0
QSO:  7182 PH 2017-10-28 0054 N4PSE         59  05     CR6K          59  14     0
QSO:  7179 PH 2017-10-28 0055 N4PSE         59  05     EF8R          59  33     0
QSO:  7207 PH 2017-10-28 0057 N4PSE         59  05     VP9/K3SW      59  05     0
QSO:  7190 PH 2017-10-28 0058 N4PSE         59  05     CR3A          59  33     0
QSO:  7189 PH 2017-10-28 0059 N4PSE         59  05     IR6T          59  15     0
QSO:  7185 PH 2017-10-28 0100 N4PSE         59  05     9A7A          59  15     0
QSO:  7181 PH 2017-10-28 0101 N4PSE         59  05     6Y1LZ         59  08     0
QSO:  7167 PH 2017-10-28 0104 N4PSE         59  05     OK7K          59  15     0
QSO:  7166 PH 2017-10-28 0105 N4PSE         59  05     TM6M          59  14     0
QSO:  7126 PH 2017-10-28 0107 N4PSE         59  05     S57AL         59  15     0
QSO:  7237 PH 2017-10-28 0109 N4PSE         59  05     KP3LR         59  08     0
QSO:  7184 PH 2017-10-28 0110 N4PSE         59  05     SN8B          59  15     0
QSO:  7148 PH 2017-10-28 0111 N4PSE         59  05     II2S          59  15     0
QSO:  7145 PH 2017-10-28 0112 N4PSE         59  05     OM7M          59  15     0
QSO:  7130 PH 2017-10-28 0115 N4PSE         59  05     S53A          59  15     0
QSO:  7129 PH 2017-10-28 0119 N4PSE         59  05     LX7I          59  14     0
QSO:  7125 PH 2017-10-28 0120 N4PSE         59  05     TM3R          59  14     0
QSO:  7120 PH 2017-10-28 0124 N4PSE         59  05     J42T          59  20     0
QSO:  7067 PH 2017-10-28 0126 N4PSE         59  05     OE2S          59  15     0
QSO:  7164 PH 2017-10-28 0130 N4PSE         59  05     G3TXF         59  14     0
QSO:  7162 PH 2017-10-28 0139 N4PSE         59  05     OK5W          59  15     0
QSO:  3698 PH 2017-10-28 0340 N4PSE         59  05     EI9E          59  14     0
QSO:  3500 PH 2017-10-28 0342 N4PSE         59  05     VE3JAQ        59  04     0
QSO:  3772 PH 2017-10-28 0343 N4PSE         59  05     EF9R          59  33     0
QSO:  3500 PH 2017-10-28 0344 N4PSE         59  05     PZ5K          59  09     0
QSO:  3656 PH 2017-10-28 0348 N4PSE         59  05     6Y4T          59  08     0
QSO:  3705 PH 2017-10-28 0349 N4PSE         59  05     CN2R          59  33     0
QSO:  3744 PH 2017-10-28 0349 N4PSE         59  05     PJ4K          59  09     0
QSO:  3788 PH 2017-10-28 0350 N4PSE         59  05     8P5A          59  08     0
QSO:  3716 PH 2017-10-28 0351 N4PSE         59  05     VP2MDG        59  08     0
QSO:  3761 PH 2017-10-28 0353 N4PSE         59  05     LX7I          59  14     0
QSO:  3743 PH 2017-10-28 0356 N4PSE         59  05     CR3A          59  33     0
QSO:  3728 PH 2017-10-28 0357 N4PSE         59  05     TM0R          59  14     0
QSO:  3727 PH 2017-10-28 0358 N4PSE         59  05     V26B          59  08     0
QSO:  3652 PH 2017-10-28 0401 N4PSE         59  05     PJ4G          59  09     0
QSO:  3765 PH 2017-10-28 0403 N4PSE         59  05     P43L          59  09     0
QSO:  3718 PH 2017-10-28 0413 N4PSE         59  05     CN2AA         59  33     0
QSO:  3648 PH 2017-10-28 0415 N4PSE         59  05     M3W           59  14     0
QSO:  3751 PH 2017-10-28 0417 N4PSE         59  05     P49Y          59  09     0
QSO:  3753 PH 2017-10-28 0421 N4PSE         59  05     6Y1LZ         59  08     0
QSO:  3712 PH 2017-10-28 0421 N4PSE         59  05     ZF9CW         59  08     0
QSO:  3702 PH 2017-10-28 0422 N4PSE         59  05     VE3EJ         59  04     0
QSO:  3710 PH 2017-10-28 0423 N4PSE         59  05     FM5BH         59  08     0
QSO:  3761 PH 2017-10-28 0427 N4PSE         59  05     EC2DX         59  14     0
QSO:  3714 PH 2017-10-28 0430 N4PSE         59  05     9A8M          59  15     0
QSO:  3732 PH 2017-10-28 0431 N4PSE         59  05     EF8R          59  33     0
QSO:  3793 PH 2017-10-28 0434 N4PSE         59  05     HA8RM         59  15     0
QSO:  7201 PH 2017-10-28 0440 N4PSE         59  05     P40T          59  09     0
QSO:  7188 PH 2017-10-28 0442 N4PSE         59  05     PR7AA         59  11     0
QSO:  7149 PH 2017-10-28 0446 N4PSE         59  05     EC2DX         59  14     0
QSO:  7170 PH 2017-10-28 0450 N4PSE         59  05     EF3T          59  14     0
QSO:  7000 PH 2017-10-28 0451 N4PSE         59  05     II9P          59  15     0
QSO:  7136 PH 2017-10-28 0452 N4PSE         59  05     FY5KE         59  09     0
QSO:  7194 PH 2017-10-28 0453 N4PSE         59  05     IO2X          59  15     0
QSO:  7000 PH 2017-10-28 0459 N4PSE         59  05     YU5R          59  15     0
QSO:  7158 PH 2017-10-28 0501 N4PSE         59  05     V26B          59  08     0
QSO:  7139 PH 2017-10-28 1036 N4PSE         59  05     T42A          59  08     0
QSO:  3791 PH 2017-10-28 1039 N4PSE         59  05     P40W          59  09     0
QSO:  3783 PH 2017-10-28 1041 N4PSE         59  05     NH6V          59  31     0
QSO:  7175 PH 2017-10-28 1044 N4PSE         59  05     KH7CW         59  31     0
QSO:  7202 PH 2017-10-28 1045 N4PSE         59  05     VK4NM         59  30     0
QSO:  7155 PH 2017-10-28 1046 N4PSE         59  05     PJ4G          59  09     0
QSO:  7189 PH 2017-10-28 1048 N4PSE         59  05     KH6J          59  31     0
QSO:  7143 PH 2017-10-28 1048 N4PSE         59  05     9Y4W          59  09     0
QSO:  7133 PH 2017-10-28 1050 N4PSE         59  05     YV5EMG        59  09     0
QSO:  7148 PH 2017-10-28 1055 N4PSE         59  05     PJ4Q          59  09     0
QSO:  7146 PH 2017-10-28 1056 N4PSE         59  05     FM5BH         59  08     0
QSO:  7135 PH 2017-10-28 1057 N4PSE         59  05     NP4AW         59  08     0
QSO:  7204 PH 2017-10-28 1059 N4PSE         59  05     KH7M          59  31     0
QSO: 14225 PH 2017-10-28 1102 N4PSE         59  05     IR4X          59  15     0
QSO: 14238 PH 2017-10-28 1103 N4PSE         59  05     F8ARK         59  14     0
QSO: 14244 PH 2017-10-28 1104 N4PSE         59  05     D4C           59  35     0
QSO: 14200 PH 2017-10-28 1106 N4PSE         59  05     NP2N          59  08     0
QSO: 14269 PH 2017-10-28 1107 N4PSE         59  05     CR5T          59  14     0
QSO: 14296 PH 2017-10-28 1108 N4PSE         59  05     CN2R          59  33     0
QSO: 14306 PH 2017-10-28 1109 N4PSE         59  05     EC5AN         59  14     0
QSO: 14235 PH 2017-10-28 1121 N4PSE         59  05     DP6T          59  14     0
QSO: 14230 PH 2017-10-28 1121 N4PSE         59  05     IR1Y          59  15     0
QSO: 14223 PH 2017-10-28 1122 N4PSE         59  05     PZ5K          59  09     0
QSO: 14214 PH 2017-10-28 1124 N4PSE         59  05     G2MT          59  14     0
QSO: 14198 PH 2017-10-28 1125 N4PSE         59  05     OK7W          59  15     0
QSO: 14251 PH 2017-10-28 1126 N4PSE         59  05     EI7M          59  14     0
QSO: 14263 PH 2017-10-28 1127 N4PSE         59  05     DF6JC         59  14     0
QSO: 14194 PH 2017-10-28 1128 N4PSE         59  05     S54K          59  15     0
QSO: 14299 PH 2017-10-28 1129 N4PSE         59  05     IT9STX        59  15     0
QSO: 14330 PH 2017-10-28 1130 N4PSE         59  05     IR4M          59  15     0
QSO: 14214 PH 2017-10-28 1131 N4PSE         59  05     GM2T          59  14     0
QSO: 14261 PH 2017-10-28 1132 N4PSE         59  05     TM6M          59  14     0
QSO: 14252 PH 2017-10-28 1134 N4PSE         59  05     HG3DX         59  15     0
QSO: 14266 PH 2017-10-28 1136 N4PSE         59  05     SO4R          59  15     0
QSO: 14265 PH 2017-10-28 1137 N4PSE         59  05     OK5W          59  15     0
QSO: 21321 PH 2017-10-28 1142 N4PSE         59  05     TM3R          59  14     0
QSO: 21377 PH 2017-10-28 1144 N4PSE         59  05     CN2AA         59  33     0
QSO: 21388 PH 2017-10-28 1145 N4PSE         59  05     D4Z           59  35     0
QSO: 21282 PH 2017-10-28 1146 N4PSE         59  05     9A9A          59  15     0
QSO: 21404 PH 2017-10-28 1147 N4PSE         59  05     H2T           59  20     0
QSO: 21334 PH 2017-10-28 1213 N4PSE         59  05     HB9H          59  14     0
QSO: 21217 PH 2017-10-28 1214 N4PSE         59  05     P33W          59  20     0
QSO: 21340 PH 2017-10-28 1215 N4PSE         59  05     UA7K          59  16     0
QSO: 21390 PH 2017-10-28 1216 N4PSE         59  05     C4A           59  20     0
QSO: 21442 PH 2017-10-28 1217 N4PSE         59  05     YU5R          59  15     0
QSO: 21363 PH 2017-10-28 1218 N4PSE         59  05     II2S          59  15     0
QSO: 21243 PH 2017-10-28 1218 N4PSE         59  05     9A7A          59  15     0
QSO: 21233 PH 2017-10-28 1219 N4PSE         59  05     OM3GI         59  15     0
QSO: 21227 PH 2017-10-28 1219 N4PSE         59  05     EF1W          59  14     0
QSO: 21344 PH 2017-10-28 1221 N4PSE         59  05     EF6T          59  14     0
QSO: 21359 PH 2017-10-28 1222 N4PSE         59  05     CR6T          59  14     0
QSO: 21381 PH 2017-10-28 1222 N4PSE         59  05     V26B          59  08     0
QSO: 21254 PH 2017-10-28 1224 N4PSE         59  05     PI4M          59  14     0
QSO: 21244 PH 2017-10-28 1225 N4PSE         59  05     IR1Y          59  15     0
QSO: 21325 PH 2017-10-28 1227 N4PSE         59  05     IK2YCW        59  15     0
QSO: 21440 PH 2017-10-28 1227 N4PSE         59  05     I2SVA         59  15     0
QSO: 21421 PH 2017-10-28 1228 N4PSE         59  05     OK7Z          59  15     0
QSO: 21320 PH 2017-10-28 1228 N4PSE         59  05     SJ0X          59  14     0
QSO: 21275 PH 2017-10-28 1229 N4PSE         59  05     CR6K          59  14     0
QSO: 21303 PH 2017-10-28 1230 N4PSE         59  05     IO5O          59  15     0
QSO: 21342 PH 2017-10-28 1230 N4PSE         59  05     DP7D          59  14     0
QSO: 21405 PH 2017-10-28 1232 N4PSE         59  05     UW5ZM         59  16     0
QSO: 21285 PH 2017-10-28 1235 N4PSE         59  05     T77CX         59  15     0
QSO: 21368 PH 2017-10-28 1236 N4PSE         59  05     LX7I          59  14     0
QSO: 21406 PH 2017-10-28 1237 N4PSE         59  05     OH0V          59  15     0
QSO: 21210 PH 2017-10-28 1241 N4PSE         59  05     DJ7UC         59  14     0
QSO: 21326 PH 2017-10-28 1244 N4PSE         59  05     OM7M          59  15     0
QSO: 21267 PH 2017-10-28 1447 N4PSE         59  05     YT5A          59  15     0
QSO: 21281 PH 2017-10-28 1447 N4PSE         59  05     R7AB          59  16     0
