START-OF-LOG: 3.0
CALLSIGN: PA1P
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 109208
NAME: Jan Mol
LOCATION: DX
OPERATORS: PA1P
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6858.0
SOAPBOX: Could not take part all hours. Enjoyed every QSO!
QSO: 21000 PH 2017-10-28 0808 PA1P          59  14     RJ4P          59  16
QSO: 21000 PH 2017-10-28 0809 PA1P          59  14     UY7MM         59  16
QSO: 21000 PH 2017-10-28 0810 PA1P          59  14     UA4S          59  16
QSO: 21000 PH 2017-10-28 0812 PA1P          59  14     R7AB          59  16
QSO: 21000 PH 2017-10-28 0816 PA1P          59  14     SV1JG         59  20
QSO: 21000 PH 2017-10-28 0822 PA1P          59  14     CN2AA         59  33
QSO: 21000 PH 2017-10-28 0823 PA1P          59  14     RM4HZ         59  16
QSO: 21000 PH 2017-10-28 0824 PA1P          59  14     CQ3W          59  33
QSO: 21000 PH 2017-10-28 0825 PA1P          59  14     H2T           59  20
QSO: 21000 PH 2017-10-28 0825 PA1P          59  14     PA3AAV        59  14
QSO: 21000 PH 2017-10-28 0830 PA1P          59  14     RK3PWR        59  16
QSO: 21000 PH 2017-10-28 0833 PA1P          59  14     SV9RGI        59  20
QSO: 21000 PH 2017-10-28 0834 PA1P          59  14     RT5Z          59  16
QSO: 21000 PH 2017-10-28 0835 PA1P          59  14     CU4DX         59  14
QSO: 21000 PH 2017-10-28 0838 PA1P          59  14     UW1M          59  16
QSO: 14000 PH 2017-10-28 0845 PA1P          59  14     E74Y          59  15
QSO: 14000 PH 2017-10-28 0845 PA1P          59  14     E76WO         59  15
QSO: 14000 PH 2017-10-28 0850 PA1P          59  14     IK5ZWU        59  15
QSO: 14000 PH 2017-10-28 0851 PA1P          59  14     EF8R          59  33
QSO: 14000 PH 2017-10-28 0852 PA1P          59  14     ED5T          59  14
QSO: 14000 PH 2017-10-28 0853 PA1P          59  14     LY7Z          59  15
QSO: 14000 PH 2017-10-28 0854 PA1P          59  14     HG7T          59  15
QSO: 14000 PH 2017-10-28 0856 PA1P          59  14     YT5A          59  15
QSO: 14000 PH 2017-10-28 0858 PA1P          59  14     CN2R          59  33
QSO: 14000 PH 2017-10-28 0902 PA1P          59  14     UR3GU         59  16
QSO: 14000 PH 2017-10-28 0905 PA1P          59  14     YT1X          59  15
QSO: 14000 PH 2017-10-28 0907 PA1P          59  14     YT2ISM        59  15
QSO: 14000 PH 2017-10-28 0911 PA1P          59  14     ES9C          59  15
QSO: 14000 PH 2017-10-28 0913 PA1P          59  14     IK7YTT        59  15
QSO: 14000 PH 2017-10-28 0913 PA1P          59  14     CN3A          59  33
QSO: 14000 PH 2017-10-28 0915 PA1P          59  14     C37RC         59  14
QSO: 14000 PH 2017-10-28 0920 PA1P          59  14     SP9KAO        59  15
QSO: 14000 PH 2017-10-28 0921 PA1P          59  14     CR3W          59  33
QSO: 14000 PH 2017-10-28 0923 PA1P          59  14     EV1R          59  16
QSO: 14000 PH 2017-10-28 0923 PA1P          59  14     IW0HLZ        59  15
QSO: 14000 PH 2017-10-28 0924 PA1P          59  14     R7AB          59  16
QSO: 14000 PH 2017-10-28 0925 PA1P          59  14     EC2DX         59  14
QSO: 14000 PH 2017-10-28 0925 PA1P          59  14     EF1W          59  14
QSO: 14000 PH 2017-10-28 0925 PA1P          59  14     EA3IN         59  14
QSO: 14000 PH 2017-10-28 0927 PA1P          59  14     YU0T          59  15
QSO: 14000 PH 2017-10-28 0927 PA1P          59  14     IT9RBW        59  15
QSO: 14000 PH 2017-10-28 0928 PA1P          59  14     EC5AN         59  14
QSO: 14000 PH 2017-10-28 0928 PA1P          59  14     LY2W          59  15
QSO: 14000 PH 2017-10-28 0930 PA1P          59  14     RT5K          59  16
QSO: 14000 PH 2017-10-28 0931 PA1P          59  14     RT6A          59  16
QSO: 14000 PH 2017-10-28 0932 PA1P          59  14     EF3T          59  14
QSO: 14000 PH 2017-10-28 0932 PA1P          59  14     HG8C          59  15
QSO: 14000 PH 2017-10-28 0934 PA1P          59  14     IR4M          59  15
QSO: 21000 PH 2017-10-28 0949 PA1P          59  14     IO7T          59  15
QSO:  7000 PH 2017-10-28 0952 PA1P          59  14     GI4T          59  14
QSO:  7000 PH 2017-10-28 0953 PA1P          59  14     PI4CC         59  14
QSO:  7000 PH 2017-10-28 0953 PA1P          59  14     OT5A          59  14
QSO:  7000 PH 2017-10-28 0954 PA1P          59  14     DF0HQ         59  14
QSO:  7000 PH 2017-10-28 1038 PA1P          59  14     LX/G1TPA/P    59  14
QSO:  7000 PH 2017-10-28 1039 PA1P          59  14     OT5X          59  14
QSO:  7000 PH 2017-10-28 1041 PA1P          59  14     SK7K          59  14
QSO:  7000 PH 2017-10-28 1041 PA1P          59  14     OK7K          59  15
QSO:  7000 PH 2017-10-28 1042 PA1P          59  14     HB9TOC        59  14
QSO:  7000 PH 2017-10-28 1043 PA1P          59  14     SP7MU         59  15
QSO:  7000 PH 2017-10-28 1044 PA1P          59  14     DP6T          59  14
QSO:  7000 PH 2017-10-28 1045 PA1P          59  14     PI4M          59  14
QSO:  7000 PH 2017-10-28 1048 PA1P          59  14     ON4FN         59  14
QSO:  7000 PH 2017-10-28 1048 PA1P          59  14     TF2LL         59  40
QSO:  7000 PH 2017-10-28 1050 PA1P          59  14     SN1S          59  15
QSO:  7000 PH 2017-10-28 1052 PA1P          59  14     YT0A          59  15
QSO:  7000 PH 2017-10-28 1053 PA1P          59  14     SQ9C          59  15
QSO:  7000 PH 2017-10-28 1054 PA1P          59  14     OK4K          59  15
QSO:  7000 PH 2017-10-28 1054 PA1P          59  14     OL9R          59  15
QSO: 28000 PH 2017-10-28 1056 PA1P          59  14     UA4S          59  16
QSO: 21000 PH 2017-10-28 1101 PA1P          59  14     9H6A          59  15
QSO: 21000 PH 2017-10-28 1105 PA1P          59  14     RM1Q          59  16
QSO: 21000 PH 2017-10-28 1106 PA1P          59  14     EW2W          59  16
QSO: 21000 PH 2017-10-28 1107 PA1P          59  14     IR9W          59  15
QSO: 21000 PH 2017-10-28 1108 PA1P          59  14     UP2L          59  17
QSO: 21000 PH 2017-10-28 1111 PA1P          59  14     R3RZ          59  16
QSO: 21000 PH 2017-10-28 1112 PA1P          59  14     RT6A          59  16
QSO: 21000 PH 2017-10-28 1112 PA1P          59  14     UA7K          59  16
QSO: 21000 PH 2017-10-28 1113 PA1P          59  14     UW5U          59  16
QSO: 21000 PH 2017-10-28 1115 PA1P          59  14     UY1HY         59  16
QSO: 21000 PH 2017-10-28 1140 PA1P          59  14     EE7P          59  14
QSO: 21000 PH 2017-10-28 1142 PA1P          59  14     SO4B          59  15
QSO: 21000 PH 2017-10-28 1142 PA1P          59  14     SQ9V          59  15
QSO: 21000 PH 2017-10-28 1143 PA1P          59  14     RY6Y          59  16
QSO: 21000 PH 2017-10-28 1144 PA1P          59  14     IQ8CS         59  15
QSO: 21000 PH 2017-10-28 1145 PA1P          59  14     A44A          59  21
QSO: 21000 PH 2017-10-28 1145 PA1P          59  14     A73A          59  21
