START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.46.0
CONTEST: REF-SSB
LOCATION: 54
GRID-LOCATOR: JN38KN
CALLSIGN: F4BIT
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 753543
OPERATORS: F4BIT
CLUB: UFT
NAME: MANGEOLLE Stephane
CERTIFICATE: NO
SOAPBOX: TRX : IC7300 Ant : LOOP 81m, MA5V - Sirtel2000 
QSO:  3590 PH 2023-02-25 0649 F4BIT         59  54     F8EFU         59  57    
QSO:  3600 PH 2023-02-25 0651 F4BIT         59  54     F5OAM         59  47    
QSO:  3768 PH 2023-02-25 0654 F4BIT         59  54     F6KDL         59  68    
QSO:  3765 PH 2023-02-25 0655 F4BIT         59  54     TM3P          59  38    
QSO:  3757 PH 2023-02-25 0656 F4BIT         59  54     F4KIY         59  57    
QSO:  3752 PH 2023-02-25 0656 F4BIT         59  54     F4EIK         59  52    
QSO:  3748 PH 2023-02-25 0657 F4BIT         59  54     F4ARU         59  31    
QSO:  3743 PH 2023-02-25 0658 F4BIT         59  54     F6CPX         59  24    
QSO:  3720 PH 2023-02-25 0659 F4BIT         59  54     F6KNB         59  33    
QSO:  3715 PH 2023-02-25 0700 F4BIT         59  54     F6HQP         59  73    
QSO:  3712 PH 2023-02-25 0700 F4BIT         59  54     F5MBM         59  54    
QSO:  3702 PH 2023-02-25 0702 F4BIT         59  54     F4AIF         59  01    
QSO:  3694 PH 2023-02-25 0703 F4BIT         59  54     F6HYE         59  74    
QSO:  3678 PH 2023-02-25 0705 F4BIT         59  54     F6KSD         59  25    
QSO:  3672 PH 2023-02-25 0706 F4BIT         59  54     F6KVJ/P       59  80    
QSO:  3672 PH 2023-02-25 0706 F4BIT         59  54     F4DVO         59  45    
QSO:  3664 PH 2023-02-25 0708 F4BIT         59  54     TM2RJ         59  45    
QSO:  3658 PH 2023-02-25 0708 F4BIT         59  54     TM5G          59  44    
QSO:  3500 PH 2023-02-25 0710 F4BIT         59  54     F8DSN         59  88    
QSO:  3636 PH 2023-02-25 0714 F4BIT         59  54     TM2M          59  85    
QSO:  3630 PH 2023-02-25 0714 F4BIT         59  54     F5KCC         59  89    
QSO:  3629 PH 2023-02-25 0715 F4BIT         59  54     F6KOP         59  77    
QSO:  3622 PH 2023-02-25 0715 F4BIT         59  54     F5JFU         59  58    
QSO:  3602 PH 2023-02-25 0722 F4BIT         59  54     F4CKV         59  03    
QSO:  3618 PH 2023-02-25 0723 F4BIT         59  54     F6KLO         59  19    
QSO:  3627 PH 2023-02-25 0724 F4BIT         59  54     F4HTO         59  62    
QSO:  3638 PH 2023-02-25 0725 F4BIT         59  54     F6KFH         59  57    
QSO:  3643 PH 2023-02-25 0725 F4BIT         59  54     F6FET         59  53    
QSO:  3661 PH 2023-02-25 0726 F4BIT         59  54     F5KBG         59  03    
QSO:  3675 PH 2023-02-25 0728 F4BIT         59  54     F5KDC         59  63    
QSO:  3680 PH 2023-02-25 0729 F4BIT         59  54     F4FLH         59  60    
QSO:  3684 PH 2023-02-25 0731 F4BIT         59  54     TM4K          59  03    
QSO:  3698 PH 2023-02-25 0732 F4BIT         59  54     F4HYT         59  19    
QSO:  3700 PH 2023-02-25 0733 F4BIT         59  54     F6FTB         59  21    
QSO:  3730 PH 2023-02-25 0737 F4BIT         59  54     F5LIT         59  50    
QSO: 28380 PH 2023-02-25 0738 F4BIT         59  54     FR4QT         59  FR    
QSO: 28432 PH 2023-02-25 0739 F4BIT         59  54     FR8UA         59  FR    
QSO:  3745 PH 2023-02-25 0749 F4BIT         59  54     F5RGY/P       59  25    
QSO:  3754 PH 2023-02-25 0750 F4BIT         59  54     F6GNG         59  76    
QSO:  3761 PH 2023-02-25 0751 F4BIT         59  54     F8KCF         59  74    
QSO:  3772 PH 2023-02-25 0752 F4BIT         59  54     F6KFI         59  72    
QSO:  3774 PH 2023-02-25 0753 F4BIT         59  54     F5LIW         59  21    
QSO:  3778 PH 2023-02-25 0755 F4BIT         59  54     F4IIQ         59  23    
QSO:  3785 PH 2023-02-25 0755 F4BIT         59  54     F5IRP         59  85    
QSO:  3788 PH 2023-02-25 0756 F4BIT         59  54     F4AHP         59  59    
QSO:  7190 PH 2023-02-25 0802 F4BIT         59  54     F4FJZ         59  73    
QSO:  7187 PH 2023-02-25 0803 F4BIT         59  54     TM72G         59  72    
QSO:  7173 PH 2023-02-25 0804 F4BIT         59  54     F6CZV/P       59  29    
QSO:  7000 PH 2023-02-25 0806 F4BIT         59  54     TM5TT         59  41    
QSO:  7166 PH 2023-02-25 0808 F4BIT         59  54     F4EOH         59  21    
QSO:  7000 PH 2023-02-25 0809 F4BIT         59  54     F5JFU         59  58    
QSO:  7159 PH 2023-02-25 0809 F4BIT         59  54     TM4K          59  03    
QSO:  7157 PH 2023-02-25 0810 F4BIT         59  54     F5RQP         59  50    
QSO:  7147 PH 2023-02-25 0813 F4BIT         59  54     TK4RB         59  2B    
QSO:  7000 PH 2023-02-25 0815 F4BIT         59  54     F4KKF         59  13    
QSO:  7120 PH 2023-02-25 0816 F4BIT         59  54     F8KHN         59  76    
QSO:  7000 PH 2023-02-25 0818 F4BIT         59  54     TK5KP         59  2A    
QSO:  7108 PH 2023-02-25 0820 F4BIT         59  54     F4HTO         59  62    
QSO:  7088 PH 2023-02-25 0821 F4BIT         59  54     TM8NAN        59  63    
QSO:  7062 PH 2023-02-25 0825 F4BIT         59  54     F4GQP         59  18    
QSO:  7054 PH 2023-02-25 0827 F4BIT         59  54     F5KCK         59  78    
QSO:  7059 PH 2023-02-25 0828 F4BIT         59  54     F5OAM         59  47    
QSO:  7066 PH 2023-02-25 0828 F4BIT         59  54     HB9TWU        59  095   
QSO:  7068 PH 2023-02-25 0829 F4BIT         59  54     F6KJJ         59  38    
QSO:  7080 PH 2023-02-25 0831 F4BIT         59  54     F8KGZ         59  54    
QSO:  7086 PH 2023-02-25 0833 F4BIT         59  54     F4FHR         59  86    
QSO:  7092 PH 2023-02-25 0836 F4BIT         59  54     F5PWK         59  69    
QSO:  7095 PH 2023-02-25 0836 F4BIT         59  54     F4GGQ         59  29    
QSO:  7101 PH 2023-02-25 0837 F4BIT         59  54     F5BMI         59  46    
QSO:  7104 PH 2023-02-25 0838 F4BIT         59  54     F5KAZ         59  59    
QSO:  7000 PH 2023-02-25 0839 F4BIT         59  54     F6KOP         59  77    
QSO:  7140 PH 2023-02-25 0841 F4BIT         59  54     F4EIK         59  52    
QSO:  7147 PH 2023-02-25 0842 F4BIT         59  54     TM69YL        59  69    
