START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: W1QK
LOCATION: CT
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 2062509
NAME: Dan Fegley
OPERATORS: W1QK
CLUB: Yankee Clipper Contest Club
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7342.0
SOAPBOX: Thank you for sponsoring the contest. 73 - Dan, W1QK
QSO: 14020 CW 2018-11-24 0013 W1QK          599 5      PP5EJ         599 11
QSO: 14030 CW 2018-11-24 0014 W1QK          599 5      PY2NY         599 11
QSO: 14007 CW 2018-11-24 0017 W1QK          599 5      JE6RPM        599 25
QSO: 14052 CW 2018-11-24 0017 W1QK          599 5      7K1CPT        599 25
QSO: 14057 CW 2018-11-24 0018 W1QK          599 5      JA6LCJ        599 25
QSO: 14069 CW 2018-11-24 0019 W1QK          599 5      JA1BPA        599 25
QSO: 14066 CW 2018-11-24 0021 W1QK          599 5      LU7HF         599 13
QSO: 14062 CW 2018-11-24 0022 W1QK          599 5      JF9JTS        599 25
QSO: 14056 CW 2018-11-24 0024 W1QK          599 5      JL3JRY        599 25
QSO: 14055 CW 2018-11-24 0024 W1QK          599 5      JR1IJV        599 25
QSO: 14055 CW 2018-11-24 0029 W1QK          599 5      BG3UPA        599 24
QSO: 14050 CW 2018-11-24 0029 W1QK          599 5      6V7A          599 35
QSO: 14041 CW 2018-11-24 0036 W1QK          599 5      JH3CUL        599 25
QSO:  7002 CW 2018-11-24 0041 W1QK          599 5      LZ5R          599 20
QSO:  7003 CW 2018-11-24 0042 W1QK          599 5      DF0HQ         599 14
QSO:  7006 CW 2018-11-24 0044 W1QK          599 5      EA5RS         599 14
QSO:  7007 CW 2018-11-24 0045 W1QK          599 5      F5MUX         599 14
QSO:  7007 CW 2018-11-24 0046 W1QK          599 5      IR6T          599 15
QSO:  7008 CW 2018-11-24 0047 W1QK          599 5      HB9FKK        599 14
QSO:  7008 CW 2018-11-24 0049 W1QK          599 5      LY7Z          599 15
QSO:  7009 CW 2018-11-24 0050 W1QK          599 5      S52AW         599 15
QSO:  7010 CW 2018-11-24 0052 W1QK          599 5      CN2CO         599 33
QSO:  7012 CW 2018-11-24 0054 W1QK          599 5      TM3R          599 14
QSO:  7012 CW 2018-11-24 0055 W1QK          599 5      TK0C          599 15
QSO:  7012 CW 2018-11-24 0056 W1QK          599 5      OM7RU         599 15
QSO:  7013 CW 2018-11-24 0057 W1QK          599 5      DL6FBL        599 14
QSO:  7014 CW 2018-11-24 0103 W1QK          599 5      9A7A          599 15
QSO:  7015 CW 2018-11-24 0106 W1QK          599 5      HG5A          599 15
QSO:  7016 CW 2018-11-24 0106 W1QK          599 5      S59ABC        599 15
QSO:  7016 CW 2018-11-24 0107 W1QK          599 5      US2IR         599 16
QSO:  7016 CW 2018-11-24 0107 W1QK          599 5      SV1ME         599 20
QSO:  7017 CW 2018-11-24 0109 W1QK          599 5      G3P           599 14
QSO:  7018 CW 2018-11-24 0111 W1QK          599 5      S56X          599 15
QSO:  7019 CW 2018-11-24 0112 W1QK          599 5      E70T          599 15
QSO:  7020 CW 2018-11-24 0112 W1QK          599 5      W9RE          599 04
QSO:  7020 CW 2018-11-24 0113 W1QK          599 5      S52ZW         599 15
QSO:  7021 CW 2018-11-24 0114 W1QK          599 5      SN5W          599 15
QSO:  7022 CW 2018-11-24 0116 W1QK          599 5      YT7A          599 15
QSO:  7023 CW 2018-11-24 0117 W1QK          599 5      HB9CA         599 14
QSO:  7023 CW 2018-11-24 0117 W1QK          599 5      VE7SCC        599 03
QSO:  7024 CW 2018-11-24 0118 W1QK          599 5      HA8A          599 15
QSO:  7025 CW 2018-11-24 0118 W1QK          599 5      RT5G          599 16
QSO:  7025 CW 2018-11-24 0119 W1QK          599 5      OK2D          599 15
QSO:  7026 CW 2018-11-24 0120 W1QK          599 5      EA5KM         599 14
QSO:  7026 CW 2018-11-24 0120 W1QK          599 5      TM6M          599 14
QSO:  7028 CW 2018-11-24 0121 W1QK          599 5      RT6A          599 16
QSO:  7028 CW 2018-11-24 0122 W1QK          599 5      LZ9W          599 20
QSO:  7029 CW 2018-11-24 0122 W1QK          599 5      IR4M          599 15
QSO:  7030 CW 2018-11-24 0123 W1QK          599 5      DR4A          599 14
QSO:  7031 CW 2018-11-24 0123 W1QK          599 5      YT5A          599 15
QSO:  7033 CW 2018-11-24 0125 W1QK          599 5      PI4CC         599 14
QSO:  7033 CW 2018-11-24 0127 W1QK          599 5      P33W          599 20
