START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: OL6D
CATEGORY: SINGLE-OP ALL LOW CW
CATEGORY-OVERLAY: 
CLAIMED-SCORE: 25676
CLUB: OK7O
CONTEST: EUHFC
OPERATORS: OL6D 
NAME: Tom
ADDRESS:  Plzen, CZECH REPUBLIC
ADDRESS: 
E-MAIL: ok1dwq@nagano.cz
SOAPBOX: 100W Flex6400 remoted 25km far / ant / dpole/vertical/4SQ/yagi
QSO: 14013 CW 2020-08-01 1938 OL6D          599 79     YT6T          599 62
QSO: 14014 CW 2020-08-01 1938 OL6D          599 79     YP0HQ         599 95
QSO: 14036 CW 2020-08-01 1939 OL6D          599 79     UA4FER        599 75
QSO: 14026 CW 2020-08-01 1940 OL6D          599 79     RL3T          599 95
QSO: 14015 CW 2020-08-01 1941 OL6D          599 79     LZ5R          599 85
QSO: 14003 CW 2020-08-01 1943 OL6D          599 79     SM0FPR        599 73
QSO: 14004 CW 2020-08-01 1943 OL6D          599 79     LZ3M          599 87
QSO: 14005 CW 2020-08-01 1945 OL6D          599 79     RV3FF         599 80
QSO: 14005 CW 2020-08-01 1945 OL6D          599 79     RN6AE         599 75
QSO: 14015 CW 2020-08-01 1950 OL6D          599 79     LZ2PS         599 87
QSO: 14025 CW 2020-08-01 1952 OL6D          599 79     RN6AT         599 75
QSO: 14017 CW 2020-08-01 1954 OL6D          599 79     SB7S          599 85
QSO: 14029 CW 2020-08-01 1955 OL6D          599 79     R5AJ          599 73
QSO: 14031 CW 2020-08-01 1955 OL6D          599 79     SM5EPO        599 70
QSO: 14014 CW 2020-08-01 1959 OL6D          599 79     R7AW          599 80
QSO: 14014 CW 2020-08-01 2000 OL6D          599 79     EI6JK         599 00
QSO: 14019 CW 2020-08-01 2052 OL6D          599 79     EA1WH         599 96
QSO:  7020 CW 2020-08-01 2056 OL6D          599 79     F8DGY         599 01
QSO:  7018 CW 2020-08-01 2057 OL6D          599 79     EU8U          599 79
QSO:  7018 CW 2020-08-01 2057 OL6D          599 79     UA6CC         599 81
QSO:  7018 CW 2020-08-01 2058 OL6D          599 79     ON6NL         599 75
QSO:  7018 CW 2020-08-01 2058 OL6D          599 79     EU4U          599 85
QSO:  7018 CW 2020-08-01 2059 OL6D          599 79     R5CA          599 14
QSO:  7018 CW 2020-08-01 2059 OL6D          599 79     LZ3M          599 87
QSO:  7018 CW 2020-08-01 2100 OL6D          599 79     UZ1WW         599 68
QSO:  7018 CW 2020-08-01 2100 OL6D          599 79     EW8DX         599 65
QSO:  7018 CW 2020-08-01 2100 OL6D          599 79     LY7T          599 80
QSO:  7018 CW 2020-08-01 2100 OL6D          599 79     DL5JS         599 77
QSO:  7018 CW 2020-08-01 2101 OL6D          599 79     SM5EPO        599 70
QSO:  7018 CW 2020-08-01 2101 OL6D          599 79     RU3XW         599 73
QSO:  7018 CW 2020-08-01 2102 OL6D          599 79     UX1VT         599 77
