START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: EA PSK63 Contest
CALLSIGN: SP7SMF
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: SP7SMF
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for EA PSK63 Contest URE/EAPSK63/2015.
QSO: 21073 PS 2015-03-14 1604 SP7SMF        599 0001 RU4PH         599 0001
QSO: 21071 RY 2015-03-14 1606 SP7SMF        599 2 R4CO          599 001
QSO: 21069 RY 2015-03-14 1610 SP7SMF        599 004 EA4EQD        599 M
QSO: 14071 PM 2015-03-14 1621 SP7SMF        599 005 A92AA         599 013
QSO: 14071 RY 2015-03-14 1624 SP7SMF        599 008 F5SIZ         599 004
QSO: 14073 PS 2015-03-14 1624 SP7SMF        599 0006 IW3GST        599 0009
QSO: 14070 PS 2015-03-14 1627 SP7SMF        599 0008 RN3ZMX        599 0006
QSO: 14071 PM 2015-03-14 1629 SP7SMF        599 010 I2ORX         599 021
QSO: 14000 PK 2015-03-14 1650 SP7SMF        599 011 RD3ZQ         599 031
QSO: 14073 PS 2015-03-14 1652 SP7SMF        599 0014 EA1IFU        599 C
QSO: 14071 PS 2015-03-14 1657 SP7SMF        599 015 UT2GA         599 034
QSO: 14071 PM 2015-03-14 1659 SP7SMF        599 016 YO4CVV        599 025
QSO: 14071 RY 2015-03-14 1701 SP7SMF        599 017 PD8SL         599 016
QSO: 14071 RY 2015-03-14 1701 SP7SMF        599 018 RU3XB         599 023
QSO: 14000 RY 2015-03-14 1704 SP7SMF        599 019 2E0VDS        599 029
QSO: 14070 RY 2015-03-14 1712 SP7SMF        599 022 UA3XO         599 034
QSO: 14071 PM 2015-03-14 1713 SP7SMF        599 023 IK2AUK        599 018
QSO: 14071 PM 2015-03-14 1714 SP7SMF        599 024 R3PV          599 069
QSO: 14072 PM 2015-03-14 1715 SP7SMF        599 025 RD3AL         599 012
QSO: 14071 RY 2015-03-14 1717 SP7SMF        599 026 PD0WR         599 020
QSO: 14071 PM 2015-03-14 1719 SP7SMF        599 027 PB0ACU        599 046
QSO: 14071 RY 2015-03-14 1721 SP7SMF        599 028 RN4HFJ        599 042
QSO: 14071 PM 2015-03-14 1722 SP7SMF        599 030 RX6BH         599 026
QSO: 14070 PM 2015-03-14 1723 SP7SMF        599 031 R6LAQ         599 029
QSO: 14070 PS 2015-03-14 1725 SP7SMF        599 001 PD0ROC        599 027
QSO: 14071 PM 2015-03-14 1728 SP7SMF        599 034 US5LPO        599 053
QSO: 14071 PS 2015-03-14 1729 SP7SMF        599 035 DJ0JG         599 015
QSO: 14072 PM 2015-03-14 1730 SP7SMF        599 036 PE1CPJ        599 045
QSO: 14070 PM 2015-03-14 1733 SP7SMF        599 037 UN7EG         599 032
QSO: 14071 PS 2015-03-14 1735 SP7SMF        599 040 IK5FKF        599 063
QSO: 14071 RY 2015-03-14 1740 SP7SMF        599 042 EA1GHH        599 004
QSO: 14069 RY 2015-03-14 1745 SP7SMF        599 003 PA3EPO        599 007
QSO: 14071 PM 2015-03-14 1748 SP7SMF        599 042 M0NPQ         599 073
QSO:  7039 PM 2015-03-14 1754 SP7SMF        599 043 RU6CH         599 083
QSO:  7042 RY 2015-03-14 1756 SP7SMF        599 044 UX5IQ         599 042
QSO:  7000 PK 2015-03-14 1757 SP7SMF        599 045 RD3ZQ         599 074
QSO:  7042 RY 2015-03-14 1759 SP7SMF        599 046 DG0CG         599 055
QSO:  7042 RY 2015-03-14 1759 SP7SMF        599 047 UA4HBM        599 035
QSO:  7042 PM 2015-03-14 1801 SP7SMF        599 048 UI9O          599 059
QSO:  7042 PS 2015-03-14 1801 SP7SMF        599 050 UY5TE         599 050
QSO:  7000 PM 2015-03-14 1802 SP7SMF        599 049 EW8OF         599 058
QSO:  7000 PM 2015-03-14 1806 SP7SMF        599 051 YU7AOP        599 040
QSO:  7040 PM 2015-03-14 1813 SP7SMF        599 054 RU4A          599 056
QSO:  7042 PM 2015-03-14 1813 SP7SMF        599 053 UR4MG         599 061
QSO:  7042 PM 2015-03-14 1814 SP7SMF        599 055 SP4CJA        599 094
QSO:  7042 PM 2015-03-14 1816 SP7SMF        599 056 YO5OO         599 070
QSO:  7040 PM 2015-03-14 1819 SP7SMF        599 058 YO2LXW        599 008
