START-OF-LOG: 3.0
CALLSIGN: HB9GA
CONTEST: EUHFC
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: MIXED
CLAIMED-SCORE: 23165
NAME: Freie Funker Ostschweiz
ADDRESS: Weideggstrasse 14
ADDRESS: Flawil, SG 9230
ADDRESS: SWITZERLAND
ADDRESS-CITY: Flawil
ADDRESS-POSTALCODE: 9230
ADDRESS-COUNTRY: Switzerland
OPERATORS: HB9DXB
EMAIL: hb9dxb@freiefunker.clubdesk.com
CLUB: Bavarian Contest Club
CREATED-BY: N1MM Logger+ 1.0.8501.0
SOAPBOX:LowBands: Home brewed Flagpole with CG 3000 / 100 Watt
QSO: 21020 CW 2025-08-02 1201 HB9GA         599 01     SP2QG         599 78       
QSO: 21021 CW 2025-08-02 1207 HB9GA         599 01     OG1F          599 88       
QSO: 21022 CW 2025-08-02 1208 HB9GA         599 01     UW5Y          599 88       
QSO: 21022 CW 2025-08-02 1209 HB9GA         599 01     SP4AWE        599 63       
QSO: 21023 CW 2025-08-02 1211 HB9GA         599 01     EC3A          599 79       
QSO: 21027 CW 2025-08-02 1214 HB9GA         599 01     EC5K          599 96       
QSO: 21034 CW 2025-08-02 1215 HB9GA         599 01     YL2GD         599 73       
QSO: 21036 CW 2025-08-02 1216 HB9GA         599 01     SE5E          599 76       
QSO: 21022 CW 2025-08-02 1218 HB9GA         599 01     EW4A          599 82       
QSO: 21013 CW 2025-08-02 1220 HB9GA         599 01     RT2F          599 77       
QSO: 21230 PH 2025-08-02 1229 HB9GA         59  01     SO7E          59  16       
QSO: 14034 CW 2025-08-02 1233 HB9GA         599 01     F5SGI         599 95       
QSO: 14033 CW 2025-08-02 1237 HB9GA         599 01     SE5E          599 76       
QSO: 14027 CW 2025-08-02 1248 HB9GA         599 01     YL2BJ         599 72       
QSO: 14024 CW 2025-08-02 1249 HB9GA         599 01     DL3KWF        599 58       
QSO: 14023 CW 2025-08-02 1252 HB9GA         599 01     UA6CC         599 80       
QSO: 14022 CW 2025-08-02 1253 HB9GA         599 01     UR1UU         599 67       
QSO: 14021 CW 2025-08-02 1253 HB9GA         599 01     EC3A          599 79       
QSO: 14020 CW 2025-08-02 1255 HB9GA         599 01     LA8HGA        599 88       
QSO: 14019 CW 2025-08-02 1257 HB9GA         599 01     ZA1EM         599 17       
QSO: 14016 CW 2025-08-02 1258 HB9GA         599 01     YO3LW         599 96       
QSO: 14016 CW 2025-08-02 1258 HB9GA         599 01     LZ5EE         599 98       
QSO: 14012 CW 2025-08-02 1259 HB9GA         599 01     M4T           599 97       
QSO: 14011 CW 2025-08-02 1301 HB9GA         599 01     OH2NP         599 71       
QSO: 14008 CW 2025-08-02 1302 HB9GA         599 01     LZ1SA         599 69       
QSO: 14007 CW 2025-08-02 1303 HB9GA         599 01     YL5T          599 04       
QSO: 14027 CW 2025-08-02 1311 HB9GA         599 01     SP1NY         599 74       
QSO: 14032 CW 2025-08-02 1313 HB9GA         599 01     SP2QG         599 78       
QSO: 14032 CW 2025-08-02 1314 HB9GA         599 01     RN6AT         599 70       
QSO: 14034 CW 2025-08-02 1315 HB9GA         599 01     OH0R          599 59       
QSO: 14037 CW 2025-08-02 1316 HB9GA         599 01     OG1F          599 88       
QSO: 14037 CW 2025-08-02 1319 HB9GA         599 01     SM2EKM        599 69       
QSO: 14038 CW 2025-08-02 1320 HB9GA         599 01     EU2F          599 76       
QSO: 14040 CW 2025-08-02 1322 HB9GA         599 01     ZA1RR         599 95       
QSO: 14040 CW 2025-08-02 1325 HB9GA         599 01     RU1A          599 85       
QSO: 14040 CW 2025-08-02 1328 HB9GA         599 01     UT4LW         599 98       
QSO: 14040 CW 2025-08-02 1330 HB9GA         599 01     RJ2M          599 08       
QSO: 14169 PH 2025-08-02 1339 HB9GA         59  01     EW4A          59  82       
QSO: 14187 PH 2025-08-02 1343 HB9GA         59  01     OZ11A         59  89       
QSO: 14205 PH 2025-08-02 1345 HB9GA         59  01     SK5A          59  75       
QSO: 14209 PH 2025-08-02 1346 HB9GA         59  01     IT9BYS        59  85       
QSO: 14212 PH 2025-08-02 1348 HB9GA         59  01     LZ6DX         59  11       
QSO: 14215 PH 2025-08-02 1349 HB9GA         59  01     SP8R          59  09       
QSO: 14222 PH 2025-08-02 1350 HB9GA         59  01     SM3U          59  81       
QSO: 14233 PH 2025-08-02 1355 HB9GA         59  01     RA3OA         59  82       
QSO: 14236 PH 2025-08-02 1357 HB9GA         59  01     OZ2DAN        59  98       
QSO: 14240 PH 2025-08-02 1358 HB9GA         59  01     YO7WC         59  91       
QSO: 14257 PH 2025-08-02 1400 HB9GA         59  01     SN7T          59  09       
QSO: 14274 PH 2025-08-02 1402 HB9GA         59  01     SP3H          59  08       
QSO: 14275 PH 2025-08-02 1403 HB9GA         59  01     SN8Z          59  02       
QSO:  7019 CW 2025-08-02 1406 HB9GA         599 01     HA4A          599 78       
QSO:  7021 CW 2025-08-02 1410 HB9GA         599 01     9A2KD         599 69       
QSO:  7028 CW 2025-08-02 1424 HB9GA         599 01     SP9DUX        599 67       
QSO:  7024 CW 2025-08-02 1428 HB9GA         599 01     HA3HK         599 74       
QSO:  7024 CW 2025-08-02 1429 HB9GA         599 01     S58R          599 78       
QSO:  7024 CW 2025-08-02 1430 HB9GA         599 01     DF7CP         599 83       
QSO:  7024 CW 2025-08-02 1434 HB9GA         599 01     IK5TBK        599 73       
QSO: 21009 CW 2025-08-02 1437 HB9GA         599 01     SP5Y          599 93       
QSO: 21020 CW 2025-08-02 1440 HB9GA         599 01     HG5D          599 78       
QSO: 21025 CW 2025-08-02 1441 HB9GA         599 01     EW1I          599 90       
QSO: 21030 CW 2025-08-02 1445 HB9GA         599 01     R1DX          599 79       
QSO: 21029 CW 2025-08-02 1446 HB9GA         599 01     YL2BJ         599 72       
QSO: 21022 CW 2025-08-02 1457 HB9GA         599 01     IT9KCD        599 06       
QSO: 21007 CW 2025-08-02 1459 HB9GA         599 01     OK1TN         599 68       
QSO: 21017 CW 2025-08-02 1517 HB9GA         599 01     UA6RCN        599 73       
QSO: 21026 CW 2025-08-02 1519 HB9GA         599 01     UA6CC         599 80       
QSO: 21036 CW 2025-08-02 1520 HB9GA         599 01     HA7UI         599 73       
QSO: 21043 CW 2025-08-02 1522 HB9GA         599 01     EA5XA         599 94       
X-QSO: 21044 CW 2025-08-02 1523 HB9GA         599 01     YV5A          599 73       
QSO: 21046 CW 2025-08-02 1524 HB9GA         599 01     EU4E          599 77       
QSO: 21035 CW 2025-08-02 1529 HB9GA         599 01     SP3VT         599 76       
QSO: 21041 CW 2025-08-02 1533 HB9GA         599 01     YT6X          599 00       
QSO: 21016 CW 2025-08-02 1535 HB9GA         599 01     EA4AOC        599 95       
QSO: 21018 CW 2025-08-02 1536 HB9GA         599 01     HA8UT         599 71       
QSO: 21033 CW 2025-08-02 1539 HB9GA         599 01     EA5PI         599 18       
QSO: 21028 CW 2025-08-02 1540 HB9GA         599 01     UR7EU         599 00       
QSO: 21019 CW 2025-08-02 1542 HB9GA         599 01     UR1UU         599 67       
QSO: 21015 CW 2025-08-02 1544 HB9GA         599 01     LZ6K          599 86       
QSO: 21012 CW 2025-08-02 1545 HB9GA         599 01     LZ1SA         599 69       
QSO: 21007 CW 2025-08-02 1547 HB9GA         599 01     EU4A          599 80       
QSO: 21025 CW 2025-08-02 1556 HB9GA         599 01     OH0R          599 59       
QSO: 21033 CW 2025-08-02 1559 HB9GA         599 01     E7DX          599 88       
QSO: 21044 CW 2025-08-02 1602 HB9GA         599 01     UW7LL         599 00       
QSO: 21025 CW 2025-08-02 1604 HB9GA         599 01     UR8RF         599 84       
QSO: 21020 CW 2025-08-02 1605 HB9GA         599 01     YL7X          599 82       
QSO: 21011 CW 2025-08-02 1652 HB9GA         599 01     LZ4AE         599 95       
QSO: 21014 CW 2025-08-02 1653 HB9GA         599 01     LY6O          599 79       
QSO: 21015 CW 2025-08-02 1720 HB9GA         599 01     YL2PJ         599 69       
QSO: 21015 CW 2025-08-02 1722 HB9GA         599 01     UT2II         599 74       
QSO: 21015 CW 2025-08-02 1722 HB9GA         599 01     EU2F          599 76       
QSO: 21015 CW 2025-08-02 1727 HB9GA         599 01     YT2AAA        599 07       
QSO: 21009 CW 2025-08-02 1729 HB9GA         599 01     EA5OH         599 13       
QSO: 21035 CW 2025-08-02 1735 HB9GA         599 01     F5SGI         599 95       
QSO:  7001 CW 2025-08-02 1738 HB9GA         599 01     RT4HAB        599 00       
X-QSO:  7004 CW 2025-08-02 1740 HB9GA         599 01     YU3A          599 71       
QSO:  7006 CW 2025-08-02 1744 HB9GA         599 01     YT6X          599 00       
QSO:  7008 CW 2025-08-02 1745 HB9GA         599 01     HA1RJ         599 84       
QSO:  7008 CW 2025-08-02 1747 HB9GA         599 01     OR5O          599 92       
QSO:  7010 CW 2025-08-02 1748 HB9GA         599 01     9A2CT         599 72       
QSO:  7011 CW 2025-08-02 1749 HB9GA         599 01     PA2A          599 81       
QSO:  7012 CW 2025-08-02 1753 HB9GA         599 01     HA6PJ         599 86       
QSO:  7013 CW 2025-08-02 1832 HB9GA         599 01     II1Y          599 17       
QSO:  7013 CW 2025-08-02 1832 HB9GA         599 01     OM7M          599 87       
QSO:  7013 CW 2025-08-02 1834 HB9GA         599 01     I3FEY         599 77       
QSO:  7014 CW 2025-08-02 1841 HB9GA         599 01     SP1D          599 96       
QSO:  7015 CW 2025-08-02 1842 HB9GA         599 01     LA2AB         599 66       
QSO:  7016 CW 2025-08-02 1848 HB9GA         599 01     HA7UI         599 73       
QSO:  7017 CW 2025-08-02 1851 HB9GA         599 01     ON4CAU        599 94       
QSO:  7017 CW 2025-08-02 1852 HB9GA         599 01     IK3T          599 90       
QSO:  7018 CW 2025-08-02 1856 HB9GA         599 01     HA3HO         599 76       
QSO:  7019 CW 2025-08-02 1904 HB9GA         599 01     UZ6U          599 85       
QSO:  7020 CW 2025-08-02 1907 HB9GA         599 01     SP5Y          599 93       
QSO:  7020 CW 2025-08-02 1908 HB9GA         599 01     9A1UN         599 99       
QSO:  7021 CW 2025-08-02 1910 HB9GA         599 01     E77EA         599 87       
QSO:  7021 CW 2025-08-02 1911 HB9GA         599 01     YL2BJ         599 72       
QSO:  7021 CW 2025-08-02 1914 HB9GA         599 01     UR7EU         599 00       
QSO:  7022 CW 2025-08-02 1915 HB9GA         599 01     PA7F          599 80       
QSO:  7023 CW 2025-08-02 1916 HB9GA         599 01     EU1A          599 95       
QSO:  7023 CW 2025-08-02 1919 HB9GA         599 01     DL5YM         599 71       
QSO:  7023 CW 2025-08-02 1919 HB9GA         599 01     OM6TU         599 88       
QSO:  7024 CW 2025-08-02 1920 HB9GA         599 01     OM5R          599 89       
QSO:  7025 CW 2025-08-02 1926 HB9GA         599 01     YU1RA         599 72       
QSO:  7026 CW 2025-08-02 1941 HB9GA         599 01     OH0R          599 59       
QSO:  7026 CW 2025-08-02 1942 HB9GA         599 01     SE5E          599 76       
QSO:  7027 CW 2025-08-02 1943 HB9GA         599 01     DF1LON        599 94       
QSO:  7027 CW 2025-08-02 1944 HB9GA         599 01     HA3NU         599 72       
QSO:  7027 CW 2025-08-02 1945 HB9GA         599 01     SN5N          599 69       
QSO:  7028 CW 2025-08-02 1946 HB9GA         599 01     S56A          599 62       
X-QSO:  7028 CW 2025-08-02 1948 HB9GA         599 01     YU5A          599 73       
QSO:  7029 CW 2025-08-02 1956 HB9GA         599 01     LZ9W          599 21       
QSO:  7031 CW 2025-08-02 1959 HB9GA         599 01     LX7I          599 82       
QSO:  7032 CW 2025-08-02 2004 HB9GA         599 01     EU2F          599 76       
QSO:  7033 CW 2025-08-02 2008 HB9GA         599 01     S59AA         599 50       
QSO:  7034 CW 2025-08-02 2015 HB9GA         599 01     E7CW          599 82       
QSO:  7035 CW 2025-08-02 2015 HB9GA         599 01     HA7A          599 73       
QSO:  7035 CW 2025-08-02 2018 HB9GA         599 01     EZ0T          599 82       
QSO:  7036 CW 2025-08-02 2019 HB9GA         599 01     HA4CW         599 95       
QSO:  7038 CW 2025-08-02 2025 HB9GA         599 01     OM4WM         599 51       
QSO:  7039 CW 2025-08-02 2027 HB9GA         599 01     IK5MEP        599 89       
QSO:  7039 CW 2025-08-02 2028 HB9GA         599 01     HA3OU         599 83       
QSO:  7002 CW 2025-08-02 2032 HB9GA         599 01     HB9ON         599 85       
QSO:  7003 CW 2025-08-02 2035 HB9GA         599 01     PA3DDS        599 82       
QSO:  7003 CW 2025-08-02 2038 HB9GA         599 01     LZ2XA         599 89       
QSO:  7004 CW 2025-08-02 2039 HB9GA         599 01     S51J          599 69       
QSO:  7005 CW 2025-08-02 2042 HB9GA         599 01     HA2KMR        599 71       
QSO:  7006 CW 2025-08-02 2044 HB9GA         599 01     EW4A          599 82       
QSO:  3537 CW 2025-08-02 2102 HB9GA         599 01     S56A          599 62       
QSO:  3536 CW 2025-08-02 2106 HB9GA         599 01     UZ6U          599 85       
QSO:  3537 CW 2025-08-02 2110 HB9GA         599 01     DK3QZ         599 99       
QSO:  3537 CW 2025-08-02 2112 HB9GA         599 01     OK1KKI        599 82       
QSO:  3537 CW 2025-08-02 2114 HB9GA         599 01     SP1NY         599 74       
QSO:  3537 CW 2025-08-02 2122 HB9GA         599 01     OM7M          599 87       
QSO:  3537 CW 2025-08-02 2123 HB9GA         599 01     S59AA         599 50       
QSO:  3537 CW 2025-08-02 2124 HB9GA         599 01     YU5U          599 93       
QSO:  3537 CW 2025-08-02 2128 HB9GA         599 01     OT1A          599 95       
QSO:  3537 CW 2025-08-02 2129 HB9GA         599 01     UW5Y          599 88       
QSO:  7008 CW 2025-08-02 2145 HB9GA         599 01     OK1HCG        599 74       
QSO:  7009 CW 2025-08-02 2147 HB9GA         599 01     PA4AAV        599 77       
QSO:  7009 CW 2025-08-02 2149 HB9GA         599 01     9A2EY         599 66       
QSO:  7009 CW 2025-08-02 2151 HB9GA         599 01     LZ1QV         599 74       
QSO:  7009 CW 2025-08-02 2151 HB9GA         599 01     OK1AY         599 80       
QSO:  7009 CW 2025-08-02 2153 HB9GA         599 01     OL8R          599 85       
QSO:  7009 CW 2025-08-02 2154 HB9GA         599 01     LY5R          599 75       
QSO:  7009 CW 2025-08-02 2158 HB9GA         599 01     UY5OO         599 67       
QSO:  7009 CW 2025-08-02 2159 HB9GA         599 01     G3SQU         599 63       
QSO:  7009 CW 2025-08-02 2200 HB9GA         599 01     DJ2XY         599 90       
QSO:  7009 CW 2025-08-02 2201 HB9GA         599 01     UR2Y          599 82       
X-QSO:  7009 CW 2025-08-02 2202 HB9GA         599 01     II6C          599 91       
QSO:  7009 CW 2025-08-02 2203 HB9GA         599 01     DL6KWN        599 65       
QSO:  7009 CW 2025-08-02 2204 HB9GA         599 01     IK1SPR        599 92       
QSO:  7009 CW 2025-08-02 2205 HB9GA         599 01     LZ6K          599 86       
QSO:  7009 CW 2025-08-02 2207 HB9GA         599 01     F6HJO         599 61       
QSO:  7009 CW 2025-08-02 2207 HB9GA         599 01     IK6VXO        599 93       
QSO:  7009 CW 2025-08-02 2208 HB9GA         599 01     II6C          599 91       
QSO:  7009 CW 2025-08-02 2209 HB9GA         599 01     OK7SE         599 18       
QSO:  7009 CW 2025-08-02 2209 HB9GA         599 01     OK2BGN        599 64       
QSO:  7009 CW 2025-08-02 2210 HB9GA         599 01     OK6OK         599 78       
QSO:  7009 CW 2025-08-02 2211 HB9GA         599 01     UT2II         599 74       
QSO:  7009 CW 2025-08-02 2213 HB9GA         599 01     UR8UO         599 20       
