START-OF-LOG: 3.0
CREATED-BY: QARTest 2.8.9
CONTEST: CQ-WW-RTTY
CALLSIGN: I4DZ
LOCATION: DX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-MODE: RTTY
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 8088480
NAME: Fulvio Tumidei
OPERATORS: I4DZ I4EWH I4FYF I4IFL IK3QAR IK3STG IK4DCW IK4HVR IK4MGP IK4WMH IR4M IW4EGX IZ4GWE
CLUB: RHEIN RUHR DX ASSOCIATION
QSO:  7039 RY 2013-09-28 0001 I4DZ          599 15 DX  W8KX          599 04 MI  0
QSO:  7039 RY 2013-09-28 0002 I4DZ          599 15 DX  IK4CLF        599 15 DX  0
QSO:  7039 RY 2013-09-28 0002 I4DZ          599 15 DX  YL3CU         599 15 DX  0
QSO: 14103 RY 2013-09-28 0002 I4DZ          599 15 DX  VE6WQ         599 04 AB  1
QSO:  7039 RY 2013-09-28 0003 I4DZ          599 15 DX  OM5M          599 15 DX  0
QSO:  7039 RY 2013-09-28 0003 I4DZ          599 15 DX  AB9TA         599 04 IL  0
QSO: 14107 RY 2013-09-28 0005 I4DZ          599 15 DX  NX5O          599 04 OK  1
QSO:  7039 RY 2013-09-28 0007 I4DZ          599 15 DX  UX5UU         599 16 DX  0
QSO:  7039 RY 2013-09-28 0007 I4DZ          599 15 DX  UR8QR         599 16 DX  0
QSO: 14095 RY 2013-09-28 0007 I4DZ          599 15 DX  VE3KI         599 04 ON  1
QSO: 14106 RY 2013-09-28 0008 I4DZ          599 15 DX  W4UK          599 05 SC  1
QSO:  7039 RY 2013-09-28 0008 I4DZ          599 15 DX  OK3KW         599 15 DX  0
QSO:  7039 RY 2013-09-28 0008 I4DZ          599 15 DX  UR5ZSU        599 16 DX  0
QSO:  7039 RY 2013-09-28 0009 I4DZ          599 15 DX  N2QT          599 05 VA  0
QSO: 14089 RY 2013-09-28 0011 I4DZ          599 15 DX  K9CT          599 04 IL  1
QSO: 14091 RY 2013-09-28 0011 I4DZ          599 15 DX  AB5K          599 04 TX  1
QSO:  7039 RY 2013-09-28 0012 I4DZ          599 15 DX  W8RHM         599 04 IN  0
QSO:  7039 RY 2013-09-28 0013 I4DZ          599 15 DX  DL8MKG        599 14 DX  0
