START-OF-LOG: 3.0 
ARRL-SECTION: 
CALLSIGN: LY1CT
CATEGORY: SINGLE-OP ALL LOW CW 
CATEGORY-OVERLAY:  
CLAIMED-SCORE: 56834 
CLUB: KAUNAS UNIVERSITY OF TECHNOLOGY RADIO CLUB 
CONTEST: EUHFC
CREATED-BY: WT4I Contest Tools
NAME: Kestutis Tamosaitis 
ADDRESS: Statybininku 8-58 
ADDRESS: 
ADDRESS: 
ADDRESS: 
OPERATORS: 
SOAPBOX: 
SOAPBOX: 
SOAPBOX: 
SOAPBOX: 
SOAPBOX: 
SOAPBOX: 
QSO: 14018 CW 2010-08-07 1200 LY1CT         599 77     UT4ZG         599 97     
QSO: 14020 CW 2010-08-07 1200 LY1CT         599 77     UT8L          599 86     
QSO: 14022 CW 2010-08-07 1201 LY1CT         599 77     HG3R          599 72     
QSO: 14023 CW 2010-08-07 1202 LY1CT         599 77     LZ8E          599 81     
QSO: 14025 CW 2010-08-07 1202 LY1CT         599 77     LZ4RR         599 5      
QSO: 14026 CW 2010-08-07 1203 LY1CT         599 77     IT9RZU        599 1      
QSO: 14032 CW 2010-08-07 1203 LY1CT         599 77     YO9HP         599 76     
QSO: 14032 CW 2010-08-07 1204 LY1CT         599 77     PA5TT         599 81     
QSO: 14036 CW 2010-08-07 1205 LY1CT         599 77     LZ9W          599 89     
QSO: 14037 CW 2010-08-07 1205 LY1CT         599 77     0H6M          599 90     
QSO: 14039 CW 2010-08-07 1206 LY1CT         599 77     ON4CAS        599 94     
QSO: 14041 CW 2010-08-07 1207 LY1CT         599 77     YU1KX         599 76     
QSO: 14042 CW 2010-08-07 1207 LY1CT         599 77     YU4T          599 73     
QSO: 14045 CW 2010-08-07 1208 LY1CT         599 77     RN3T          599 66     
QSO: 14046 CW 2010-08-07 1208 LY1CT         599 77     E77R          599 86     
QSO: 14051 CW 2010-08-07 1209 LY1CT         599 77     RZ4HZW        599 95     
QSO: 14007 CW 2010-08-07 1210 LY1CT         599 77     UR6IS         599 88     
QSO: 14007 CW 2010-08-07 1211 LY1CT         599 77     S51F          599 72     
QSO: 14012 CW 2010-08-07 1212 LY1CT         599 77     S50R          599 65     
QSO: 14013 CW 2010-08-07 1213 LY1CT         599 77     ER5AA         599 72     
QSO: 14014 CW 2010-08-07 1213 LY1CT         599 77     R3QA          599 82     
QSO: 14016 CW 2010-08-07 1214 LY1CT         599 77     RU3UR         599 79     
QSO: 14017 CW 2010-08-07 1215 LY1CT         599 77     R7AO          599 84     
QSO: 14020 CW 2010-08-07 1216 LY1CT         599 77     RW4W          599 84     
QSO: 14021 CW 2010-08-07 1217 LY1CT         599 77     DJ5CL         599 91     
QSO: 14021 CW 2010-08-07 1218 LY1CT         599 77     RT4F          599 86     
QSO: 14023 CW 2010-08-07 1219 LY1CT         599 77     RG3K          599 80     
QSO: 14025 CW 2010-08-07 1220 LY1CT         599 77     YU5GM         599 85     
QSO: 14034 CW 2010-08-07 1221 LY1CT         599 77     S57UN         599 90     
QSO: 14036 CW 2010-08-07 1222 LY1CT         599 77     HA7PL         599 68     
QSO: 14042 CW 2010-08-07 1226 LY1CT         599 77     UA4CCG        599 73     
QSO: 14050 CW 2010-08-07 1227 LY1CT         599 77     RA4WC         599 82     
QSO: 14052 CW 2010-08-07 1228 LY1CT         599 77     F6IFY         599 83     
QSO: 14053 CW 2010-08-07 1229 LY1CT         599 77     LZ9R          599 90     
