START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.7.0
CONTEST: CQ-WPX-CW
LOCATION: DX
CALLSIGN: EC4CBZ
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: TWO
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 1074997
OPERATORS: EA4MY, EC4CBZ
CLUB: RADIO CLUB HENARES
NAME: Oscar Bordallo Balsera
SOAPBOX: My father (EA4MY) and me operated from my station as M/2 as EC4CBZ. We
SOAPBOX: instaled a multiband dipole for the second station on the tower, just
SOAPBOX: 5 meters below the triband. ¡¡ What a mistake !!! The old 3 element
SOAPBOX: 3-band Mosley worked worse than usually. We only used 100W (only one
SOAPBOX: filter box) on both radios (K3 and FT897) We choose to enter as M/2
SOAPBOX: just for having more fun on both radios. Operating time was around
SOAPBOX: 20-22 hours (no midnight operation).  Anyway, ¡¡¡ A lot of fun !!!
SOAPBOX: 73,
SOAPBOX: EA4MY & EC4CBZ
QSO: 14057 CW 2011-05-28 0656 EC4CBZ        599 0001   YT1MN         599 015    0
QSO: 14057 CW 2011-05-28 0656 EC4CBZ        599 0002   RX9AF         599 320    0
QSO: 14057 CW 2011-05-28 0657 EC4CBZ        599 0003   RN3F          599 394    0
QSO:  7029 CW 2011-05-28 0659 EC4CBZ        599 0001   EF8M          599 877    1
QSO: 14057 CW 2011-05-28 0700 EC4CBZ        599 0004   UC6A          599 279    0
QSO: 14057 CW 2011-05-28 0700 EC4CBZ        599 0005   IK4UNH        599 252    0
QSO: 14057 CW 2011-05-28 0702 EC4CBZ        599 0006   YT3R          599 273    0
QSO: 14057 CW 2011-05-28 0703 EC4CBZ        599 0007   SJ7M          599 019    0
QSO: 14057 CW 2011-05-28 0708 EC4CBZ        599 0008   DL3EBX        599 035    0
QSO:  7007 CW 2011-05-28 0715 EC4CBZ        599 0002   NQ4I          599 602    1
QSO: 14063 CW 2011-05-28 0715 EC4CBZ        599 0009   DL1DTL        599 067    0
QSO: 14063 CW 2011-05-28 0717 EC4CBZ        599 0010   RU9UC         599 056    0
QSO: 14063 CW 2011-05-28 0718 EC4CBZ        599 0011   DH7KU         599 023    0
QSO:  7035 CW 2011-05-28 0725 EC4CBZ        599 0003   OQ5M          599 381    1
QSO: 14059 CW 2011-05-28 0726 EC4CBZ        599 0012   DL4FN         599 092    0
QSO: 14059 CW 2011-05-28 0726 EC4CBZ        599 0013   DL9ZP         599 191    0
QSO: 14059 CW 2011-05-28 0727 EC4CBZ        599 0014   LY2MM         599 445    0
QSO: 14059 CW 2011-05-28 0728 EC4CBZ        599 0015   DA0T          599 023    0
QSO: 14059 CW 2011-05-28 0729 EC4CBZ        599 0016   OM3TBG        599 045    0
QSO: 14059 CW 2011-05-28 0729 EC4CBZ        599 0017   OK3C          599 192    0
QSO: 14059 CW 2011-05-28 0731 EC4CBZ        599 0018   7S3J          599 114    0
QSO: 14059 CW 2011-05-28 0731 EC4CBZ        599 0019   UA1CEC        599 328    0
QSO: 14059 CW 2011-05-28 0733 EC4CBZ        599 0020   OM7PY         599 059    0
QSO: 14059 CW 2011-05-28 0733 EC4CBZ        599 0021   OK1JAT        599 029    0
QSO: 14059 CW 2011-05-28 0734 EC4CBZ        599 0022   DK0A          599 204    0
QSO: 14059 CW 2011-05-28 0735 EC4CBZ        599 0023   SP8HXN        599 046    0
QSO: 14059 CW 2011-05-28 0735 EC4CBZ        599 0024   RN5NH         599 101    0
QSO: 14059 CW 2011-05-28 0736 EC4CBZ        599 0025   DJ1OJ         599 218    0
QSO: 21002 CW 2011-05-28 0736 EC4CBZ        599 0001   BY5CD         599 492    1
QSO: 14059 CW 2011-05-28 0737 EC4CBZ        599 0026   YQ9W          599 795    0
QSO: 21024 CW 2011-05-28 0738 EC4CBZ        599 0002   C4N           599 1274   1
QSO: 14059 CW 2011-05-28 0738 EC4CBZ        599 0027   UU5WW         599 649    0
QSO: 14059 CW 2011-05-28 0739 EC4CBZ        599 0028   D9W           599 538    0
QSO: 21036 CW 2011-05-28 0739 EC4CBZ        599 0003   6W/RK4FF      599 753    1
QSO: 14059 CW 2011-05-28 0740 EC4CBZ        599 0029   RV2FW/1       599 323    0
QSO: 21039 CW 2011-05-28 0740 EC4CBZ        599 0004   OL4A          599 107    1
QSO: 14059 CW 2011-05-28 0740 EC4CBZ        599 0030   DL2AJB        599 113    0
QSO: 14059 CW 2011-05-28 0741 EC4CBZ        599 0031   9A1AA         599 572    0
QSO: 14059 CW 2011-05-28 0741 EC4CBZ        599 0032   G4DJX         599 004    0
QSO: 21040 CW 2011-05-28 0741 EC4CBZ        599 0005   4L0A          599 730    1
QSO: 14059 CW 2011-05-28 0742 EC4CBZ        599 0033   RK3SWB        599 480    0
QSO: 14059 CW 2011-05-28 0743 EC4CBZ        599 0034   EO3Q          599 056    0
QSO: 14059 CW 2011-05-28 0744 EC4CBZ        599 0035   YO6PVK        599 149    0
QSO: 14059 CW 2011-05-28 0750 EC4CBZ        599 0036   JI8GEU        599 048    0
QSO: 14059 CW 2011-05-28 0751 EC4CBZ        599 0037   G4FOC         599 127    0
QSO: 14059 CW 2011-05-28 0752 EC4CBZ        599 0038   DK1QH         599 119    0
QSO: 14059 CW 2011-05-28 0753 EC4CBZ        599 0039   EW8DJ         599 346    0
QSO: 14059 CW 2011-05-28 0754 EC4CBZ        599 0040   YL0Y          599 907    0
QSO: 14059 CW 2011-05-28 0755 EC4CBZ        599 0041   HA6NW         599 097    0
QSO: 14059 CW 2011-05-28 0755 EC4CBZ        599 0042   YL2BJ         599 105    0
QSO: 14059 CW 2011-05-28 0757 EC4CBZ        599 0043   DL3KWF        599 173    0
QSO: 14059 CW 2011-05-28 0757 EC4CBZ        599 0044   LZ5XQ         599 265    0
QSO: 14059 CW 2011-05-28 0758 EC4CBZ        599 0045   RW0UM         599 021    0
QSO: 14059 CW 2011-05-28 0759 EC4CBZ        599 0046   UX5VK         599 052    0
QSO: 21056 CW 2011-05-28 0759 EC4CBZ        599 0006   RG6G          599 726    1
QSO: 21035 CW 2011-05-28 0801 EC4CBZ        599 0007   II9T          599 144    1
QSO: 14059 CW 2011-05-28 0801 EC4CBZ        599 0047   JA1IST        599 097    0
QSO: 14059 CW 2011-05-28 0802 EC4CBZ        599 0048   DJ1TX         599 106    0
QSO: 14059 CW 2011-05-28 0804 EC4CBZ        599 0049   DL8WEM        599 111    0
QSO: 14059 CW 2011-05-28 0805 EC4CBZ        599 0050   DL5GAC        599 091    0
QSO: 14059 CW 2011-05-28 0806 EC4CBZ        599 0051   RG8K          599 166    0
QSO: 14059 CW 2011-05-28 0807 EC4CBZ        599 0052   OK1BA         599 168    0
QSO: 14059 CW 2011-05-28 0807 EC4CBZ        599 0053   DL2JAA        599 011    0
QSO: 14059 CW 2011-05-28 0808 EC4CBZ        599 0054   OM3TB         599 131    0
QSO: 14059 CW 2011-05-28 0808 EC4CBZ        599 0055   DL4OCE        599 048    0
QSO: 21014 CW 2011-05-28 0809 EC4CBZ        599 0008   4Z5TK         599 491    1
QSO: 14059 CW 2011-05-28 0809 EC4CBZ        599 0056   PA3AIN        599 125    0
QSO: 14059 CW 2011-05-28 0811 EC4CBZ        599 0057   PE3HG         599 025    0
QSO: 14059 CW 2011-05-28 0812 EC4CBZ        599 0058   DK8NT         599 391    0
QSO: 14059 CW 2011-05-28 0813 EC4CBZ        599 0059   UT3I          599 356    0
QSO: 14059 CW 2011-05-28 0814 EC4CBZ        599 0060   DF0PWR        599 239    0
QSO: 14059 CW 2011-05-28 0815 EC4CBZ        599 0061   JK7UST        599 017    0
QSO: 14059 CW 2011-05-28 0816 EC4CBZ        599 0062   I3VRD         599 010    0
QSO: 14059 CW 2011-05-28 0817 EC4CBZ        599 0063   RY9C          599 1163   0
QSO: 14059 CW 2011-05-28 0817 EC4CBZ        599 0064   DL1LOD        599 256    0
QSO: 21039 CW 2011-05-28 0817 EC4CBZ        599 0009   4L4A          599 143    1
QSO: 14059 CW 2011-05-28 0818 EC4CBZ        599 0065   9A2VR         599 232    0
QSO: 14059 CW 2011-05-28 0818 EC4CBZ        599 0066   DL9LM         599 184    0
QSO: 21065 CW 2011-05-28 0819 EC4CBZ        599 0010   EX2X          599 305    1
QSO: 21046 CW 2011-05-28 0820 EC4CBZ        599 0011   YU1KX         599 145    1
