START-OF-LOG: 3.0
CONTEST: ARRL-VHF-JAN
CALLSIGN: WA3EKL
LOCATION: MDC
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: HIGH
CATEGORY-BAND: VHF-3-BAND
CATEGORY-MODE: ALL
CATEGORY-TRANSMITTER: LIMITED
CATEGORY-STATION: FIXED
OPERATORS: WA3EKL KB3VQC K0OO K3ANI W1TRT KC3YBF W3URL N3DPB
CLUB: Potomac Valley Radio Club
CREATED-BY: N1MM LOGGER+ 1.0.10583.0
HQ-CATEGORY: Limited Multioperator
HQ-GRID-LOCATOR: FM19PD
QSO: 50 DG 2025-01-18 1916 WA3EKL FM19 K1TEO FN31
QSO: 144 DG 2025-01-18 1917 WA3EKL FM19 KQ4CAX FM18
QSO: 50 DG 2025-01-18 1919 WA3EKL FM19 N3ALN FM19
QSO: 50 DG 2025-01-18 1925 WA3EKL FM19 KC2DPF FM18
QSO: 144 DG 2025-01-18 1930 WA3EKL FM19 K3NF FM18
QSO: 144 DG 2025-01-18 1937 WA3EKL FM19 KE8FD EN80
QSO: 50 DG 2025-01-18 1940 WA3EKL FM19 W3FAY FM18
QSO: 50 DG 2025-01-18 1941 WA3EKL FM19 KF2T FM19
QSO: 50 DG 2025-01-18 1945 WA3EKL FM19 K8YFM FM17
QSO: 432 DG 2025-01-18 1946 WA3EKL FM19 KF2T FM19
QSO: 50 DG 2025-01-18 1946 WA3EKL FM19 K3FR FM18
QSO: 50 DG 2025-01-18 1950 WA3EKL FM19 W3OU FM18
QSO: 50 DG 2025-01-18 1951 WA3EKL FM19 N3MWQ FM29
QSO: 50 DG 2025-01-18 1952 WA3EKL FM19 K5VIP FM16
QSO: 144 DG 2025-01-18 1952 WA3EKL FM19 W3IP FM19
QSO: 432 DG 2025-01-18 1953 WA3EKL FM19 KF2T FM19
QSO: 144 DG 2025-01-18 1954 WA3EKL FM19 W3FAY FM18
QSO: 144 DG 2025-01-18 1955 WA3EKL FM19 KA3SVK FM19
