START-OF-LOG: 3.0
CONTEST: CQ-WPX-RTTY
CALLSIGN: EA8/HB9FIH
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-MODE: RTTY
CLAIMED-SCORE: 75000
CREATED-BY: UcxLog 7.82
OPERATORS: HB9FIH
NAME: Erich Rieder
SOAPBOX: Surprise of the weekend: 15m Band was vy good.
SOAPBOX: Between I made the PACC Contest in CW too.
SOAPBOX: RIG FT-991A 90 Watts , ANT ZS6BKW
SOAPBOX: TNX to all from Canary Island El Hierro 73 de Erich
QSO:  3592 RY 2018-02-10 0023 EA8/HB9FIH    599 001    9A1A          599 034    0
QSO:  3601 RY 2018-02-10 0030 EA8/HB9FIH    599 002    IQ2CJ         599 041    0
QSO:  3601 RY 2018-02-10 0032 EA8/HB9FIH    599 003    SN7Q          599 061    0
QSO:  3606 RY 2018-02-10 0036 EA8/HB9FIH    599 004    YT6W          599 017    0
QSO:  3597 RY 2018-02-10 0040 EA8/HB9FIH    599 005    OK6W          599 083    0
QSO:  3595 RY 2018-02-10 0042 EA8/HB9FIH    599 006    ED2C          599 019    0
QSO:  3577 RY 2018-02-10 0045 EA8/HB9FIH    599 007    WK1Q          599 035    0
QSO:  3576 RY 2018-02-10 0048 EA8/HB9FIH    599 008    K3WW          599 50     0
QSO:  3581 RY 2018-02-10 0054 EA8/HB9FIH    599 009    ON4CBA        599 024    0
QSO:  3582 RY 2018-02-10 0056 EA8/HB9FIH    599 010    UX2X          599 067    0
QSO:  7073 RY 2018-02-10 0103 EA8/HB9FIH    599 011    OK6W          599 128    0
QSO:  7067 RY 2018-02-10 0105 EA8/HB9FIH    599 012    KF2O          599 059    0
QSO:  7066 RY 2018-02-10 0106 EA8/HB9FIH    599 013    K3AJ          599 026    0
QSO:  7066 RY 2018-02-10 0108 EA8/HB9FIH    599 014    Z60A          599 054    0
QSO:  7063 RY 2018-02-10 0111 EA8/HB9FIH    599 015    K4XL          599 058    0
QSO:  7063 RY 2018-02-10 0116 EA8/HB9FIH    599 016    AA3B          599 113    0
QSO:  7062 RY 2018-02-10 0118 EA8/HB9FIH    599 017    K4GMH         599 109    0
QSO:  7061 RY 2018-02-10 0120 EA8/HB9FIH    599 018    W9IU          599 068    0
QSO:  7061 RY 2018-02-10 0123 EA8/HB9FIH    599 019    S53M          599 085    0
QSO:  7059 RY 2018-02-10 0126 EA8/HB9FIH    599 020    SN7Q          599 160    0
QSO:  7058 RY 2018-02-10 0129 EA8/HB9FIH    599 021    K8IA          599 133    0
