START-OF-LOG: 3.0
CONTEST: ARRL-DIGI
CALLSIGN: K4ELI
LOCATION: GA
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: LOW
CATEGORY-BAND: ALL
CATEGORY-MODE: DIGI
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-TIME: 8-HOURS
OPERATORS: K4ELI
CLUB: Silver Comet Amateur Radio Society
CREATED-BY: N3FJP'S ARRL INTERNATIONAL DIGITAL CONTEST LOG 1.0.3
HQ-CATEGORY: Single Operator, One Radio (SO1R), Low Power, 8 Hours
HQ-GRID-LOCATOR: EM74NA
QSO: 14092 DG 2024-06-01 1856 K4ELI EM74 N5BSB EM20 0
QSO: 14092 DG 2024-06-01 1859 K4ELI EM74 NP4TX FK68 0
QSO: 14092 DG 2024-06-01 1900 K4ELI EM74 KA3E FN21 0
QSO: 14092 DG 2024-06-01 1903 K4ELI EM74 AB1J FN42 0
QSO: 21090 DG 2024-06-01 1910 K4ELI EM74 YO9BPX KN24 0
QSO: 21090 DG 2024-06-01 1913 K4ELI EM74 N7VGO CN87 0
QSO: 21091 DG 2024-06-01 1916 K4ELI EM74 K7HKR DM34 0
QSO: 21091 DG 2024-06-01 1917 K4ELI EM74 NE1F FN33 0
QSO: 21081 DG 2024-06-01 1929 K4ELI EM74 K4LDC EM74 0
QSO: 21081 DG 2024-06-01 1931 K4ELI EM74 NP4TX FK68 0
QSO: 21081 DG 2024-06-01 1937 K4ELI EM74 XE1YL EK09 0
QSO: 21081 DG 2024-06-01 1938 K4ELI EM74 K6RO DM13 0
QSO: 21081 DG 2024-06-01 1940 K4ELI EM74 CQ7F IN50 0
QSO: 21081 DG 2024-06-01 1943 K4ELI EM74 VA7ST DO00 0
QSO: 21081 DG 2024-06-01 1945 K4ELI EM74 KH6WI BL01 0
QSO: 21081 DG 2024-06-01 1947 K4ELI EM74 N6UNH DM13 0
QSO: 21081 DG 2024-06-01 1949 K4ELI EM74 KB7AK CN85 0
QSO: 21081 DG 2024-06-01 1955 K4ELI EM74 W0ZA EN00 0
QSO: 14081 DG 2024-06-01 2000 K4ELI EM74 4U1WB FM18 0
QSO: 14081 DG 2024-06-01 2001 K4ELI EM74 NN1SS FN42 0
QSO: 14081 DG 2024-06-01 2003 K4ELI EM74 W9PDS EN51 0
QSO: 14081 DG 2024-06-01 2003 K4ELI EM74 WA2MCR FN31 0
QSO: 14081 DG 2024-06-01 2004 K4ELI EM74 KI6DY EN91 0
QSO: 14081 DG 2024-06-01 2005 K4ELI EM74 WQ6Q CM87 0
QSO: 14081 DG 2024-06-01 2006 K4ELI EM74 NX1K FN32 0
QSO: 14081 DG 2024-06-01 2006 K4ELI EM74 W1QK FN31 0
QSO: 14081 DG 2024-06-01 2007 K4ELI EM74 NK4O EL95 0
QSO: 14081 DG 2024-06-01 2008 K4ELI EM74 AI3Q FN21 0
QSO: 14081 DG 2024-06-01 2011 K4ELI EM74 VE2DM FN45 0
QSO: 14081 DG 2024-06-01 2012 K4ELI EM74 K8BL EN91 0
