START-OF-LOG: 3.0
CONTEST: ARRL-DIGI
CALLSIGN: KJ7BES
LOCATION: UT
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-POWER: LOW
CATEGORY-BAND: ALL
CATEGORY-MODE: DIGI
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-TIME: 8-HOURS
CATEGORY-OVERLAY: OVER-50
OPERATORS: KJ7BES
CREATED-BY: N3FJP'S WORLD WIDE DIGI DX CONTEST LOG 1.2.5
HQ-CATEGORY: Single Operator, One Radio (SO1R), Low Power, 8 Hours
HQ-GRID-LOCATOR: DN40DG
QSO: 21000 DG 2024-06-01 2013 KJ7BES DN40 KH6WI BL01 1
QSO: 14000 DG 2024-06-01 2019 KJ7BES DN40 WQ6Q CM87 1
QSO: 21000 DG 2024-06-01 2029 KJ7BES DN40 AI4WW EL93 1
QSO: 21000 DG 2024-06-01 2033 KJ7BES DN40 KN4USA EM95 1
QSO: 21000 DG 2024-06-01 2039 KJ7BES DN40 NA3M FM19 1
QSO: 21000 DG 2024-06-01 2041 KJ7BES DN40 XE1YL EK09 1
QSO: 21000 DG 2024-06-01 2101 KJ7BES DN40 K3DNE EM94 1
QSO: 21000 DG 2024-06-01 2105 KJ7BES DN40 WA2BOT FN32 1
QSO: 21000 DG 2024-06-01 2130 KJ7BES DN40 WB3LGC FM29 1
QSO: 21000 DG 2024-06-01 2137 KJ7BES DN40 KE4PWE EM80 1
QSO: 21000 DG 2024-06-01 2148 KJ7BES DN40 KA2G EM93 1
QSO: 21000 DG 2024-06-01 2150 KJ7BES DN40 N6DW FM07 1
QSO: 14000 DG 2024-06-01 2158 KJ7BES DN40 NN6U CM97 1
QSO: 21000 DG 2024-06-01 2206 KJ7BES DN40 W3KB FN10 1
QSO: 21000 DG 2024-06-01 2217 KJ7BES DN40 N4IQ EM84 1
QSO: 21000 DG 2024-06-01 2220 KJ7BES DN40 KW4LU EM86 1
QSO: 21000 DG 2024-06-01 2223 KJ7BES DN40 PY2QT GG76 1
QSO: 21000 DG 2024-06-01 2235 KJ7BES DN40 NN1SS FN42 1
QSO: 14000 DG 2024-06-01 2245 KJ7BES DN40 K9KLD EM58 1
QSO: 21000 DG 2024-06-01 2250 KJ7BES DN40 N4NM EM64 1
QSO: 21000 DG 2024-06-01 2257 KJ7BES DN40 AA4WX EM85 1
QSO: 21000 DG 2024-06-01 2258 KJ7BES DN40 N8HRZ EN91 1
QSO: 21000 DG 2024-06-01 2304 KJ7BES DN40 KE8M EN81 1
QSO: 21000 DG 2024-06-01 2309 KJ7BES DN40 KB4KS EM74 1
QSO: 21000 DG 2024-06-01 2325 KJ7BES DN40 N3KN EM97 1
QSO: 21000 DG 2024-06-01 2328 KJ7BES DN40 PY1ZV GG87 1
QSO: 21000 DG 2024-06-01 2328 KJ7BES DN40 KK2A EM75 1
QSO: 21000 DG 2024-06-01 2334 KJ7BES DN40 N8VW EN80 1
QSO: 7000 DG 2024-06-02 0159 KJ7BES DN40 KA3DRR CM95 1
QSO: 14000 DG 2024-06-02 0336 KJ7BES DN40 WA1FCN EM63 1
QSO: 14000 DG 2024-06-02 0341 KJ7BES DN40 AC7NU CN85 1
QSO: 21000 DG 2024-06-02 1748 KJ7BES DN40 KB6JFL DM05 1
QSO: 21000 DG 2024-06-02 1749 KJ7BES DN40 KA1RUE EN91 1
QSO: 21000 DG 2024-06-02 1751 KJ7BES DN40 VE3MGY EN92 1
QSO: 21000 DG 2024-06-02 1755 KJ7BES DN40 W8XY EN90 1
QSO: 21000 DG 2024-06-02 1758 KJ7BES DN40 N1EK FM19 1
QSO: 21000 DG 2024-06-02 1805 KJ7BES DN40 N8CDY EN90 1
QSO: 21000 DG 2024-06-02 1810 KJ7BES DN40 N4EL EM79 1
END-OF-LOG:
