START-OF-LOG: 3.0
CONTEST: ARRL-DIGI
CALLSIGN: N4IU
LOCATION: NFL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-POWER: LOW
CATEGORY-BAND: 20M
CATEGORY-MODE: DIGI
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-TIME: 24-HOURS
OPERATORS: N4IU
CREATED-BY: N3FJP'S ARRL INTERNATIONAL DIGITAL CONTEST LOG 1.0.3
HQ-CATEGORY: Single Operator, One Radio (SO1R), Low Power
HQ-GRID-LOCATOR: EL89UP
QSO: 14000 DG 2024-06-01 2133 N4IU EL89 K8GB EN82
QSO: 14000 DG 2024-06-01 2135 N4IU EL89 N4FKH FM18
QSO: 14000 DG 2024-06-01 2140 N4IU EL89 KZ4EP FM17
QSO: 14000 DG 2024-06-01 2218 N4IU EL89 PA6AA JO32 0
QSO: 14000 DG 2024-06-01 2318 N4IU EL89 K9YY EM59 0
QSO: 14000 DG 2024-06-01 2322 N4IU EL89 W9RX EM59 0
QSO: 14000 DG 2024-06-01 2323 N4IU EL89 EA4URA IN80 0
QSO: 14000 DG 2024-06-01 2325 N4IU EL89 N2NQ FM17 0
QSO: 14000 DG 2024-06-01 2326 N4IU EL89 AA4SS EM96 0
QSO: 14000 DG 2024-06-01 2329 N4IU EL89 EC7KW IM77 0
QSO: 14000 DG 2024-06-01 2334 N4IU EL89 IZ4OSH JN54 0
QSO: 14000 DG 2024-06-01 2335 N4IU EL89 KB1EFS FN41 0
QSO: 14000 DG 2024-06-01 2337 N4IU EL89 W8AIT EN82 0
QSO: 14000 DG 2024-06-01 2338 N4IU EL89 NN1SS FN42 0
QSO: 14000 DG 2024-06-01 2343 N4IU EL89 AB1J FN42 0
QSO: 14000 DG 2024-06-01 2344 N4IU EL89 PX4X GG88 0
QSO: 14000 DG 2024-06-01 2350 N4IU EL89 PT7PT HI03 0
QSO: 14000 DG 2024-06-01 2352 N4IU EL89 PC4H JO22 0
QSO: 14000 DG 2024-06-01 2355 N4IU EL89 S51NM JN76 0
QSO: 14000 DG 2024-06-01 2357 N4IU EL89 N8IK FM18 0
QSO: 14000 DG 2024-06-01 2359 N4IU EL89 N3KN EM97 0
QSO: 14000 DG 2024-06-02 0000 N4IU EL89 PE1PIX JO23 0
QSO: 14000 DG 2024-06-02 1031 N4IU EL89 KH6RDO BK29 0
QSO: 14000 DG 2024-06-02 1034 N4IU EL89 VE3MGY EN92 0
QSO: 14000 DG 2024-06-02 1035 N4IU EL89 NA3M FM19 0
QSO: 14000 DG 2024-06-02 1043 N4IU EL89 WA3SWA FM19 0
QSO: 14000 DG 2024-06-02 1046 N4IU EL89 FG4NO FK96 0
QSO: 14000 DG 2024-06-02 1048 N4IU EL89 KE5HDE FN12 0
QSO: 14000 DG 2024-06-02 1049 N4IU EL89 K9JY FN34 0
QSO: 14000 DG 2024-06-02 1055 N4IU EL89 W9FFA EM69 0
QSO: 14000 DG 2024-06-02 1056 N4IU EL89 K4RUM FN30 0
QSO: 14000 DG 2024-06-02 1057 N4IU EL89 AD4TJ FM08 0
QSO: 14000 DG 2024-06-02 1305 N4IU EL89 NP4TX FK68 0
QSO: 14000 DG 2024-06-02 1306 N4IU EL89 KT4O EM86 0
QSO: 14000 DG 2024-06-02 1311 N4IU EL89 K3JSJ FM18 0
QSO: 14000 DG 2024-06-02 1312 N4IU EL89 K9JFL EN53 0
QSO: 14000 DG 2024-06-02 1314 N4IU EL89 K9DUR EM69 0
QSO: 14000 DG 2024-06-02 1320 N4IU EL89 WB2NVR FN31 0
QSO: 14000 DG 2024-06-02 1322 N4IU EL89 WA9BD EM69 0
QSO: 14000 DG 2024-06-02 1325 N4IU EL89 AI3Q FN21 0
QSO: 14000 DG 2024-06-02 1337 N4IU EL89 W8XY EN90 0
QSO: 14000 DG 2024-06-02 1341 N4IU EL89 N1KT FN31 0
QSO: 14000 DG 2024-06-02 1354 N4IU EL89 K9MKE EN53 0
QSO: 14000 DG 2024-06-02 1632 N4IU EL89 KA2ENE FN13 0
QSO: 14000 DG 2024-06-02 1842 N4IU EL89 KC3MAL FM28 0
QSO: 14000 DG 2024-06-02 1844 N4IU EL89 KD5TKR EM01 0
QSO: 14000 DG 2024-06-02 1854 N4IU EL89 WV4P EM55 0
QSO: 14000 DG 2024-06-02 1900 N4IU EL89 W8EH EM79 0
QSO: 14000 DG 2024-06-02 1902 N4IU EL89 KA3E FN21 0
QSO: 14000 DG 2024-06-02 2030 N4IU EL89 N8TCP EN91 0
QSO: 14000 DG 2024-06-02 2032 N4IU EL89 WA2DNI FN20 0
QSO: 14000 DG 2024-06-02 2039 N4IU EL89 AA3R FM29 0
QSO: 14000 DG 2024-06-02 2208 N4IU EL89 AA3S FM19 0
QSO: 14000 DG 2024-06-02 2216 N4IU EL89 S56A JN76 0
QSO: 14000 DG 2024-06-02 2247 N4IU EL89 W5PWH EM36 0
QSO: 14000 DG 2024-06-02 2250 N4IU EL89 KD8KWH EN80 0
QSO: 14000 DG 2024-06-02 2253 N4IU EL89 9Y4I FK91 0
QSO: 14000 DG 2024-06-02 2259 N4IU EL89 VE3TMT FN14 0
QSO: 14000 DG 2024-06-02 2300 N4IU EL89 KK5LO EL09 0
END-OF-LOG:
