START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: KZ5D
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: KZ5D
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2022.
QSO: 28070 CW 2022-12-10 1336 KZ5D          599 LA OK1CZ         599 62
QSO: 28000 CW 2022-12-10 1340 KZ5D          599 LA K3ZO          599 MD
QSO: 28042 CW 2022-12-10 1352 KZ5D          599 LA DL5YM         599 112
QSO: 28005 CW 2022-12-10 1355 KZ5D          599 LA W4MYA         599 VA
QSO: 28017 CW 2022-12-10 1356 KZ5D          599 LA KF3B          599 PA
QSO: 28071 CW 2022-12-10 1400 KZ5D          599 LA W8AV          599 OH
QSO: 28060 CW 2022-12-10 1401 KZ5D          599 LA N2NL          599 FL
QSO: 28044 CW 2022-12-10 1403 KZ5D          599 LA K1AR          599 NH
QSO: 28017 CW 2022-12-10 1412 KZ5D          599 LA 4U1A          599 143
QSO: 28014 CW 2022-12-10 1413 KZ5D          599 LA N0AV          599 IA
QSO: 28016 CW 2022-12-10 1413 KZ5D          599 LA W0UA          599 CO
QSO: 28012 CW 2022-12-10 1415 KZ5D          599 LA HA3LN         599 0535
QSO: 28012 CW 2022-12-10 1415 KZ5D          599 LA OK1VK         599 0096
QSO: 28012 CW 2022-12-10 1416 KZ5D          599 LA 9A5D          599 484
QSO: 28012 CW 2022-12-10 1416 KZ5D          599 LA OZ1LO         599 41
QSO: 28012 CW 2022-12-10 1416 KZ5D          599 LA YQ6A          599 317
QSO: 28012 CW 2022-12-10 1417 KZ5D          599 LA DR4A          599 0255
QSO: 28012 CW 2022-12-10 1417 KZ5D          599 LA LB2TB         599 20
QSO: 28012 CW 2022-12-10 1417 KZ5D          599 LA OK1FPS        599 0078
QSO: 28012 CW 2022-12-10 1419 KZ5D          599 LA DD5M          599 0130
