START-OF-LOG: 3.0
CATEGORY: Single-OP high
CONTEST: WAE SSB
SPECIFIC: C26
CREATED-BY: DXLog.net v2.6.6, modified by DXHF upload.
CALLSIGN: DJ4MX
GRID-LOCATOR: JN68AE
CLAIMED-SCORE: 2500
CLUB: Bavarian Contest Club
ADDRESS-COUNTRY: Germany
CERTIFICATE: YES
QSO: 28388 PH 2024-09-15 1732 DJ4MX         59  001    CT9ABO        59  2493
QTC: 28388 PH  2024-09-15 1733 DJ4MX         247/10     CT9ABO        1608 GM5RDX        004
QTC: 28388 PH  2024-09-15 1733 DJ4MX         247/10     CT9ABO        1608 DJ8PY         003
QTC: 28388 PH  2024-09-15 1733 DJ4MX         247/10     CT9ABO        1609 DG2MW         005
QTC: 28388 PH  2024-09-15 1733 DJ4MX         247/10     CT9ABO        1611 IS0WFI        001
QTC: 28388 PH  2024-09-15 1733 DJ4MX         247/10     CT9ABO        1611 HB9TSO        001
QTC: 28388 PH  2024-09-15 1733 DJ4MX         247/10     CT9ABO        1612 IS0WFI        002
QTC: 28388 PH  2024-09-15 1733 DJ4MX         247/10     CT9ABO        1612 DP5P          283
QTC: 28388 PH  2024-09-15 1733 DJ4MX         247/10     CT9ABO        1613 GM4ULS        014
QTC: 28388 PH  2024-09-15 1733 DJ4MX         247/10     CT9ABO        1613 ON6EF         018
QTC: 28388 PH  2024-09-15 1733 DJ4MX         247/10     CT9ABO        1613 DK6MM         007
QSO: 28385 PH 2024-09-15 1734 DJ4MX         59  002    CR3W          59  2316
QTC: 28385 PH  2024-09-15 1735 DJ4MX         290/10     CR3W          1713 M0MCV         022
QTC: 28385 PH  2024-09-15 1735 DJ4MX         290/10     CR3W          1714 PC2K          195
QTC: 28385 PH  2024-09-15 1735 DJ4MX         290/10     CR3W          1714 M0SK          006
QTC: 28385 PH  2024-09-15 1735 DJ4MX         290/10     CR3W          1715 HB9DUR        045
QTC: 28385 PH  2024-09-15 1735 DJ4MX         290/10     CR3W          1717 PD2WL         104
